BCL6   	CCL11  	0.0090429
CSF2   	FOXP3  	0.017957
CSF2   	GATA3  	0.017252
CSF2   	ICOS   	0.015637
CSF2   	IFNG   	0.01832
CSF2   	IFNGR2 	0.01563
CSF2   	IL10   	0.018112
CSF2   	IL12A  	0.01768
CSF2   	IL12B  	0.01763
CSF2   	IL13   	0.018994
CSF2   	IL13RA1	0.018433
CSF2   	IL13RA2	0.018433
CSF2   	IL17A  	0.016923
CSF2   	IL17RB 	0.011201
CSF2   	IL18   	0.018411
CSF2   	IL1RL1 	0.0078351
CSF2   	IL21   	0.016956
CSF2   	IL25   	0.011289
CSF2   	IL2RA  	0.01873
CSF2   	IL3    	0.022437
CSF2   	IL33   	0.011289
CSF2   	IL3RA  	0.027955
CSF2   	IL4    	0.018162
CSF2   	IL4R   	0.018864
CSF2   	IL5    	0.018988
CSF2   	IL5RA  	0.027955
CSF2   	IL9    	0.020373
CSF2   	KIT    	0.024683
CSF2   	KITLG  	0.022692
CSF2   	MAF    	0.0121
CSF2   	MMP9   	0.016305
CSF2   	MS4A2  	0
CSF2   	PDCD1  	0.011996
CSF2   	PPARG  	0.012999
CSF2   	RETNLB 	0.01005
CSF2   	RORC   	0.016094
CSF2   	SATB1  	0.010101
CSF2   	STAT5A 	0.021313
CSF2   	STAT6  	0.01751
CSF2   	TBX21  	0.017706
CSF2   	TGFB1  	0.016791
CSF2   	TNFRSF4	0.011191
CSF2   	TNFSF4 	0.0056577
CSF2   	TSLP   	0.014374
CSF3R  	FCER1A 	0
CSF3R  	FOXP3  	0.010573
CSF3R  	GATA3  	0.010101
CSF3R  	ICOS   	0.0076139
CSF3R  	IFNG   	0.012732
CSF3R  	IFNGR2 	0.0071259
CSF3R  	IL10   	0.012876
CSF3R  	IL12A  	0.0090578
CSF3R  	IL12B  	0.010024
CSF3R  	IL13   	0.013914
CSF3R  	IL13RA1	0.0097661
CSF3R  	IL13RA2	0.0097661
CSF3R  	IL17A  	0.0095374
CSF3R  	IL17RB 	0.0044632
CSF3R  	IL18   	0.01011
CSF3R  	IL1RL1 	0.0027549
CSF3R  	IL21   	0.0098135
CSF3R  	IL25   	0.005295
CSF3R  	IL2RA  	0.014929
CSF3R  	IL3    	0.019543
CSF3R  	IL33   	0.005295
CSF3R  	IL3RA  	0.024857
CSF3R  	IL4    	0.0121
CSF3R  	IL4R   	0.011668
CSF3R  	IL5    	0.014661
CSF3R  	IL5RA  	0.024857
CSF3R  	IL9    	0.01727
CSF3R  	KIT    	0.020063
CSF3R  	KITLG  	0.01272
CSF3R  	MAF    	0.0052224
CSF3R  	MMP9   	0.0088378
CSF3R  	MS4A2  	0
CSF3R  	PDCD1  	0.0045116
CSF3R  	PPARG  	0.0050749
CSF3R  	RETNLB 	0.0037463
CSF3R  	RORC   	0.0070069
CSF3R  	SATB1  	0.0037876
CSF3R  	STAT5A 	0.016074
CSF3R  	STAT6  	0.01005
CSF3R  	TBX21  	0.0099972
CSF3R  	TGFB1  	0.009236
CSF3R  	TNFRSF4	0.0056577
CSF3R  	TNFSF4 	0.0019199
CSF3R  	TSLP   	0.0074912
FCER1A 	FOXP3  	0
FCER1A 	GATA3  	0
FCER1A 	ICOS   	0
FCER1A 	IFNG   	0
FCER1A 	IFNGR2 	0
FCER1A 	IL10   	0
FCER1A 	IL12A  	0
FCER1A 	IL12B  	0
FCER1A 	IL13   	0
FCER1A 	IL13RA1	0
FCER1A 	IL13RA2	0
FCER1A 	IL17A  	0
FCER1A 	IL17RB 	0
FCER1A 	IL18   	0
FCER1A 	IL1RL1 	0
FCER1A 	IL21   	0
FCER1A 	IL25   	0
FCER1A 	IL2RA  	0
FCER1A 	IL3    	0
FCER1A 	IL33   	0
FCER1A 	IL3RA  	0
FCER1A 	IL4    	0
FCER1A 	IL4R   	0
FCER1A 	IL5    	0
FCER1A 	IL5RA  	0
FCER1A 	IL9    	0
FCER1A 	KIT    	0
FCER1A 	KITLG  	0
FCER1A 	MAF    	0
FCER1A 	MMP9   	0
FCER1A 	MS4A2  	0.43233
FCER1A 	PDCD1  	0
FCER1A 	PPARG  	0
FCER1A 	RETNLB 	0
FCER1A 	RORC   	0
FCER1A 	SATB1  	0
FCER1A 	STAT5A 	0
FCER1A 	STAT6  	0
FCER1A 	TBX21  	0
FCER1A 	TGFB1  	0
FCER1A 	TNFRSF4	0
FCER1A 	TNFSF4 	0
FCER1A 	TSLP   	0
FOXP3  	GATA3  	0.02059
FOXP3  	ICOS   	0.020571
FOXP3  	IFNG   	0.019296
FOXP3  	IFNGR2 	0.018148
FOXP3  	IL10   	0.019956
FOXP3  	IL12A  	0.021119
FOXP3  	IL12B  	0.019886
FOXP3  	IL13   	0.019157
FOXP3  	IL13RA1	0.019651
FOXP3  	IL13RA2	0.019651
FOXP3  	IL17A  	0.021233
FOXP3  	IL17RB 	0.013922
FOXP3  	IL18   	0.020873
FOXP3  	IL1RL1 	0.0069599
FOXP3  	IL21   	0.021433
FOXP3  	IL25   	0.01104
FOXP3  	IL2RA  	0.019385
FOXP3  	IL3    	0.018422
FOXP3  	IL33   	0.01104
FOXP3  	IL3RA  	0.01687
FOXP3  	IL4    	0.018559
FOXP3  	IL4R   	0.019934
FOXP3  	IL5    	0.017497
FOXP3  	IL5RA  	0.01687
FOXP3  	IL9    	0.018941
FOXP3  	KIT    	0.018728
FOXP3  	KITLG  	0.018915
FOXP3  	MAF    	0.011438
FOXP3  	MMP9   	0.01754
FOXP3  	MS4A2  	0
FOXP3  	PDCD1  	0.016146
FOXP3  	PPARG  	0.014557
FOXP3  	RETNLB 	0.014667
FOXP3  	RORC   	0.032911
FOXP3  	SATB1  	0.018905
FOXP3  	STAT5A 	0.020407
FOXP3  	STAT6  	0.019138
FOXP3  	TBX21  	0.02198
FOXP3  	TGFB1  	0.019039
FOXP3  	TNFRSF4	0.012671
FOXP3  	TNFSF4 	0.00665
FOXP3  	TSLP   	0.012724
GATA3  	ICOS   	0.017778
GATA3  	IFNG   	0.018293
GATA3  	IFNGR2 	0.016325
GATA3  	IL10   	0.019319
GATA3  	IL12A  	0.019881
GATA3  	IL12B  	0.019006
GATA3  	IL13   	0.019568
GATA3  	IL13RA1	0.020637
GATA3  	IL13RA2	0.020637
GATA3  	IL17A  	0.018475
GATA3  	IL17RB 	0.012318
GATA3  	IL18   	0.020404
GATA3  	IL1RL1 	0.0080398
GATA3  	IL21   	0.018388
GATA3  	IL25   	0.011418
GATA3  	IL2RA  	0.018063
GATA3  	IL3    	0.0184
GATA3  	IL33   	0.011418
GATA3  	IL3RA  	0.01758
GATA3  	IL4    	0.01855
GATA3  	IL4R   	0.019599
GATA3  	IL5    	0.017893
GATA3  	IL5RA  	0.01758
GATA3  	IL9    	0.018661
GATA3  	KIT    	0.014002
GATA3  	KITLG  	0.014441
GATA3  	MAF    	0.013453
GATA3  	MMP9   	0.015509
GATA3  	MS4A2  	0
GATA3  	PDCD1  	0.013337
GATA3  	PPARG  	0.012265
GATA3  	RETNLB 	0.016296
GATA3  	RORC   	0.021894
GATA3  	SATB1  	0.072108
GATA3  	STAT5A 	0.017205
GATA3  	STAT6  	0.019638
GATA3  	TBX21  	0.02017
GATA3  	TGFB1  	0.017335
GATA3  	TNFRSF4	0.0089839
GATA3  	TNFSF4 	0.0037099
GATA3  	TSLP   	0.014596
ICOS   	IFNG   	0.019362
ICOS   	IFNGR2 	0.015311
ICOS   	IL10   	0.023195
ICOS   	IL12A  	0.019427
ICOS   	IL12B  	0.018719
ICOS   	IL13   	0.016802
ICOS   	IL13RA1	0.015237
ICOS   	IL13RA2	0.015237
ICOS   	IL17A  	0.019151
ICOS   	IL17RB 	0.0092361
ICOS   	IL18   	0.018761
ICOS   	IL1RL1 	0.0038429
ICOS   	IL21   	0.026684
ICOS   	IL25   	0.0071378
ICOS   	IL2RA  	0.017913
ICOS   	IL3    	0.015533
ICOS   	IL33   	0.0071378
ICOS   	IL3RA  	0.012713
ICOS   	IL4    	0.016091
ICOS   	IL4R   	0.017185
ICOS   	IL5    	0.015006
ICOS   	IL5RA  	0.012713
ICOS   	IL9    	0.017069
ICOS   	KIT    	0.010948
ICOS   	KITLG  	0.011085
ICOS   	MAF    	0.008289
ICOS   	MMP9   	0.01587
ICOS   	MS4A2  	0
ICOS   	PDCD1  	0.096697
ICOS   	PPARG  	0.01141
ICOS   	RETNLB 	0.0086572
ICOS   	RORC   	0.021667
ICOS   	SATB1  	0.010014
ICOS   	STAT5A 	0.015642
ICOS   	STAT6  	0.016577
ICOS   	TBX21  	0.022894
ICOS   	TGFB1  	0.017343
ICOS   	TNFRSF4	0.0080653
ICOS   	TNFSF4 	0.0030688
ICOS   	TSLP   	0.0095142
IFNG   	IFNGR2 	0.027745
IFNG   	IL10   	0.019407
IFNG   	IL12A  	0.022135
IFNG   	IL12B  	0.021562
IFNG   	IL13   	0.019331
IFNG   	IL13RA1	0.019636
IFNG   	IL13RA2	0.019636
IFNG   	IL17A  	0.018666
IFNG   	IL17RB 	0.011863
IFNG   	IL18   	0.021264
IFNG   	IL1RL1 	0.0070382
IFNG   	IL21   	0.018167
IFNG   	IL25   	0.01051
IFNG   	IL2RA  	0.018228
IFNG   	IL3    	0.018826
IFNG   	IL33   	0.01051
IFNG   	IL3RA  	0.018313
IFNG   	IL4    	0.018615
IFNG   	IL4R   	0.019451
IFNG   	IL5    	0.017461
IFNG   	IL5RA  	0.018313
IFNG   	IL9    	0.01881
IFNG   	KIT    	0.016484
IFNG   	KITLG  	0.016524
IFNG   	MAF    	0.011837
IFNG   	MMP9   	0.019056
IFNG   	MS4A2  	0
IFNG   	PDCD1  	0.017825
IFNG   	PPARG  	0.017391
IFNG   	RETNLB 	0.013063
IFNG   	RORC   	0.020032
IFNG   	SATB1  	0.011469
IFNG   	STAT5A 	0.018306
IFNG   	STAT6  	0.018988
IFNG   	TBX21  	0.019852
IFNG   	TGFB1  	0.019415
IFNG   	TNFRSF4	0.010392
IFNG   	TNFSF4 	0.0051115
IFNG   	TSLP   	0.013179
IFNGR2 	IL10   	0.01992
IFNGR2 	IL12A  	0.031355
IFNGR2 	IL12B  	0.047457
IFNGR2 	IL13   	0.017487
IFNGR2 	IL13RA1	0.016032
IFNGR2 	IL13RA2	0.016032
IFNGR2 	IL17A  	0.016829
IFNGR2 	IL17RB 	0.0070687
IFNGR2 	IL18   	0.020466
IFNGR2 	IL1RL1 	0.0030689
IFNGR2 	IL21   	0.015018
IFNGR2 	IL25   	0.0060202
IFNGR2 	IL2RA  	0.016609
IFNGR2 	IL3    	0.016079
IFNGR2 	IL33   	0.0060202
IFNGR2 	IL3RA  	0.012402
IFNGR2 	IL4    	0.017474
IFNGR2 	IL4R   	0.018089
IFNGR2 	IL5    	0.014967
IFNGR2 	IL5RA  	0.012402
IFNGR2 	IL9    	0.01486
IFNGR2 	KIT    	0.010417
IFNGR2 	KITLG  	0.010825
IFNGR2 	MAF    	0.0083321
IFNGR2 	MMP9   	0.014354
IFNGR2 	MS4A2  	0
IFNGR2 	PDCD1  	0.010579
IFNGR2 	PPARG  	0.010166
IFNGR2 	RETNLB 	0.0097496
IFNGR2 	RORC   	0.015813
IFNGR2 	SATB1  	0.0070069
IFNGR2 	STAT5A 	0.015855
IFNGR2 	STAT6  	0.018957
IFNGR2 	TBX21  	0.02129
IFNGR2 	TGFB1  	0.017089
IFNGR2 	TNFRSF4	0.006246
IFNGR2 	TNFSF4 	0.0020798
IFNGR2 	TSLP   	0.009377
IL10   	IL12A  	0.020641
IL10   	IL12B  	0.020035
IL10   	IL13   	0.019361
IL10   	IL13RA1	0.02001
IL10   	IL13RA2	0.02001
IL10   	IL17A  	0.019421
IL10   	IL17RB 	0.012965
IL10   	IL18   	0.020303
IL10   	IL1RL1 	0.007722
IL10   	IL21   	0.019463
IL10   	IL25   	0.01128
IL10   	IL2RA  	0.0186
IL10   	IL3    	0.01875
IL10   	IL33   	0.01128
IL10   	IL3RA  	0.018102
IL10   	IL4    	0.01835
IL10   	IL4R   	0.019606
IL10   	IL5    	0.017586
IL10   	IL5RA  	0.018102
IL10   	IL9    	0.018903
IL10   	KIT    	0.014986
IL10   	KITLG  	0.015
IL10   	MAF    	0.011687
IL10   	MMP9   	0.019824
IL10   	MS4A2  	0
IL10   	PDCD1  	0.024713
IL10   	PPARG  	0.019164
IL10   	RETNLB 	0.014052
IL10   	RORC   	0.02158
IL10   	SATB1  	0.01613
IL10   	STAT5A 	0.017697
IL10   	STAT6  	0.018943
IL10   	TBX21  	0.020218
IL10   	TGFB1  	0.020335
IL10   	TNFRSF4	0.011208
IL10   	TNFSF4 	0.0056747
IL10   	TSLP   	0.013364
IL12A  	IL12B  	0.029122
IL12A  	IL13   	0.019884
IL12A  	IL13RA1	0.020328
IL12A  	IL13RA2	0.020328
IL12A  	IL17A  	0.019544
IL12A  	IL17RB 	0.0097063
IL12A  	IL18   	0.023927
IL12A  	IL1RL1 	0.0044913
IL12A  	IL21   	0.019471
IL12A  	IL25   	0.0081522
IL12A  	IL2RA  	0.018781
IL12A  	IL3    	0.018384
IL12A  	IL33   	0.0081522
IL12A  	IL3RA  	0.015454
IL12A  	IL4    	0.020683
IL12A  	IL4R   	0.020485
IL12A  	IL5    	0.017294
IL12A  	IL5RA  	0.015454
IL12A  	IL9    	0.018695
IL12A  	KIT    	0.014364
IL12A  	KITLG  	0.015471
IL12A  	MAF    	0.015919
IL12A  	MMP9   	0.016141
IL12A  	MS4A2  	0
IL12A  	PDCD1  	0.013835
IL12A  	PPARG  	0.011711
IL12A  	RETNLB 	0.012205
IL12A  	RORC   	0.022652
IL12A  	SATB1  	0.011273
IL12A  	STAT5A 	0.01868
IL12A  	STAT6  	0.02039
IL12A  	TBX21  	0.024258
IL12A  	TGFB1  	0.018138
IL12A  	TNFRSF4	0.0080466
IL12A  	TNFSF4 	0.0029299
IL12A  	TSLP   	0.013905
IL12B  	IL13   	0.019609
IL12B  	IL13RA1	0.020308
IL12B  	IL13RA2	0.020308
IL12B  	IL17A  	0.018756
IL12B  	IL17RB 	0.0099376
IL12B  	IL18   	0.021801
IL12B  	IL1RL1 	0.0050021
IL12B  	IL21   	0.018268
IL12B  	IL25   	0.0085742
IL12B  	IL2RA  	0.018216
IL12B  	IL3    	0.0182
IL12B  	IL33   	0.0085742
IL12B  	IL3RA  	0.01596
IL12B  	IL4    	0.019352
IL12B  	IL4R   	0.020034
IL12B  	IL5    	0.017082
IL12B  	IL5RA  	0.01596
IL12B  	IL9    	0.018468
IL12B  	KIT    	0.013955
IL12B  	KITLG  	0.014536
IL12B  	MAF    	0.013969
IL12B  	MMP9   	0.017764
IL12B  	MS4A2  	0
IL12B  	PDCD1  	0.014693
IL12B  	PPARG  	0.014052
IL12B  	RETNLB 	0.015643
IL12B  	RORC   	0.020422
IL12B  	SATB1  	0.011863
IL12B  	STAT5A 	0.017669
IL12B  	STAT6  	0.020094
IL12B  	TBX21  	0.021337
IL12B  	TGFB1  	0.018731
IL12B  	TNFRSF4	0.0082969
IL12B  	TNFSF4 	0.0032143
IL12B  	TSLP   	0.013187
IL13   	IL13RA1	0.023882
IL13   	IL13RA2	0.023882
IL13   	IL17A  	0.018442
IL13   	IL17RB 	0.011597
IL13   	IL18   	0.022285
IL13   	IL1RL1 	0.0074359
IL13   	IL21   	0.018063
IL13   	IL25   	0.010929
IL13   	IL2RA  	0.018741
IL13   	IL3    	0.020197
IL13   	IL33   	0.010929
IL13   	IL3RA  	0.020291
IL13   	IL4    	0.019519
IL13   	IL4R   	0.021265
IL13   	IL5    	0.01842
IL13   	IL5RA  	0.020291
IL13   	IL9    	0.020358
IL13   	KIT    	0.015285
IL13   	KITLG  	0.015446
IL13   	MAF    	0.014332
IL13   	MMP9   	0.018775
IL13   	MS4A2  	0
IL13   	PDCD1  	0.012371
IL13   	PPARG  	0.017553
IL13   	RETNLB 	0.015462
IL13   	RORC   	0.018148
IL13   	SATB1  	0.015691
IL13   	STAT5A 	0.017827
IL13   	STAT6  	0.020189
IL13   	TBX21  	0.019349
IL13   	TGFB1  	0.019612
IL13   	TNFRSF4	0.0095045
IL13   	TNFSF4 	0.0040387
IL13   	TSLP   	0.014939
IL13RA1	IL13RA2	0.0295
IL13RA1	IL17A  	0.017626
IL13RA1	IL17RB 	0.0088756
IL13RA1	IL18   	0.022594
IL13RA1	IL1RL1 	0.0048353
IL13RA1	IL21   	0.017801
IL13RA1	IL25   	0.0084733
IL13RA1	IL2RA  	0.019643
IL13RA1	IL3    	0.019842
IL13RA1	IL33   	0.0084733
IL13RA1	IL3RA  	0.017026
IL13RA1	IL4    	0.021727
IL13RA1	IL4R   	0.027806
IL13RA1	IL5    	0.018303
IL13RA1	IL5RA  	0.017026
IL13RA1	IL9    	0.020695
IL13RA1	KIT    	0.014695
IL13RA1	KITLG  	0.015892
IL13RA1	MAF    	0.017028
IL13RA1	MMP9   	0.014895
IL13RA1	MS4A2  	0
IL13RA1	PDCD1  	0.0093991
IL13RA1	PPARG  	0.011063
IL13RA1	RETNLB 	0.021447
IL13RA1	RORC   	0.016685
IL13RA1	SATB1  	0.01243
IL13RA1	STAT5A 	0.018756
IL13RA1	STAT6  	0.024128
IL13RA1	TBX21  	0.019771
IL13RA1	TGFB1  	0.017718
IL13RA1	TNFRSF4	0.0089495
IL13RA1	TNFSF4 	0.003384
IL13RA1	TSLP   	0.015119
IL13RA2	IL17A  	0.017626
IL13RA2	IL17RB 	0.0088756
IL13RA2	IL18   	0.022594
IL13RA2	IL1RL1 	0.0048353
IL13RA2	IL21   	0.017801
IL13RA2	IL25   	0.0084733
IL13RA2	IL2RA  	0.019643
IL13RA2	IL3    	0.019842
IL13RA2	IL33   	0.0084733
IL13RA2	IL3RA  	0.017026
IL13RA2	IL4    	0.021727
IL13RA2	IL4R   	0.027806
IL13RA2	IL5    	0.018303
IL13RA2	IL5RA  	0.017026
IL13RA2	IL9    	0.020695
IL13RA2	KIT    	0.014695
IL13RA2	KITLG  	0.015892
IL13RA2	MAF    	0.017028
IL13RA2	MMP9   	0.014895
IL13RA2	MS4A2  	0
IL13RA2	PDCD1  	0.0093991
IL13RA2	PPARG  	0.011063
IL13RA2	RETNLB 	0.021447
IL13RA2	RORC   	0.016685
IL13RA2	SATB1  	0.01243
IL13RA2	STAT5A 	0.018756
IL13RA2	STAT6  	0.024128
IL13RA2	TBX21  	0.019771
IL13RA2	TGFB1  	0.017718
IL13RA2	TNFRSF4	0.0089495
IL13RA2	TNFSF4 	0.003384
IL13RA2	TSLP   	0.015119
IL17A  	IL17RB 	0.027662
IL17A  	IL18   	0.01946
IL17A  	IL1RL1 	0.016639
IL17A  	IL21   	0.020156
IL17A  	IL25   	0.021297
IL17A  	IL2RA  	0.017943
IL17A  	IL3    	0.017652
IL17A  	IL33   	0.021297
IL17A  	IL3RA  	0.016534
IL17A  	IL4    	0.017487
IL17A  	IL4R   	0.018085
IL17A  	IL5    	0.018166
IL17A  	IL5RA  	0.016534
IL17A  	IL9    	0.018057
IL17A  	KIT    	0.013359
IL17A  	KITLG  	0.013569
IL17A  	MAF    	0.011626
IL17A  	MMP9   	0.024459
IL17A  	MS4A2  	0
IL17A  	PDCD1  	0.015015
IL17A  	PPARG  	0.028014
IL17A  	RETNLB 	0.010603
IL17A  	RORC   	0.030989
IL17A  	SATB1  	0.01189
IL17A  	STAT5A 	0.016816
IL17A  	STAT6  	0.017679
IL17A  	TBX21  	0.020517
IL17A  	TGFB1  	0.023817
IL17A  	TNFRSF4	0.0090126
IL17A  	TNFSF4 	0.0038145
IL17A  	TSLP   	0.013251
IL17RB 	IL18   	0.01011
IL17RB 	IL1RL1 	0.10614
IL17RB 	IL21   	0.012986
IL17RB 	IL25   	0.11126
IL17RB 	IL2RA  	0.012156
IL17RB 	IL3    	0.012882
IL17RB 	IL33   	0.11126
IL17RB 	IL3RA  	0.013491
IL17RB 	IL4    	0.011107
IL17RB 	IL4R   	0.010043
IL17RB 	IL5    	0.024722
IL17RB 	IL5RA  	0.013491
IL17RB 	IL9    	0.012501
IL17RB 	KIT    	0.0056738
IL17RB 	KITLG  	0.0057214
IL17RB 	MAF    	0.0049298
IL17RB 	MMP9   	0.014175
IL17RB 	MS4A2  	0
IL17RB 	PDCD1  	0.005059
IL17RB 	PPARG  	0.010985
IL17RB 	RETNLB 	0.0043871
IL17RB 	RORC   	0.018786
IL17RB 	SATB1  	0.0052401
IL17RB 	STAT5A 	0.0086849
IL17RB 	STAT6  	0.010701
IL17RB 	TBX21  	0.012647
IL17RB 	TGFB1  	0.014747
IL17RB 	TNFRSF4	0.0042072
IL17RB 	TNFSF4 	0.0012874
IL17RB 	TSLP   	0.011291
IL18   	IL1RL1 	0.005038
IL18   	IL21   	0.019493
IL18   	IL25   	0.0088224
IL18   	IL2RA  	0.01915
IL18   	IL3    	0.019626
IL18   	IL33   	0.0088224
IL18   	IL3RA  	0.017078
IL18   	IL4    	0.020791
IL18   	IL4R   	0.021503
IL18   	IL5    	0.018028
IL18   	IL5RA  	0.017078
IL18   	IL9    	0.02018
IL18   	KIT    	0.014819
IL18   	KITLG  	0.015722
IL18   	MAF    	0.016004
IL18   	MMP9   	0.016504
IL18   	MS4A2  	0
IL18   	PDCD1  	0.013292
IL18   	PPARG  	0.012849
IL18   	RETNLB 	0.012128
IL18   	RORC   	0.02186
IL18   	SATB1  	0.012375
IL18   	STAT5A 	0.018755
IL18   	STAT6  	0.020437
IL18   	TBX21  	0.023104
IL18   	TGFB1  	0.019001
IL18   	TNFRSF4	0.008385
IL18   	TNFSF4 	0.0030919
IL18   	TSLP   	0.014469
IL1RL1 	IL21   	0.0064709
IL1RL1 	IL25   	0.15601
IL1RL1 	IL2RA  	0.0080103
IL1RL1 	IL3    	0.0097729
IL1RL1 	IL33   	0.15601
IL1RL1 	IL3RA  	0.01157
IL1RL1 	IL4    	0.0069629
IL1RL1 	IL4R   	0.0056097
IL1RL1 	IL5    	0.026233
IL1RL1 	IL5RA  	0.01157
IL1RL1 	IL9    	0.00894
IL1RL1 	KIT    	0.0028345
IL1RL1 	KITLG  	0.0026768
IL1RL1 	MAF    	0.0023784
IL1RL1 	MMP9   	0.0054274
IL1RL1 	MS4A2  	0
IL1RL1 	PDCD1  	0.0016493
IL1RL1 	PPARG  	0.0027912
IL1RL1 	RETNLB 	0.0022638
IL1RL1 	RORC   	0.0066405
IL1RL1 	SATB1  	0.0028687
IL1RL1 	STAT5A 	0.0043055
IL1RL1 	STAT6  	0.0066086
IL1RL1 	TBX21  	0.0062837
IL1RL1 	TGFB1  	0.0064662
IL1RL1 	TNFRSF4	0.0023394
IL1RL1 	TNFSF4 	0.00062814
IL1RL1 	TSLP   	0.0097462
IL21   	IL25   	0.010383
IL21   	IL2RA  	0.019635
IL21   	IL3    	0.018102
IL21   	IL33   	0.010383
IL21   	IL3RA  	0.016403
IL21   	IL4    	0.017844
IL21   	IL4R   	0.018373
IL21   	IL5    	0.01683
IL21   	IL5RA  	0.016403
IL21   	IL9    	0.020286
IL21   	KIT    	0.013654
IL21   	KITLG  	0.01398
IL21   	MAF    	0.012841
IL21   	MMP9   	0.015922
IL21   	MS4A2  	0
IL21   	PDCD1  	0.025082
IL21   	PPARG  	0.012528
IL21   	RETNLB 	0.010192
IL21   	RORC   	0.024454
IL21   	SATB1  	0.011419
IL21   	STAT5A 	0.017057
IL21   	STAT6  	0.017558
IL21   	TBX21  	0.021097
IL21   	TGFB1  	0.017453
IL21   	TNFRSF4	0.013177
IL21   	TNFSF4 	0.006978
IL21   	TSLP   	0.012746
IL25   	IL2RA  	0.011431
IL25   	IL3    	0.013592
IL25   	IL33   	0.12094
IL25   	IL3RA  	0.016136
IL25   	IL4    	0.010381
IL25   	IL4R   	0.0092432
IL25   	IL5    	0.026144
IL25   	IL5RA  	0.016136
IL25   	IL9    	0.012524
IL25   	KIT    	0.005477
IL25   	KITLG  	0.0052774
IL25   	MAF    	0.0046706
IL25   	MMP9   	0.0094497
IL25   	MS4A2  	0
IL25   	PDCD1  	0.0037607
IL25   	PPARG  	0.0059468
IL25   	RETNLB 	0.0044362
IL25   	RORC   	0.011621
IL25   	SATB1  	0.0054542
IL25   	STAT5A 	0.0076051
IL25   	STAT6  	0.0099338
IL25   	TBX21  	0.010178
IL25   	TGFB1  	0.010594
IL25   	TNFRSF4	0.0043192
IL25   	TNFSF4 	0.0014838
IL25   	TSLP   	0.013466
IL2RA  	IL3    	0.020246
IL2RA  	IL33   	0.011431
IL2RA  	IL3RA  	0.021211
IL2RA  	IL4    	0.018038
IL2RA  	IL4R   	0.019547
IL2RA  	IL5    	0.018001
IL2RA  	IL5RA  	0.021211
IL2RA  	IL9    	0.019467
IL2RA  	KIT    	0.016008
IL2RA  	KITLG  	0.01575
IL2RA  	MAF    	0.012987
IL2RA  	MMP9   	0.015397
IL2RA  	MS4A2  	0
IL2RA  	PDCD1  	0.013914
IL2RA  	PPARG  	0.012093
IL2RA  	RETNLB 	0.011368
IL2RA  	RORC   	0.019633
IL2RA  	SATB1  	0.011633
IL2RA  	STAT5A 	0.017831
IL2RA  	STAT6  	0.017972
IL2RA  	TBX21  	0.018771
IL2RA  	TGFB1  	0.016899
IL2RA  	TNFRSF4	0.039596
IL2RA  	TNFSF4 	0.033229
IL2RA  	TSLP   	0.01441
IL3    	IL33   	0.013592
IL3    	IL3RA  	0.035239
IL3    	IL4    	0.018968
IL3    	IL4R   	0.019579
IL3    	IL5    	0.021273
IL3    	IL5RA  	0.035239
IL3    	IL9    	0.022507
IL3    	KIT    	0.016936
IL3    	KITLG  	0.015796
IL3    	MAF    	0.013606
IL3    	MMP9   	0.015406
IL3    	MS4A2  	0
IL3    	PDCD1  	0.01069
IL3    	PPARG  	0.011612
IL3    	RETNLB 	0.010674
IL3    	RORC   	0.016395
IL3    	SATB1  	0.01087
IL3    	STAT5A 	0.01802
IL3    	STAT6  	0.018417
IL3    	TBX21  	0.018144
IL3    	TGFB1  	0.016888
IL3    	TNFRSF4	0.013489
IL3    	TNFSF4 	0.0071162
IL3    	TSLP   	0.016748
IL33   	IL3RA  	0.016136
IL33   	IL4    	0.010381
IL33   	IL4R   	0.0092432
IL33   	IL5    	0.026144
IL33   	IL5RA  	0.016136
IL33   	IL9    	0.012524
IL33   	KIT    	0.005477
IL33   	KITLG  	0.0052774
IL33   	MAF    	0.0046706
IL33   	MMP9   	0.0094497
IL33   	MS4A2  	0
IL33   	PDCD1  	0.0037607
IL33   	PPARG  	0.0059468
IL33   	RETNLB 	0.0044362
IL33   	RORC   	0.011621
IL33   	SATB1  	0.0054542
IL33   	STAT5A 	0.0076051
IL33   	STAT6  	0.0099338
IL33   	TBX21  	0.010178
IL33   	TGFB1  	0.010594
IL33   	TNFRSF4	0.0043192
IL33   	TNFSF4 	0.0014838
IL33   	TSLP   	0.013466
IL3RA  	IL4    	0.018365
IL3RA  	IL4R   	0.018072
IL3RA  	IL5    	0.025965
IL3RA  	IL5RA  	0.058762
IL3RA  	IL9    	0.024706
IL3RA  	KIT    	0.017756
IL3RA  	KITLG  	0.014727
IL3RA  	MAF    	0.0098775
IL3RA  	MMP9   	0.013136
IL3RA  	MS4A2  	0
IL3RA  	PDCD1  	0.0076852
IL3RA  	PPARG  	0.0086968
IL3RA  	RETNLB 	0.0080014
IL3RA  	RORC   	0.013203
IL3RA  	SATB1  	0.0088041
IL3RA  	STAT5A 	0.017569
IL3RA  	STAT6  	0.016876
IL3RA  	TBX21  	0.016173
IL3RA  	TGFB1  	0.014992
IL3RA  	TNFRSF4	0.010168
IL3RA  	TNFSF4 	0.0039887
IL3RA  	TSLP   	0.017732
IL4    	IL4R   	0.020059
IL4    	IL5    	0.017797
IL4    	IL5RA  	0.018365
IL4    	IL9    	0.019388
IL4    	KIT    	0.017246
