ALOX5  	BCL6   	0.0078287
CD40LG 	IL12B  	0.01792
CD40LG 	IL13   	0.017061
CD40LG 	IL13RA1	0.016111
CD40LG 	IL13RA2	0.016111
CD40LG 	IL17A  	0.017478
CD40LG 	IL17RB 	0.011961
CD40LG 	IL18   	0.017732
CD40LG 	IL1RL1 	0.011873
CD40LG 	IL21   	0.018225
CD40LG 	IL25   	0.013823
CD40LG 	IL2RA  	0.017664
CD40LG 	IL3    	0.019477
CD40LG 	IL33   	0.013016
CD40LG 	IL3RA  	0.018029
CD40LG 	IL4    	0.016559
CD40LG 	IL4R   	0.017234
CD40LG 	IL5    	0.016963
CD40LG 	IL5RA  	0.018322
CD40LG 	IL9    	0.017348
CD40LG 	KIT    	0.012968
CD40LG 	KITLG  	0.012968
CD40LG 	LTB4R  	0
CD40LG 	MAF    	0.022507
CD40LG 	MMP9   	0.017244
CD40LG 	MS4A2  	0.0024342
CD40LG 	PDCD1  	0.024299
CD40LG 	PPARG  	0.014232
CD40LG 	RETNLB 	0.0091737
CD40LG 	RNASE2 	0
CD40LG 	RNASE3 	0
CD40LG 	RORC   	0.016625
CD40LG 	SATB1  	0.0097849
CD40LG 	STAT5A 	0.015866
CD40LG 	STAT6  	0.016995
CD40LG 	TBX21  	0.018253
CD40LG 	TGFB1  	0.018594
CD40LG 	TNFRSF4	0.011518
CD40LG 	TNFSF4 	0.0047058
CD40LG 	TSLP   	0.015145
CMA1   	CRLF2  	0.0049139
CMA1   	CSF2   	0.023588
CMA1   	CSF3R  	0.012814
CMA1   	CYSLTR1	0
CMA1   	EPX    	0
CMA1   	FCER1A 	0.0065605
CMA1   	FOXP3  	0.011323
CMA1   	GATA3  	0.0097234
CMA1   	GPR44  	0.0054604
CMA1   	ICOS   	0.0082361
CMA1   	IFNG   	0.01108
CMA1   	IFNGR2 	0.0058832
CMA1   	IL10   	0.010533
CMA1   	IL12A  	0.0098715
CMA1   	IL12B  	0.0096486
CMA1   	IL13   	0.010559
CMA1   	IL13RA1	0.010184
CMA1   	IL13RA2	0.010184
CMA1   	IL17A  	0.0093831
CMA1   	IL17RB 	0.0044966
CMA1   	IL18   	0.010211
CMA1   	IL1RL1 	0.0049435
CMA1   	IL21   	0.011084
CMA1   	IL25   	0.006599
CMA1   	IL2RA  	0.012073
CMA1   	IL3    	0.011963
CMA1   	IL33   	0.0057726
CMA1   	IL3RA  	0.013834
CMA1   	IL4    	0.016337
CMA1   	IL4R   	0.012943
CMA1   	IL5    	0.010791
CMA1   	IL5RA  	0.012387
CMA1   	IL9    	0.011662
CMA1   	KIT    	0.098672
CMA1   	KITLG  	0.098672
CMA1   	LTB4R  	0
CMA1   	MAF    	0.007077
CMA1   	MMP9   	0.0068556
CMA1   	MS4A2  	0.0023148
CMA1   	PDCD1  	0.0039506
CMA1   	PPARG  	0.007493
CMA1   	RETNLB 	0.0033894
CMA1   	RNASE2 	0
CMA1   	RNASE3 	0
CMA1   	RORC   	0.0074407
CMA1   	SATB1  	0.0033981
CMA1   	STAT5A 	0.034452
CMA1   	STAT6  	0.0097185
CMA1   	TBX21  	0.011569
CMA1   	TGFB1  	0.0077697
CMA1   	TNFRSF4	0.0080332
CMA1   	TNFSF4 	0.0027672
CMA1   	TSLP   	0.012485
CRLF2  	CSF2   	0.0088207
CRLF2  	CSF3R  	0.0033094
CRLF2  	CYSLTR1	0
CRLF2  	EPX    	0
CRLF2  	FCER1A 	0.0039669
CRLF2  	FOXP3  	0.0088944
CRLF2  	GATA3  	0.0084284
CRLF2  	GPR44  	0.0091698
CRLF2  	ICOS   	0.0062411
CRLF2  	IFNG   	0.0090729
CRLF2  	IFNGR2 	0.0048963
CRLF2  	IL10   	0.0084494
CRLF2  	IL12A  	0.0076966
CRLF2  	IL12B  	0.0082035
CRLF2  	IL13   	0.012221
CRLF2  	IL13RA1	0.0086799
CRLF2  	IL13RA2	0.0086799
CRLF2  	IL17A  	0.0080747
CRLF2  	IL17RB 	0.0051584
CRLF2  	IL18   	0.008339
CRLF2  	IL1RL1 	0.0066094
CRLF2  	IL21   	0.0082506
CRLF2  	IL25   	0.0075935
CRLF2  	IL2RA  	0.0083524
CRLF2  	IL3    	0.0088438
CRLF2  	IL33   	0.0073721
CRLF2  	IL3RA  	0.0083823
CRLF2  	IL4    	0.011017
CRLF2  	IL4R   	0.0098079
CRLF2  	IL5    	0.012152
CRLF2  	IL5RA  	0.0077685
CRLF2  	IL9    	0.0089893
CRLF2  	KIT    	0.0086996
CRLF2  	KITLG  	0.0086996
CRLF2  	LTB4R  	0
CRLF2  	MAF    	0.0046395
CRLF2  	MMP9   	0.0064636
CRLF2  	MS4A2  	0.0013108
CRLF2  	PDCD1  	0.0027069
CRLF2  	PPARG  	0.005344
CRLF2  	RETNLB 	0.0033676
CRLF2  	RNASE2 	0
CRLF2  	RNASE3 	0
CRLF2  	RORC   	0.0058514
CRLF2  	SATB1  	0.0030923
CRLF2  	STAT5A 	0.016723
CRLF2  	STAT6  	0.0090302
CRLF2  	TBX21  	0.0083827
CRLF2  	TGFB1  	0.0073193
CRLF2  	TNFRSF4	0.0050593
CRLF2  	TNFSF4 	0.0016268
CRLF2  	TSLP   	0.080501
CSF2   	CSF3R  	0.038352
CSF2   	CYSLTR1	0
CSF2   	EPX    	0
CSF2   	FCER1A 	0.0083401
CSF2   	FOXP3  	0.015788
CSF2   	GATA3  	0.015255
CSF2   	GPR44  	0.014357
CSF2   	ICOS   	0.014564
CSF2   	IFNG   	0.016142
CSF2   	IFNGR2 	0.013677
CSF2   	IL10   	0.016226
CSF2   	IL12A  	0.015698
CSF2   	IL12B  	0.015627
CSF2   	IL13   	0.016249
CSF2   	IL13RA1	0.01597
CSF2   	IL13RA2	0.01597
CSF2   	IL17A  	0.015545
CSF2   	IL17RB 	0.013411
CSF2   	IL18   	0.016006
CSF2   	IL1RL1 	0.01445
CSF2   	IL21   	0.016209
CSF2   	IL25   	0.015377
CSF2   	IL2RA  	0.016742
CSF2   	IL3    	0.018079
CSF2   	IL33   	0.014703
CSF2   	IL3RA  	0.020465
CSF2   	IL4    	0.01611
CSF2   	IL4R   	0.016478
CSF2   	IL5    	0.016742
CSF2   	IL5RA  	0.021313
CSF2   	IL9    	0.017848
CSF2   	KIT    	0.021602
CSF2   	KITLG  	0.021602
CSF2   	LTB4R  	0
CSF2   	MAF    	0.011757
CSF2   	MMP9   	0.014565
CSF2   	MS4A2  	0.0038402
CSF2   	PDCD1  	0.0094961
CSF2   	PPARG  	0.013247
CSF2   	RETNLB 	0.0088049
CSF2   	RNASE2 	0
CSF2   	RNASE3 	0
CSF2   	RORC   	0.014292
CSF2   	SATB1  	0.0089632
CSF2   	STAT5A 	0.018062
CSF2   	STAT6  	0.015427
CSF2   	TBX21  	0.015776
CSF2   	TGFB1  	0.015583
CSF2   	TNFRSF4	0.01281
CSF2   	TNFSF4 	0.0068358
CSF2   	TSLP   	0.015166
CSF3R  	CYSLTR1	0
CSF3R  	EPX    	0
CSF3R  	FCER1A 	0.0038402
CSF3R  	FOXP3  	0.0092331
CSF3R  	GATA3  	0.0089632
CSF3R  	GPR44  	0.0067582
CSF3R  	ICOS   	0.0077458
CSF3R  	IFNG   	0.010892
CSF3R  	IFNGR2 	0.0062095
CSF3R  	IL10   	0.011382
CSF3R  	IL12A  	0.0083493
CSF3R  	IL12B  	0.0089946
CSF3R  	IL13   	0.011106
CSF3R  	IL13RA1	0.0083986
CSF3R  	IL13RA2	0.0083986
CSF3R  	IL17A  	0.0087893
CSF3R  	IL17RB 	0.0055772
CSF3R  	IL18   	0.0086519
CSF3R  	IL1RL1 	0.0067498
CSF3R  	IL21   	0.0097986
CSF3R  	IL25   	0.0084403
CSF3R  	IL2RA  	0.013134
CSF3R  	IL3    	0.015023
CSF3R  	IL33   	0.0073358
CSF3R  	IL3RA  	0.018674
CSF3R  	IL4    	0.010938
CSF3R  	IL4R   	0.010317
CSF3R  	IL5    	0.012173
CSF3R  	IL5RA  	0.019624
CSF3R  	IL9    	0.014637
CSF3R  	KIT    	0.018201
CSF3R  	KITLG  	0.018201
CSF3R  	LTB4R  	0
CSF3R  	MAF    	0.0051764
CSF3R  	MMP9   	0.0073634
CSF3R  	MS4A2  	0.0012424
CSF3R  	PDCD1  	0.0034261
CSF3R  	PPARG  	0.0057626
CSF3R  	RETNLB 	0.003287
CSF3R  	RNASE2 	0
CSF3R  	RNASE3 	0
CSF3R  	RORC   	0.0064705
CSF3R  	SATB1  	0.0034062
CSF3R  	STAT5A 	0.014101
CSF3R  	STAT6  	0.0088049
CSF3R  	TBX21  	0.009026
CSF3R  	TGFB1  	0.0084874
CSF3R  	TNFRSF4	0.0068358
CSF3R  	TNFSF4 	0.0024106
CSF3R  	TSLP   	0.0088207
CYSLTR1	EPX    	0
CYSLTR1	FCER1A 	0
CYSLTR1	FOXP3  	0
CYSLTR1	GATA3  	0
CYSLTR1	GPR44  	0
CYSLTR1	ICOS   	0
CYSLTR1	IFNG   	0
CYSLTR1	IFNGR2 	0
CYSLTR1	IL10   	0
CYSLTR1	IL12A  	0
CYSLTR1	IL12B  	0
CYSLTR1	IL13   	0
CYSLTR1	IL13RA1	0
CYSLTR1	IL13RA2	0
CYSLTR1	IL17A  	0
CYSLTR1	IL17RB 	0
CYSLTR1	IL18   	0
CYSLTR1	IL1RL1 	0
CYSLTR1	IL21   	0
CYSLTR1	IL25   	0
CYSLTR1	IL2RA  	0
CYSLTR1	IL3    	0
CYSLTR1	IL33   	0
CYSLTR1	IL3RA  	0
CYSLTR1	IL4    	0
CYSLTR1	IL4R   	0
CYSLTR1	IL5    	0
CYSLTR1	IL5RA  	0
CYSLTR1	IL9    	0
CYSLTR1	KIT    	0
CYSLTR1	KITLG  	0
CYSLTR1	LTB4R  	0.43233
CYSLTR1	MAF    	0
CYSLTR1	MMP9   	0
CYSLTR1	MS4A2  	0
CYSLTR1	PDCD1  	0
CYSLTR1	PPARG  	0
CYSLTR1	RETNLB 	0
CYSLTR1	RNASE2 	0
CYSLTR1	RNASE3 	0
CYSLTR1	RORC   	0
CYSLTR1	SATB1  	0
CYSLTR1	STAT5A 	0
CYSLTR1	STAT6  	0
CYSLTR1	TBX21  	0
CYSLTR1	TGFB1  	0
CYSLTR1	TNFRSF4	0
CYSLTR1	TNFSF4 	0
CYSLTR1	TSLP   	0
EPX    	FCER1A 	0
EPX    	FOXP3  	0
EPX    	GATA3  	0
EPX    	GPR44  	0
EPX    	ICOS   	0
EPX    	IFNG   	0
EPX    	IFNGR2 	0
EPX    	IL10   	0
EPX    	IL12A  	0
EPX    	IL12B  	0
EPX    	IL13   	0
EPX    	IL13RA1	0
EPX    	IL13RA2	0
EPX    	IL17A  	0
EPX    	IL17RB 	0
EPX    	IL18   	0
EPX    	IL1RL1 	0
EPX    	IL21   	0
EPX    	IL25   	0
EPX    	IL2RA  	0
EPX    	IL3    	0
EPX    	IL33   	0
EPX    	IL3RA  	0
EPX    	IL4    	0
EPX    	IL4R   	0
EPX    	IL5    	0
EPX    	IL5RA  	0
EPX    	IL9    	0
EPX    	KIT    	0
EPX    	KITLG  	0
EPX    	LTB4R  	0
EPX    	MAF    	0
EPX    	MMP9   	0
EPX    	MS4A2  	0
EPX    	PDCD1  	0
EPX    	PPARG  	0
EPX    	RETNLB 	0
EPX    	RNASE2 	0.31674
EPX    	RNASE3 	0.31674
EPX    	RORC   	0
EPX    	SATB1  	0
EPX    	STAT5A 	0
EPX    	STAT6  	0
EPX    	TBX21  	0
EPX    	TGFB1  	0
EPX    	TNFRSF4	0
EPX    	TNFSF4 	0
EPX    	TSLP   	0
FCER1A 	FOXP3  	0.0078633
FCER1A 	GATA3  	0.0086044
FCER1A 	GPR44  	0.0058841
FCER1A 	ICOS   	0.0072734
FCER1A 	IFNG   	0.0081172
FCER1A 	IFNGR2 	0.0057241
FCER1A 	IL10   	0.0080979
FCER1A 	IL12A  	0.009678
FCER1A 	IL12B  	0.0089088
FCER1A 	IL13   	0.0087892
FCER1A 	IL13RA1	0.010628
FCER1A 	IL13RA2	0.010628
FCER1A 	IL17A  	0.0084307
FCER1A 	IL17RB 	0.0048738
FCER1A 	IL18   	0.010182
FCER1A 	IL1RL1 	0.0049091
FCER1A 	IL21   	0.0086529
FCER1A 	IL25   	0.006097
FCER1A 	IL2RA  	0.0092236
FCER1A 	IL3    	0.0089653
FCER1A 	IL33   	0.0055939
FCER1A 	IL3RA  	0.010246
FCER1A 	IL4    	0.017317
FCER1A 	IL4R   	0.009539
FCER1A 	IL5    	0.0084615
FCER1A 	IL5RA  	0.00749
FCER1A 	IL9    	0.0088321
FCER1A 	KIT    	0.0093258
FCER1A 	KITLG  	0.0093258
FCER1A 	LTB4R  	0
FCER1A 	MAF    	0.0090848
FCER1A 	MMP9   	0.0070728
FCER1A 	MS4A2  	0.27745
FCER1A 	PDCD1  	0.0053687
FCER1A 	PPARG  	0.0095519
FCER1A 	RETNLB 	0.004207
FCER1A 	RNASE2 	0
FCER1A 	RNASE3 	0
FCER1A 	RORC   	0.0073295
FCER1A 	SATB1  	0.0040389
FCER1A 	STAT5A 	0.0079046
FCER1A 	STAT6  	0.0089557
FCER1A 	TBX21  	0.0088598
FCER1A 	TGFB1  	0.0070661
FCER1A 	TNFRSF4	0.009725
FCER1A 	TNFSF4 	0.0047308
FCER1A 	TSLP   	0.0083606
FOXP3  	GATA3  	0.01786
FOXP3  	GPR44  	0.014918
FOXP3  	ICOS   	0.018833
FOXP3  	IFNG   	0.017725
FOXP3  	IFNGR2 	0.017038
FOXP3  	IL10   	0.018
FOXP3  	IL12A  	0.0187
FOXP3  	IL12B  	0.017996
FOXP3  	IL13   	0.017105
FOXP3  	IL13RA1	0.017481
FOXP3  	IL13RA2	0.017481
FOXP3  	IL17A  	0.01828
FOXP3  	IL17RB 	0.01439
FOXP3  	IL18   	0.01847
FOXP3  	IL1RL1 	0.012942
FOXP3  	IL21   	0.018403
FOXP3  	IL25   	0.014711
FOXP3  	IL2RA  	0.017311
FOXP3  	IL3    	0.016869
FOXP3  	IL33   	0.014256
FOXP3  	IL3RA  	0.016174
FOXP3  	IL4    	0.016736
FOXP3  	IL4R   	0.017607
FOXP3  	IL5    	0.016597
FOXP3  	IL5RA  	0.015989
FOXP3  	IL9    	0.016557
FOXP3  	KIT    	0.014987
FOXP3  	KITLG  	0.014987
FOXP3  	LTB4R  	0
FOXP3  	MAF    	0.017743
FOXP3  	MMP9   	0.019416
FOXP3  	MS4A2  	0.003185
FOXP3  	PDCD1  	0.017612
FOXP3  	PPARG  	0.020219
FOXP3  	RETNLB 	0.013115
FOXP3  	RNASE2 	0
FOXP3  	RNASE3 	0
FOXP3  	RORC   	0.021161
FOXP3  	SATB1  	0.015932
FOXP3  	STAT5A 	0.017432
FOXP3  	STAT6  	0.017372
FOXP3  	TBX21  	0.018653
FOXP3  	TGFB1  	0.019013
FOXP3  	TNFRSF4	0.013382
FOXP3  	TNFSF4 	0.0069999
FOXP3  	TSLP   	0.015566
GATA3  	GPR44  	0.013454
GATA3  	ICOS   	0.016711
GATA3  	IFNG   	0.017243
GATA3  	IFNGR2 	0.016653
GATA3  	IL10   	0.017714
GATA3  	IL12A  	0.01813
GATA3  	IL12B  	0.017512
GATA3  	IL13   	0.017208
GATA3  	IL13RA1	0.017973
GATA3  	IL13RA2	0.017973
GATA3  	IL17A  	0.017369
GATA3  	IL17RB 	0.014843
GATA3  	IL18   	0.018356
GATA3  	IL1RL1 	0.014802
GATA3  	IL21   	0.017052
GATA3  	IL25   	0.015661
GATA3  	IL2RA  	0.016697
GATA3  	IL3    	0.016523
GATA3  	IL33   	0.015449
GATA3  	IL3RA  	0.016288
GATA3  	IL4    	0.016231
GATA3  	IL4R   	0.017449
GATA3  	IL5    	0.016744
GATA3  	IL5RA  	0.016139
GATA3  	IL9    	0.016382
GATA3  	KIT    	0.013622
GATA3  	KITLG  	0.013622
GATA3  	LTB4R  	0
GATA3  	MAF    	0.013982
GATA3  	MMP9   	0.016456
GATA3  	MS4A2  	0.0040389
GATA3  	PDCD1  	0.01234
GATA3  	PPARG  	0.015538
GATA3  	RETNLB 	0.014239
GATA3  	RNASE2 	0
GATA3  	RNASE3 	0
GATA3  	RORC   	0.017469
GATA3  	SATB1  	0.06281
GATA3  	STAT5A 	0.015943
GATA3  	STAT6  	0.017461
GATA3  	TBX21  	0.018058
GATA3  	TGFB1  	0.017824
GATA3  	TNFRSF4	0.01228
GATA3  	TNFSF4 	0.0059768
GATA3  	TSLP   	0.014885
GPR44  	ICOS   	0.012138
GPR44  	IFNG   	0.016406
GPR44  	IFNGR2 	0.010833
GPR44  	IL10   	0.014945
GPR44  	IL12A  	0.013887
GPR44  	IL12B  	0.014995
GPR44  	IL13   	0.01513
GPR44  	IL13RA1	0.012984
GPR44  	IL13RA2	0.012984
GPR44  	IL17A  	0.013958
GPR44  	IL17RB 	0.0077674
GPR44  	IL18   	0.013093
GPR44  	IL1RL1 	0.0084107
GPR44  	IL21   	0.01309
GPR44  	IL25   	0.010344
GPR44  	IL2RA  	0.013636
GPR44  	IL3    	0.016034
GPR44  	IL33   	0.0094991
GPR44  	IL3RA  	0.013431
GPR44  	IL4    	0.015456
GPR44  	IL4R   	0.013866
GPR44  	IL5    	0.015119
GPR44  	IL5RA  	0.01316
GPR44  	IL9    	0.014925
GPR44  	KIT    	0.009911
GPR44  	KITLG  	0.009911
GPR44  	LTB4R  	0
GPR44  	MAF    	0.0081742
GPR44  	MMP9   	0.017459
GPR44  	MS4A2  	0.0019768
GPR44  	PDCD1  	0.0056492
GPR44  	PPARG  	0.012024
GPR44  	RETNLB 	0.0073803
GPR44  	RNASE2 	0
GPR44  	RNASE3 	0
GPR44  	RORC   	0.012556
GPR44  	SATB1  	0.0053101
GPR44  	STAT5A 	0.012482
GPR44  	STAT6  	0.016148
GPR44  	TBX21  	0.013621
GPR44  	TGFB1  	0.01411
GPR44  	TNFRSF4	0.0080915
GPR44  	TNFSF4 	0.0026971
GPR44  	TSLP   	0.018747
ICOS   	IFNG   	0.017581
ICOS   	IFNGR2 	0.016096
ICOS   	IL10   	0.018369
ICOS   	IL12A  	0.017689
ICOS   	IL12B  	0.017096
ICOS   	IL13   	0.015773
ICOS   	IL13RA1	0.015557
ICOS   	IL13RA2	0.015557
ICOS   	IL17A  	0.017028
ICOS   	IL17RB 	0.011634
ICOS   	IL18   	0.01773
ICOS   	IL1RL1 	0.010722
ICOS   	IL21   	0.019255
ICOS   	IL25   	0.01259
ICOS   	IL2RA  	0.016727
ICOS   	IL3    	0.016417
ICOS   	IL33   	0.011965
ICOS   	IL3RA  	0.015047
ICOS   	IL4    	0.016468
ICOS   	IL4R   	0.016407
ICOS   	IL5    	0.015409
ICOS   	IL5RA  	0.014685
ICOS   	IL9    	0.015438
ICOS   	KIT    	0.012685
ICOS   	KITLG  	0.012685
ICOS   	LTB4R  	0
ICOS   	MAF    	0.052135
ICOS   	MMP9   	0.015794
ICOS   	MS4A2  	0.0027766
ICOS   	PDCD1  	0.067422
ICOS   	PPARG  	0.014761
ICOS   	RETNLB 	0.0094558
ICOS   	RNASE2 	0
ICOS   	RNASE3 	0
ICOS   	RORC   	0.017392
ICOS   	SATB1  	0.010752
ICOS   	STAT5A 	0.01594
ICOS   	STAT6  	0.016073
ICOS   	TBX21  	0.018833
ICOS   	TGFB1  	0.017244
ICOS   	TNFRSF4	0.011537
ICOS   	TNFSF4 	0.0049834
ICOS   	TSLP   	0.013575
IFNG   	IFNGR2 	0.024071
IFNG   	IL10   	0.017826
IFNG   	IL12A  	0.018581
IFNG   	IL12B  	0.018734
IFNG   	IL13   	0.017314
IFNG   	IL13RA1	0.017663
IFNG   	IL13RA2	0.017663
IFNG   	IL17A  	0.017728
IFNG   	IL17RB 	0.014589
IFNG   	IL18   	0.019043
IFNG   	IL1RL1 	0.014003
IFNG   	IL21   	0.017567
IFNG   	IL25   	0.015355
IFNG   	IL2RA  	0.017069
IFNG   	IL3    	0.017305
IFNG   	IL33   	0.014958
IFNG   	IL3RA  	0.016922
IFNG   	IL4    	0.016634
IFNG   	IL4R   	0.017552
IFNG   	IL5    	0.016832
IFNG   	IL5RA  	0.016929
IFNG   	IL9    	0.016906
IFNG   	KIT    	0.014658
IFNG   	KITLG  	0.014658
IFNG   	LTB4R  	0
IFNG   	MAF    	0.015455
IFNG   	MMP9   	0.017659
IFNG   	MS4A2  	0.0034635
IFNG   	PDCD1  	0.014431
IFNG   	PPARG  	0.016205
IFNG   	RETNLB 	0.012247
IFNG   	RNASE2 	0
IFNG   	RNASE3 	0
IFNG   	RORC   	0.01772
IFNG   	SATB1  	0.013052
IFNG   	STAT5A 	0.016693
IFNG   	STAT6  	0.017352
IFNG   	TBX21  	0.018004
IFNG   	TGFB1  	0.018678
IFNG   	TNFRSF4	0.012743
IFNG   	TNFSF4 	0.0064335
IFNG   	TSLP   	0.015739
IFNGR2 	IL10   	0.018582
IFNGR2 	IL12A  	0.02328
IFNGR2 	IL12B  	0.037531
IFNGR2 	IL13   	0.016731
IFNGR2 	IL13RA1	0.014895
IFNGR2 	IL13RA2	0.014895
IFNGR2 	IL17A  	0.018616
IFNGR2 	IL17RB 	0.010459
IFNGR2 	IL18   	0.018468
IFNGR2 	IL1RL1 	0.008862
IFNGR2 	IL21   	0.016247
IFNGR2 	IL25   	0.011092
IFNGR2 	IL2RA  	0.015722
IFNGR2 	IL3    	0.015028
IFNGR2 	IL33   	0.010635
IFNGR2 	IL3RA  	0.01271
IFNGR2 	IL4    	0.015094
IFNGR2 	IL4R   	0.016417
IFNGR2 	IL5    	0.014744
IFNGR2 	IL5RA  	0.01215
IFNGR2 	IL9    	0.01362
IFNGR2 	KIT    	0.010364
IFNGR2 	KITLG  	0.010364
IFNGR2 	LTB4R  	0
IFNGR2 	MAF    	0.01034
IFNGR2 	MMP9   	0.014511
IFNGR2 	MS4A2  	0.001932
IFNGR2 	PDCD1  	0.0085134
IFNGR2 	PPARG  	0.011314
IFNGR2 	RETNLB 	0.0092227
IFNGR2 	RNASE2 	0
IFNGR2 	RNASE3 	0
IFNGR2 	RORC   	0.014833
IFNGR2 	SATB1  	0.0081376
IFNGR2 	STAT5A 	0.01448
IFNGR2 	STAT6  	0.017601
IFNGR2 	TBX21  	0.019327
IFNGR2 	TGFB1  	0.018195
IFNGR2 	TNFRSF4	0.0090182
IFNGR2 	TNFSF4 	0.0032057
IFNGR2 	TSLP   	0.01238
IL10   	IL12A  	0.018608
IL10   	IL12B  	0.018187
IL10   	IL13   	0.017501
IL10   	IL13RA1	0.018249
IL10   	IL13RA2	0.018249
IL10   	IL17A  	0.018053
IL10   	IL17RB 	0.015543
IL10   	IL18   	0.018506
IL10   	IL1RL1 	0.014801
IL10   	IL21   	0.017742
IL10   	IL25   	0.016009
IL10   	IL2RA  	0.017363
IL10   	IL3    	0.017465
IL10   	IL33   	0.015707
IL10   	IL3RA  	0.017119
IL10   	IL4    	0.01671
IL10   	IL4R   	0.017869
IL10   	IL5    	0.017037
IL10   	IL5RA  	0.017146
IL10   	IL9    	0.017102
IL10   	KIT    	0.014428
IL10   	KITLG  	0.014428
IL10   	LTB4R  	0
IL10   	MAF    	0.016824
IL10   	MMP9   	0.018181
IL10   	MS4A2  	0.003408
IL10   	PDCD1  	0.016286
IL10   	PPARG  	0.016912
IL10   	RETNLB 	0.013209
IL10   	RNASE2 	0
IL10   	RNASE3 	0
IL10   	RORC   	0.018433
IL10   	SATB1  	0.014994
IL10   	STAT5A 	0.016559
IL10   	STAT6  	0.017494
IL10   	TBX21  	0.018179
IL10   	TGFB1  	0.019515
IL10   	TNFRSF4	0.01329
IL10   	TNFSF4 	0.0069165
IL10   	TSLP   	0.015432
IL12A  	IL12B  	0.020539
IL12A  	IL13   	0.017905
IL12A  	IL13RA1	0.019126
IL12A  	IL13RA2	0.019126
IL12A  	IL17A  	0.01935
IL12A  	IL17RB 	0.015644
IL12A  	IL18   	0.020145
IL12A  	IL1RL1 	0.013038
IL12A  	IL21   	0.018122
IL12A  	IL25   	0.015197
IL12A  	IL2RA  	0.017497
IL12A  	IL3    	0.016979
IL12A  	IL33   	0.014829
IL12A  	IL3RA  	0.016347
IL12A  	IL4    	0.017209
IL12A  	IL4R   	0.018469
IL12A  	IL5    	0.016943
IL12A  	IL5RA  	0.015654
IL12A  	IL9    	0.016666
IL12A  	KIT    	0.014125
IL12A  	KITLG  	0.014125
IL12A  	LTB4R  	0
IL12A  	MAF    	0.014526
IL12A  	MMP9   	0.018644
IL12A  	MS4A2  	0.0046684
IL12A  	PDCD1  	0.012403
IL12A  	PPARG  	0.017899
IL12A  	RETNLB 	0.016553
IL12A  	RNASE2 	0
IL12A  	RNASE3 	0
IL12A  	RORC   	0.019935
IL12A  	SATB1  	0.011905
IL12A  	STAT5A 	0.01677
IL12A  	STAT6  	0.01876
IL12A  	TBX21  	0.019652
IL12A  	TGFB1  	0.019728
IL12A  	TNFRSF4	0.012752
IL12A  	TNFSF4 	0.0060312
IL12A  	TSLP   	0.015298
IL12B  	IL13   	0.017612
IL12B  	IL13RA1	0.01839
IL12B  	IL13RA2	0.01839
IL12B  	IL17A  	0.018507
IL12B  	IL17RB 	0.015295
IL12B  	IL18   	0.019245
IL12B  	IL1RL1 	0.013606
IL12B  	IL21   	0.017466
IL12B  	IL25   	0.015328
IL12B  	IL2RA  	0.01707
IL12B  	IL3    	0.016909
IL12B  	IL33   	0.015025
IL12B  	IL3RA  	0.0162
IL12B  	IL4    	0.016723
IL12B  	IL4R   	0.01793
IL12B  	IL5    	0.016753
IL12B  	IL5RA  	0.015839
IL12B  	IL9    	0.016542
IL12B  	KIT    	0.013747
IL12B  	KITLG  	0.013747
IL12B  	LTB4R  	0
IL12B  	MAF    	0.013909
IL12B  	MMP9   	0.018096
IL12B  	MS4A2  	0.0041926
IL12B  	PDCD1  	0.012005
IL12B  	PPARG  	0.016919
IL12B  	RETNLB 	0.014577
IL12B  	RNASE2 	0
IL12B  	RNASE3 	0
IL12B  	RORC   	0.018588
IL12B  	SATB1  	0.011738
IL12B  	STAT5A 	0.016267
IL12B  	STAT6  	0.018038
IL12B  	TBX21  	0.018663
IL12B  	TGFB1  	0.019248
IL12B  	TNFRSF4	0.012261
IL12B  	TNFSF4 	0.0057904
IL12B  	TSLP   	0.015314
IL13   	IL13RA1	0.019746
IL13   	IL13RA2	0.019746
IL13   	IL17A  	0.017818
IL13   	IL17RB 	0.020621
IL13   	IL18   	0.019029
IL13   	IL1RL1 	0.020721
IL13   	IL21   	0.017028
IL13   	IL25   	0.020134
IL13   	IL2RA  	0.016993
IL13   	IL3    	0.017491
IL13   	IL33   	0.020556
IL13   	IL3RA  	0.01755
IL13   	IL4    	0.016656
IL13   	IL4R   	0.01822
IL13   	IL5    	0.01787
IL13   	IL5RA  	0.018085
IL13   	IL9    	0.017943
IL13   	KIT    	0.014314
IL13   	KITLG  	0.014314
IL13   	LTB4R  	0
IL13   	MAF    	0.012671
IL13   	MMP9   	0.016906
IL13   	MS4A2  	0.00409
IL13   	PDCD1  	0.010412
IL13   	PPARG  	0.015435
IL13   	RETNLB 	0.012888
IL13   	RNASE2 	0
IL13   	RNASE3 	0
IL13   	RORC   	0.016763
IL13   	SATB1  	0.013074
IL13   	STAT5A 	0.01617
IL13   	STAT6  	0.017512
IL13   	TBX21  	0.017408
IL13   	TGFB1  	0.018467
IL13   	TNFRSF4	0.012383
IL13   	TNFSF4 	0.0059701
IL13   	TSLP   	0.016337
IL13RA1	IL13RA2	0.024543
IL13RA1	IL17A  	0.017799
IL13RA1	IL17RB 	0.014344
IL13RA1	IL18   	0.019275
IL13RA1	IL1RL1 	0.014422
IL13RA1	IL21   	0.017087
IL13RA1	IL25   	0.016193
