	ALOX5	BCL6	CCL11	CCL17	CCL2	CCL22	CCL24	CCL26	CCL5	CCL8	CCR3	CCR4	CCR8	CD40LG	CMA1	CRLF2	CSF2	CSF3R	CYSLTR1	EPX	FCER1A	FOXP3	GATA3	GPR44	ICOS	IFNG	IFNGR2	IL10	IL12A	IL12B	IL13	IL13RA1	IL13RA2	IL17A	IL17RB	IL18	IL1RL1	IL21	IL25	IL2RA	IL3	IL33	IL3RA	IL4	IL4R	IL5	IL5RA	IL9	KIT	KITLG	LTB4R	MAF	MMP9	MS4A2	PDCD1	PPARG	RETNLB	RNASE2	RNASE3	RORC	SATB1	STAT5A	STAT6	TBX21	TGFB1	TNFRSF4	TNFSF4	TSLP	
IL2RA	0.013242	0.017781	0.016075	0.015593	0.01613	0.015684	0.012124	0.015425	0.015562	0.012124	0.015284	0.014207	0.014332	0.017784	0.0082819	0.0085476	0.016971	0.013242	0	0	0.009319	0.017554	0.016883	0.012911	0.016815	0.017237	0.015835	0.017531	0.017671	0.01724	0.017203	0.018204	0.018204	0.017105	0.01359	0.017849	0.014438	0.017955	0.016122	0.019267	0.017936	0.015794	0.018611	0.017163	0.018057	0.017186	0.018714	0.017634	0.01697	0.015323	0	0.015694	0.015748	0.0043981	0.010783	0.015119	0.01066	0	0	0.016914	0.011032	0.01727	0.016915	0.017507	0.017286	0.027646	0.026772	0.015544	
IL3	0.01513	0.014272	0.017391	0.01683	0.017114	0.016885	0.015004	0.016569	0.017151	0.015004	0.016964	0.016238	0.016343	0.01959	0.008185	0.0089867	0.0183	0.01513	0	0	0.0090505	0.016996	0.016665	0.015861	0.016458	0.017445	0.015118	0.017602	0.017103	0.017044	0.017691	0.017463	0.017463	0.016872	0.014372	0.017519	0.016312	0.017428	0.01801	0.017936	0.019947	0.017641	0.022819	0.017029	0.017683	0.018333	0.024258	0.019599	0.017013	0.01536	0	0.014755	0.015821	0.0042347	0.0095112	0.013857	0.0096759	0	0	0.015065	0.0098337	0.016728	0.016868	0.016969	0.017072	0.014355	0.0079738	0.016102	
IL33	0.0077698	0.0097806	0.015318	0.012995	0.013844	0.012887	0.0087311	0.011835	0.012449	0.0087311	0.013217	0.011063	0.011188	0.013369	0.0038468	0.0080053	0.015302	0.0077698	0	0	0.0057912	0.01415	0.015872	0.0092147	0.012018	0.015147	0.010684	0.015835	0.014347	0.01486	0.020946	0.016586	0.016586	0.016806	0.034299	0.015591	0.095589	0.015761	0.044636	0.015794	0.017641	0.073692	0.018	0.014761	0.016857	0.025054	0.02032	0.021919	0.011486	0.010314	0	0.0090143	0.012137	0.0020265	0.004728	0.0096233	0.0077662	0	0	0.011575	0.0083696	0.012996	0.01543	0.014334	0.01556	0.009207	0.0033961	0.015179	
IL3RA	0.018788	0.013199	0.016688	0.015732	0.016356	0.015596	0.012029	0.015469	0.015847	0.012029	0.015991	0.014116	0.014397	0.01815	0.0094778	0.0085456	0.020717	0.018788	0	0	0.010344	0.016346	0.016459	0.012947	0.015083	0.017091	0.012805	0.017278	0.016488	0.016356	0.017783	0.017277	0.017277	0.016287	0.012718	0.016978	0.017471	0.017192	0.017792	0.018611	0.022819	0.018	0.042421	0.017871	0.017823	0.019711	0.024646	0.020353	0.019098	0.017224	0	0.014126	0.014316	0.0050175	0.0067164	0.013265	0.0085547	0	0	0.013852	0.0088492	0.017126	0.016468	0.016401	0.01582	0.014075	0.0069054	0.016043	
IL4	0.011111	0.015002	0.016494	0.016368	0.016531	0.016308	0.014393	0.017247	0.016185	0.014393	0.016133	0.015575	0.015771	0.016684	0.012183	0.011283	0.016346	0.011111	0	0	0.017501	0.016961	0.016464	0.014754	0.016364	0.016826	0.015265	0.016911	0.017457	0.016953	0.016919	0.018484	0.018484	0.016817	0.013398	0.018085	0.012896	0.016802	0.015366	0.017163	0.017029	0.014761	0.017871	0.01726	0.017557	0.016542	0.016979	0.016787	0.017921	0.01662	0	0.019603	0.016832	0.013332	0.0092699	0.017884	0.011938	0	0	0.0174	0.011436	0.016922	0.016932	0.017149	0.016914	0.017025	0.012979	0.016065	
IL4R	0.01044	0.017563	0.016682	0.016258	0.016633	0.016173	0.012321	0.01659	0.015823	0.012321	0.015671	0.014584	0.014775	0.017372	0.0089328	0.010026	0.01673	0.01044	0	0	0.0096465	0.017842	0.017648	0.012974	0.016493	0.017739	0.01654	0.018054	0.018651	0.018116	0.018461	0.023629	0.023629	0.017719	0.014162	0.01887	0.015072	0.017904	0.016874	0.018057	0.017683	0.016857	0.017823	0.017557	0.020128	0.017587	0.017562	0.017681	0.017638	0.01594	0	0.015092	0.016088	0.0045546	0.0092091	0.014991	0.01524	0	0	0.016732	0.011618	0.017987	0.018601	0.018078	0.018073	0.014955	0.0084117	0.0165	
IL5	0.012286	0.015111	0.016875	0.016275	0.016502	0.016297	0.014025	0.015985	0.016128	0.014025	0.01616	0.015434	0.015472	0.01707	0.0073591	0.01236	0.016956	0.012286	0	0	0.008551	0.016725	0.016904	0.014479	0.015457	0.016957	0.014835	0.017165	0.01703	0.016857	0.018025	0.017776	0.017776	0.017158	0.019126	0.017302	0.02963	0.017147	0.021563	0.017186	0.018333	0.025054	0.019711	0.016542	0.017587	0.018882	0.020798	0.018942	0.015834	0.01429	0	0.013725	0.015727	0.0039361	0.0086509	0.014165	0.011597	0	0	0.015571	0.012677	0.016346	0.016887	0.016772	0.017117	0.013104	0.006937	0.016561	
IL5RA	0.019731	0.013612	0.017235	0.015507	0.016282	0.015504	0.011743	0.014418	0.01584	0.011743	0.015945	0.014021	0.014161	0.01845	0.0083621	0.0079168	0.021565	0.019731	0	0	0.0075727	0.016155	0.016301	0.012691	0.01476	0.017099	0.012241	0.017304	0.015785	0.015991	0.018335	0.016406	0.016406	0.01626	0.015102	0.016231	0.019171	0.017905	0.021613	0.018714	0.024258	0.02032	0.024646	0.016979	0.017562	0.020798	0.047687	0.025768	0.018212	0.016387	0	0.011827	0.013689	0.0029067	0.0064459	0.011434	0.0078966	0	0	0.012869	0.0082839	0.016852	0.016163	0.016015	0.015726	0.012386	0.0052336	0.015849	
IL9	0.014787	0.016266	0.017196	0.01632	0.016667	0.016346	0.01373	0.015767	0.016291	0.01373	0.016269	0.015439	0.015413	0.017527	0.0079988	0.0092033	0.018128	0.014787	0	0	0.0089559	0.016788	0.016586	0.014209	0.015554	0.017116	0.013781	0.017313	0.016895	0.016772	0.018194	0.017577	0.017577	0.017337	0.02196	0.017365	0.019703	0.01773	0.023303	0.017634	0.019599	0.021919	0.020353	0.016787	0.017681	0.018942	0.025768	0.020867	0.016767	0.015138	0	0.01379	0.015425	0.0042283	0.0081358	0.01355	0.0096573	0	0	0.014964	0.0095822	0.016808	0.016774	0.016789	0.016939	0.012875	0.006275	0.016173	
KIT	0.019933	0.024951	0.014351	0.014092	0.014764	0.014006	0.0093664	0.013523	0.013839	0.0093664	0.013442	0.011867	0.012065	0.01435	0.045064	0.009726	0.02217	0.019933	0	0	0.010226	0.016459	0.014993	0.010249	0.013952	0.016017	0.01149	0.015825	0.015557	0.015134	0.015724	0.016091	0.016091	0.014886	0.0090022	0.01604	0.0093022	0.016956	0.012512	0.01697	0.017013	0.011486	0.019098	0.017921	0.017638	0.015834	0.018212	0.016767	0.054069	0.044185	0	0.0135	0.012614	0.004904	0.0059592	0.01274	0.0072837	0	0	0.013662	0.0072695	0.028461	0.015106	0.016511	0.01388	0.012712	0.0059684	0.016925	
KITLG	0.017931	0.022404	0.012919	0.012684	0.013334	0.012575	0.008422	0.012176	0.012476	0.008422	0.012107	0.010656	0.010836	0.012868	0.12284	0.0087353	0.020796	0.017931	0	0	0.0092211	0.01484	0.013495	0.0092105	0.012516	0.01447	0.010319	0.01426	0.013993	0.013622	0.014189	0.014468	0.014468	0.013396	0.0080975	0.014426	0.0083656	0.015247	0.011232	0.015323	0.01536	0.010314	0.017224	0.01662	0.01594	0.01429	0.016387	0.015138	0.044185	0.059227	0	0.012157	0.011323	0.0044149	0.0053692	0.011482	0.0065546	0	0	0.012254	0.006541	0.026858	0.013599	0.014912	0.012451	0.011447	0.0053738	0.015302	
LTB4R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MAF	0.0057862	0.011995	0.01272	0.012352	0.013138	0.012322	0.007653	0.012889	0.012323	0.007653	0.012006	0.0099693	0.010359	0.022079	0.0053945	0.0053636	0.013125	0.0057862	0	0	0.010953	0.018216	0.015164	0.0084217	0.045654	0.016235	0.011072	0.017404	0.016	0.015198	0.01407	0.014685	0.014685	0.015094	0.007919	0.016208	0.006995	0.019028	0.010018	0.015694	0.014755	0.0090143	0.014126	0.019603	0.015092	0.013725	0.011827	0.01379	0.0135	0.012157	0	0.17152	0.01167	0.0051534	0.040173	0.013079	0.0067506	0	0	0.014542	0.007069	0.013987	0.014699	0.018404	0.013463	0.012347	0.0056203	0.012307	
MMP9	0.0076396	0.010553	0.017999	0.018299	0.02017	0.018548	0.016534	0.016365	0.020792	0.016534	0.017783	0.018679	0.018281	0.017657	0.0043532	0.0067424	0.014879	0.0076396	0	0	0.0070885	0.018337	0.016118	0.019184	0.015254	0.017776	0.014552	0.018255	0.018285	0.018067	0.017162	0.015434	0.015434	0.021254	0.016079	0.0166	0.0092088	0.016329	0.014048	0.015748	0.015821	0.012137	0.014316	0.016832	0.016088	0.015727	0.013689	0.015425	0.012614	0.011323	0	0.01167	0.04138	0.0026017	0.0068007	0.04915	0.0085028	0	0	0.030524	0.0075729	0.014462	0.016847	0.018243	0.030083	0.009898	0.0036379	0.014991	
MS4A2	0.0012567	0.0018164	0.0039441	0.0039159	0.0037683	0.0029332	0.0017077	0.0047025	0.0027569	0.0017077	0.0036075	0.0023783	0.0026621	0.002451	0.0014532	0.0013344	0.0038936	0.0012567	0	0	0.27747	0.0032216	0.0040681	0.0017926	0.0027738	0.0034957	0.0019446	0.0034356	0.004697	0.0042231	0.0041312	0.0051795	0.0051795	0.0038447	0.0015012	0.00493	0.0014462	0.0040465	0.0023572	0.0043981	0.0042347	0.0020265	0.0050175	0.013332	0.0045546	0.0039361	0.0029067	0.0042283	0.004904	0.0044149	0	0.0051534	0.0026017	0.51563	0.00075881	0.0045298	0.0013853	0	0	0.0027516	0.0013288	0.0032976	0.004252	0.0041089	0.0025955	0.0047508	0.0015666	0.0040526
PDCD1	0.0027313	0.0093184	0.0070057	0.0065448	0.0079505	0.0077054	0.003484	0.0057147	0.0080776	0.003484	0.0066624	0.0052519	0.0053422	0.024962	0.0015744	0.0019675	0.0078	0.0027313	0	0	0.0027738	0.017343	0.010796	0.0042847	0.076557	0.013526	0.0076547	0.015624	0.01042	0.010297	0.0086185	0.007	0.007	0.010869	0.004551	0.010003	0.0035361	0.017941	0.0053963	0.010783	0.0095112	0.004728	0.0067164	0.0092699	0.0092091	0.0086509	0.0064459	0.0081358	0.0059592	0.0053692	0	0.040173	0.0068007	0.00075881	0.42269	0.0059928	0.0035813	0	0	0.010767	0.0042352	0.0093898	0.0095118	0.016407	0.0095673	0.0049877	0.0014674	0.0063872	
PPARG	0.0058179	0.010036	0.014675	0.014586	0.017684	0.014869	0.0097857	0.013539	0.017141	0.0097857	0.013777	0.013041	0.013027	0.014289	0.0049672	0.0054756	0.013398	0.0058179	0	0	0.0096258	0.020651	0.015718	0.011587	0.014852	0.016341	0.011392	0.017039	0.018087	0.017069	0.015549	0.014559	0.014559	0.023044	0.012795	0.016381	0.0071572	0.016291	0.011224	0.015119	0.013857	0.0096233	0.013265	0.017884	0.014991	0.014165	0.011434	0.01355	0.01274	0.011482	0	0.013079	0.04915	0.0045298	0.0059928	0.10316	0.007252	0	0	0.060519	0.0070398	0.014172	0.015927	0.020507	0.026007	0.011038	0.0049324	0.012951	
RETNLB	0.0033237	0.00597	0.012245	0.01221	0.01052	0.0099654	0.0063337	0.016104	0.0092153	0.0063337	0.0098156	0.0084508	0.0092069	0.0092349	0.0021313	0.0034809	0.0089217	0.0033237	0	0	0.004252	0.013259	0.014336	0.0065598	0.0095118	0.012342	0.0092743	0.0133	0.016648	0.014673	0.013008	0.018561	0.018561	0.013251	0.0067687	0.010907	0.0059223	0.010549	0.008201	0.01066	0.0096759	0.0077662	0.0085547	0.011938	0.01524	0.011597	0.0078966	0.0096573	0.0072837	0.0065546	0	0.0067506	0.0085028	0.0013853	0.0035813	0.007252	0.39468	0	0	0.0099907	0.0068993	0.0095429	0.036252	0.013742	0.01062	0.0060337	0.0019665	0.0093028	
RNASE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52557	0.15769	0	0	0	0	0	0	0	0	0	
RNASE3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15769	0.52557	0	0	0	0	0	0	0	0	0	
RORC	0.0062834	0.014945	0.014635	0.014209	0.016319	0.014937	0.0089176	0.013465	0.015176	0.0089176	0.013463	0.01211	0.012189	0.016312	0.0048808	0.0058768	0.014263	0.0062834	0	0	0.0074501	0.023242	0.018215	0.010007	0.018309	0.017865	0.014985	0.018634	0.02077	0.018952	0.01668	0.015874	0.015874	0.023383	0.017586	0.019216	0.0088409	0.018982	0.013821	0.016914	0.015065	0.011575	0.013852	0.0174	0.016732	0.015571	0.012869	0.014964	0.013662	0.012254	0	0.014542	0.030524	0.0027516	0.010767	0.060519	0.0099907	0	0	0.058918	0.010788	0.016679	0.017532	0.023009	0.022112	0.011012	0.0042852	0.013841	
SATB1	0.0034331	0.0063149	0.0090776	0.0082558	0.009203	0.0085843	0.0044121	0.0082222	0.0077264	0.0044121	0.0079473	0.0062753	0.0065013	0.0098278	0.0021292	0.00316	0.00906	0.0034331	0	0	0.0040681	0.016087	0.062889	0.0048167	0.010796	0.013134	0.0081726	0.015062	0.011971	0.011806	0.013172	0.010801	0.010801	0.011731	0.005995	0.011638	0.0066813	0.011253	0.0084505	0.011032	0.0098337	0.0083696	0.0088492	0.011436	0.011618	0.012677	0.0082839	0.0095822	0.0072695	0.006541	0	0.007069	0.0075729	0.0013288	0.0042352	0.0070398	0.0068993	0	0	0.010788	0.41513	0.0097638	0.014336	0.015723	0.01071	0.0060144	0.0019604	0.0086366	
STAT5A	0.014373	0.04158	0.015247	0.015174	0.015493	0.015361	0.010815	0.014184	0.014752	0.010815	0.01433	0.013273	0.01329	0.016119	0.026421	0.017034	0.018315	0.014373	0	0	0.0080813	0.017871	0.016273	0.011544	0.0162	0.016998	0.014705	0.016872	0.017102	0.016581	0.016511	0.017214	0.017214	0.016552	0.011288	0.017421	0.010847	0.020056	0.013868	0.01727	0.016728	0.012996	0.017126	0.016922	0.017987	0.016346	0.016852	0.016808	0.028461	0.026858	0	0.013987	0.014462	0.0032976	0.0093898	0.014172	0.0095429	0	0	0.016679	0.0097638	0.024525	0.016273	0.017822	0.015988	0.012121	0.0053634	0.018114	
STAT6	0.0089217	0.014122	0.017141	0.017021	0.017031	0.01688	0.014806	0.0189	0.016607	0.014806	0.016645	0.016119	0.016441	0.017106	0.0065546	0.0093028	0.015648	0.0089217	0	0	0.0090708	0.017593	0.01765	0.015118	0.016176	0.017502	0.017741	0.017665	0.018959	0.018216	0.017711	0.020754	0.020754	0.017677	0.014683	0.018308	0.013441	0.016991	0.015994	0.016915	0.016868	0.01543	0.016468	0.016932	0.018601	0.016887	0.016163	0.016774	0.015106	0.013599	0	0.014699	0.016847	0.004252	0.0095118	0.015927	0.036252	0	0	0.017532	0.014336	0.016273	0.019408	0.01786	0.017926	0.012497	0.0060337	0.015925	
TBX21	0.0091098	0.019277	0.016101	0.015748	0.016558	0.016012	0.011772	0.015669	0.015817	0.011772	0.015216	0.014186	0.014301	0.018338	0.0079308	0.0085799	0.015973	0.0091098	0	0	0.008954	0.019113	0.018298	0.012576	0.019029	0.018177	0.019451	0.018358	0.019908	0.018864	0.017578	0.018189	0.018189	0.01885	0.01542	0.021082	0.011872	0.018696	0.01559	0.017507	0.016969	0.014334	0.016401	0.017149	0.018078	0.016772	0.016015	0.016789	0.016511	0.014912	0	0.018404	0.018243	0.0041089	0.016407	0.020507	0.013742	0	0	0.023009	0.015723	0.017822	0.01786	0.019537	0.019018	0.012786	0.0060962	0.015635	
TGFB1	0.0086007	0.0131	0.016927	0.016521	0.018403	0.016839	0.012288	0.015161	0.017892	0.012288	0.015909	0.015297	0.01517	0.0188	0.0050239	0.0075059	0.015832	0.0086007	0	0	0.0071268	0.018766	0.017831	0.013845	0.017169	0.01884	0.018285	0.019656	0.019754	0.019368	0.01868	0.018008	0.018008	0.021182	0.018706	0.019032	0.01247	0.017828	0.017045	0.017286	0.017072	0.01556	0.01582	0.016914	0.018073	0.017117	0.015726	0.016939	0.01388	0.012451	0	0.013463	0.030083	0.0025955	0.0095673	0.026007	0.01062	0	0	0.022112	0.01071	0.015988	0.017926	0.019018	0.032343	0.011156	0.0044288	0.015386	
TNFRSF4	0.006901	0.0098531	0.011339	0.010869	0.011361	0.01054	0.0070684	0.01147	0.010212	0.0070684	0.010705	0.0088616	0.009222	0.011589	0.0053738	0.0051707	0.012979	0.006901	0	0	0.0097952	0.013541	0.0124	0.0075417	0.011545	0.012862	0.0090826	0.013399	0.012867	0.012377	0.012535	0.013762	0.013762	0.012247	0.0072307	0.013124	0.0076781	0.014381	0.0098415	0.027646	0.014355	0.009207	0.014075	0.017025	0.014955	0.013104	0.012386	0.012875	0.012712	0.011447	0	0.012347	0.009898	0.0047508	0.0049877	0.011038	0.0060337	0	0	0.011012	0.0060144	0.012121	0.012497	0.012786	0.011156	0.13012	0.19684	0.011146	
TNFSF4	0.0024276	0.0035719	0.0051852	0.0048628	0.0051965	0.0043479	0.0022715	0.005308	0.00411	0.0022715	0.0048622	0.0032306	0.0035187	0.0047278	0.0017302	0.0016569	0.006901	0.0024276	0	0	0.0047508	0.0070574	0.0060144	0.0024746	0.0049877	0.0064768	0.0032219	0.0069516	0.0060657	0.0058277	0.006023	0.006562	0.006562	0.0057819	0.0023314	0.0061503	0.0026551	0.0080616	0.0037803	0.026772	0.0079738	0.0033961	0.0069054	0.012979	0.0084117	0.006937	0.0052336	0.006275	0.0059684	0.0053738	0	0.0056203	0.0036379	0.0015666	0.0014674	0.0049324	0.0019665	0	0	0.0042852	0.0019604	0.0053634	0.0060337	0.0060962	0.0044288	0.19684	0.48406	0.0051707	
TSLP	0.0090503	0.016838	0.017443	0.019104	0.017002	0.019088	0.016609	0.016475	0.017092	0.016609	0.017078	0.018014	0.017426	0.015379	0.0087353	0.081137	0.015508	0.0090503	0	0	0.0085649	0.015883	0.015229	0.016241	0.013824	0.015992	0.012692	0.015753	0.015651	0.015635	0.016698	0.016448	0.016448	0.01536	0.011657	0.016063	0.013896	0.015769	0.014951	0.015544	0.016102	0.015179	0.016043	0.016065	0.0165	0.016561	0.015849	0.016173	0.016925	0.015302	0	0.012307	0.014991	0.0040526	0.0063872	0.012951	0.0093028	0	0	0.013841	0.0086366	0.018114	0.015925	0.015635	0.015386	0.011146	0.0051707	0.029519	
