	ADAM33	ALOX5	AREG	ARG1	BCL6	CCL11	CCL17	CCL2	CCL22	CCL24	CCL26	CCL5	CCL8	CCR3	CCR4	CCR8	CD40LG	CLC	CLCA1	CMA1	CPA3	CRLF2	CSF2	CSF3R	CYSLTR1	EPX	FCER1A	FOXP3	GATA3	GPR44	ICOS	IFNG	IFNGR2	IL10	IL12A	IL12B	IL13	IL13RA1	IL13RA2	IL17A	IL17RB	IL18	IL1RL1	IL21	IL25	IL2RA	IL3	IL33	IL3RA	IL4	IL4R	IL5	IL5RA	IL9	KIT	KITLG	LTB4R	MAF	MMP9	MRC1	MS4A2	PDCD1	PMCH	POSTN	PPARG	RETNLB	RNASE2	RNASE3	RORC	SATB1	STAT5A	STAT6	TBX21	TGFB1	TNFRSF4	TNFSF4	TSLP	
IFNGR2	0.010141	0.010768	0.0073891	0.0020859	0.014343	0.013499	0.013939	0.01434	0.01393	0.013744	0.013744	0.014023	0.012605	0.013725	0.013986	0.01365	0.014296	0.0072401	0.0090835	0.011591	0.0049376	0.012761	0.013874	0.012839	0.008341	0.01183	0.0086985	0.014843	0.014497	0.013121	0.014834	0.015292	0.039103	0.01583	0.018591	0.01739	0.014145	0.014406	0.014342	0.014516	0.012385	0.014185	0.013803	0.014625	0.013608	0.014268	0.013998	0.013856	0.013659	0.013995	0.014009	0.01389	0.013826	0.013874	0.01313	0.013292	0.0082747	0.014878	0.013657	0.00060606	0.010423	0.016168	0.0075956	0.0036165	0.014015	0.0064633	0.011093	0.013463	0.014946	0.012746	0.014005	0.014313	0.015121	0.014402	0.014059	0.013602	0.013837	
IL10	0.011873	0.012016	0.010016	0.0026911	0.014307	0.013709	0.014024	0.014067	0.014053	0.014044	0.014044	0.013985	0.013798	0.013922	0.014063	0.013991	0.014164	0.0094117	0.010337	0.012552	0.0069941	0.013909	0.013868	0.014007	0.010344	0.012814	0.010397	0.014226	0.014172	0.013641	0.014583	0.014236	0.01583	0.014309	0.014483	0.014328	0.013942	0.014194	0.014147	0.014119	0.013505	0.013997	0.014254	0.014201	0.013959	0.014103	0.01402	0.014097	0.013995	0.013916	0.01383	0.013843	0.014049	0.013823	0.013792	0.013601	0.010328	0.014445	0.013685	0.00092431	0.011727	0.016851	0.009091	0.0052664	0.014169	0.0071361	0.012312	0.013851	0.01449	0.013794	0.014056	0.013892	0.014279	0.014081	0.014489	0.014465	0.014071	
IL12A	0.011332	0.011712	0.0080076	0.0029824	0.014563	0.013753	0.01411	0.014184	0.014139	0.014159	0.014159	0.014063	0.013701	0.013989	0.014166	0.014062	0.014252	0.0088957	0.0098671	0.012258	0.0060869	0.013809	0.013921	0.013699	0.0097604	0.012693	0.010294	0.014407	0.014348	0.013632	0.01453	0.014395	0.018591	0.014483	0.015105	0.014794	0.014052	0.014365	0.014286	0.014276	0.013773	0.014112	0.01439	0.014379	0.014096	0.014207	0.014075	0.014217	0.013985	0.014015	0.013915	0.01395	0.014107	0.01389	0.01369	0.013562	0.0096782	0.014678	0.013584	0.001052	0.011602	0.014881	0.0093135	0.0044742	0.014299	0.0076088	0.012122	0.01388	0.014843	0.013849	0.014121	0.014064	0.014514	0.014186	0.014492	0.014368	0.014144	
IL12B	0.012254	0.011902	0.0083811	0.0029004	0.014384	0.013762	0.014075	0.014122	0.014107	0.014147	0.014147	0.014029	0.013819	0.013989	0.014132	0.01407	0.014161	0.0094502	0.010228	0.012337	0.0063118	0.013869	0.013901	0.013861	0.010128	0.012871	0.010733	0.014285	0.014233	0.013771	0.014354	0.01427	0.01739	0.014328	0.014794	0.014572	0.014003	0.014373	0.014242	0.014175	0.01364	0.014041	0.014292	0.014259	0.014033	0.014144	0.014045	0.014154	0.013995	0.013975	0.013941	0.013901	0.014106	0.013858	0.013733	0.013576	0.010038	0.014476	0.013554	0.0010194	0.01207	0.014505	0.0092581	0.0050259	0.014216	0.0074581	0.012373	0.013901	0.014607	0.013765	0.014083	0.013978	0.014357	0.014113	0.014335	0.014221	0.014093	
IL13	0.012098	0.012064	0.0094532	0.0026831	0.014101	0.013695	0.013983	0.013956	0.014017	0.014139	0.014139	0.01391	0.014018	0.013921	0.014041	0.01403	0.013954	0.0098604	0.014236	0.012459	0.0068701	0.014073	0.013782	0.013827	0.010555	0.01295	0.010464	0.014021	0.014007	0.013684	0.014	0.013962	0.014145	0.013942	0.014052	0.014003	0.013995	0.014377	0.014127	0.01398	0.013912	0.013891	0.014238	0.014031	0.014044	0.013974	0.013919	0.014099	0.013878	0.013813	0.013766	0.013768	0.014016	0.013903	0.013687	0.013516	0.010428	0.014123	0.013491	0.00092048	0.011768	0.013612	0.0091231	0.011435	0.014015	0.0071063	0.012501	0.013827	0.014203	0.013661	0.013951	0.013768	0.014039	0.013931	0.014044	0.014001	0.014023	
IL13RA1	0.014068	0.011162	0.0073146	0.0034473	0.01424	0.013728	0.014081	0.014082	0.014034	0.014327	0.014327	0.014025	0.013329	0.01402	0.014094	0.014018	0.01411	0.0080862	0.010729	0.012151	0.0058561	0.013381	0.013849	0.013395	0.0091244	0.012356	0.012108	0.014218	0.014335	0.014096	0.014207	0.014416	0.014406	0.014194	0.014365	0.014373	0.014377	0.022214	0.014868	0.014083	0.012646	0.013997	0.013894	0.014202	0.01391	0.014251	0.014021	0.014067	0.014001	0.014221	0.014796	0.013807	0.014238	0.01396	0.013605	0.013461	0.0089812	0.014568	0.013398	0.0012296	0.013811	0.013774	0.0077765	0.0053574	0.013949	0.0084875	0.011647	0.013778	0.014228	0.013561	0.014015	0.014403	0.014309	0.014095	0.014079	0.013874	0.014011	
IL13RA2	0.01342	0.011565	0.0076305	0.0032305	0.014307	0.013755	0.014081	0.014085	0.014085	0.014221	0.014221	0.014046	0.013613	0.014018	0.014106	0.014066	0.014153	0.0086742	0.011605	0.012603	0.0067935	0.013732	0.013904	0.013897	0.0096473	0.012668	0.011673	0.01422	0.0142	0.013985	0.014237	0.014192	0.014342	0.014147	0.014286	0.014242	0.014127	0.014868	0.015567	0.014099	0.01313	0.014003	0.014057	0.014218	0.01403	0.014302	0.014098	0.014134	0.014122	0.014063	0.014241	0.013844	0.014334	0.014045	0.013893	0.01363	0.0095963	0.014429	0.013476	0.0011557	0.013156	0.013823	0.0082103	0.0065583	0.014073	0.0080085	0.012024	0.013959	0.014323	0.013569	0.014101	0.014061	0.014251	0.0141	0.014375	0.014183	0.01411	
IL17A	0.011436	0.012187	0.0098693	0.0025847	0.014335	0.013798	0.014084	0.014101	0.014126	0.014121	0.014121	0.014018	0.013977	0.013977	0.014134	0.014073	0.014141	0.0096696	0.010311	0.012514	0.0068476	0.014137	0.013901	0.013924	0.010591	0.012958	0.010128	0.01421	0.014221	0.013633	0.014274	0.014117	0.014516	0.014119	0.014276	0.014175	0.01398	0.014083	0.014099	0.014242	0.015879	0.014079	0.014846	0.014238	0.014461	0.014095	0.014032	0.014388	0.013988	0.013927	0.01377	0.013948	0.014072	0.013856	0.01378	0.013616	0.010473	0.01436	0.013688	0.00087421	0.011432	0.014142	0.0092738	0.0051899	0.014383	0.0069816	0.012495	0.013917	0.014728	0.013883	0.014087	0.013867	0.014258	0.014084	0.014353	0.014354	0.014193	
IL17RB	0.0089787	0.011054	0.006168	0.0014956	0.013575	0.013694	0.013523	0.013641	0.013526	0.013372	0.013372	0.013549	0.011955	0.013266	0.013592	0.013243	0.013501	0.0081211	0.0089674	0.010861	0.0044383	0.012678	0.013417	0.011932	0.0087671	0.012182	0.0076455	0.013693	0.013792	0.012713	0.013444	0.01348	0.012385	0.013505	0.013773	0.01364	0.013912	0.012646	0.01313	0.015879	0.072186	0.01391	0.015156	0.0144	0.023745	0.013565	0.013436	0.015968	0.013	0.013487	0.012944	0.014963	0.013354	0.013835	0.012333	0.012708	0.0083408	0.013298	0.012769	0.00039732	0.0091131	0.011386	0.010597	0.0035848	0.013619	0.0051739	0.011761	0.013293	0.013935	0.012927	0.013413	0.013269	0.013801	0.01366	0.012721	0.012748	0.014696	
IL18	0.011341	0.014612	0.008445	0.0026838	0.014216	0.01385	0.013979	0.013995	0.014004	0.014011	0.014011	0.013946	0.013688	0.013884	0.014008	0.013955	0.014025	0.0096557	0.010476	0.012412	0.0066182	0.013863	0.013909	0.01384	0.014158	0.012947	0.010061	0.014065	0.014158	0.013556	0.014099	0.014003	0.014185	0.013997	0.014112	0.014041	0.013891	0.013997	0.014003	0.014079	0.01391	0.014197	0.015278	0.0141	0.014103	0.013992	0.013964	0.014412	0.013939	0.013828	0.013689	0.013889	0.013997	0.013785	0.013747	0.013855	0.014135	0.014221	0.013433	0.00092669	0.011348	0.013829	0.0094133	0.0054716	0.014073	0.0070862	0.012507	0.013876	0.014318	0.013737	0.013973	0.013778	0.014123	0.013993	0.01413	0.014108	0.014057	
IL1RL1	0.010276	0.012715	0.0070878	0.0019806	0.014337	0.013802	0.014082	0.014209	0.014073	0.014054	0.014054	0.014106	0.012955	0.013893	0.014099	0.013895	0.01421	0.0085779	0.0095723	0.011751	0.0051024	0.013414	0.014034	0.013111	0.010278	0.012626	0.008915	0.014345	0.015775	0.013405	0.01425	0.014206	0.013803	0.014254	0.01439	0.014292	0.014238	0.013894	0.014057	0.014846	0.015156	0.015278	0.024728	0.014467	0.014972	0.014147	0.014016	0.017072	0.013809	0.014052	0.013775	0.014383	0.014007	0.013958	0.013336	0.013477	0.010119	0.014789	0.013435	0.00057086	0.010473	0.013023	0.010166	0.004038	0.014149	0.00621	0.012097	0.013854	0.014573	0.015956	0.014003	0.014017	0.014576	0.014198	0.01389	0.013797	0.014467	
IL21	0.011277	0.012105	0.0080797	0.002458	0.014711	0.013812	0.014148	0.014144	0.014187	0.014149	0.014149	0.01406	0.0139	0.014013	0.014166	0.014092	0.014254	0.0094193	0.010528	0.012504	0.0066512	0.014287	0.013954	0.014187	0.010384	0.012906	0.010222	0.01431	0.014259	0.013633	0.014454	0.014204	0.014625	0.014201	0.014379	0.014259	0.014031	0.014202	0.014218	0.014238	0.0144	0.0141	0.014467	0.014348	0.014269	0.014192	0.014117	0.014302	0.014108	0.013995	0.013842	0.013956	0.014165	0.013921	0.013884	0.013675	0.01034	0.014616	0.013571	0.00078829	0.011525	0.014438	0.0092785	0.0054353	0.0144	0.0068982	0.012398	0.013962	0.014909	0.013773	0.014191	0.013954	0.01439	0.014134	0.014605	0.014635	0.014255	
IL25	0.01099	0.012157	0.0073257	0.0020101	0.014195	0.013864	0.014091	0.014042	0.014139	0.014076	0.014076	0.013986	0.013531	0.013928	0.014081	0.013994	0.014035	0.0098377	0.01105	0.012255	0.006381	0.014367	0.013882	0.013572	0.010607	0.013059	0.010103	0.014104	0.014137	0.013544	0.014029	0.013979	0.013608	0.013959	0.014096	0.014033	0.014044	0.01391	0.01403	0.014461	0.023745	0.014103	0.014972	0.014269	0.016072	0.014042	0.013987	0.014869	0.013872	0.013899	0.013685	0.014139	0.014049	0.013945	0.013606	0.013524	0.010271	0.014124	0.013347	0.00059025	0.011317	0.012893	0.0097641	0.0060528	0.014084	0.0061882	0.012667	0.013939	0.014307	0.013616	0.014012	0.013771	0.014142	0.014017	0.014007	0.014124	0.014418	
IL2RA	0.01228	0.012064	0.0082184	0.0026961	0.014354	0.013802	0.014094	0.014078	0.014124	0.014128	0.014128	0.014032	0.013963	0.014021	0.014116	0.014084	0.014205	0.010078	0.010588	0.012657	0.0069776	0.014103	0.013955	0.014592	0.010402	0.013154	0.010804	0.014207	0.014108	0.013784	0.014331	0.014108	0.014268	0.014103	0.014207	0.014144	0.013974	0.014251	0.014302	0.014095	0.013565	0.013992	0.014147	0.014192	0.014042	0.014188	0.014127	0.014138	0.014202	0.013979	0.013919	0.013886	0.01424	0.01389	0.01402	0.013706	0.010407	0.014324	0.013518	0.00092636	0.012132	0.014054	0.0092026	0.0055278	0.014153	0.0071459	0.012687	0.014063	0.014382	0.013615	0.014153	0.013893	0.014205	0.014076	0.014781	0.014765	0.014175	
IL3	0.01173	0.012584	0.008554	0.0022101	0.01424	0.013846	0.014092	0.014064	0.014129	0.014094	0.014094	0.014034	0.014205	0.014038	0.01411	0.014095	0.014105	0.010643	0.010435	0.013138	0.0081171	0.014342	0.014038	0.015926	0.011272	0.013364	0.010295	0.0141	0.013975	0.01369	0.014066	0.014034	0.013998	0.01402	0.014075	0.014045	0.013919	0.014021	0.014098	0.014032	0.013436	0.013964	0.014016	0.014117	0.013987	0.014127	0.014228	0.014086	0.014462	0.013913	0.013818	0.013872	0.014263	0.013879	0.014397	0.013932	0.01146	0.014105	0.01357	0.00068318	0.011609	0.013585	0.0092015	0.0053619	0.014143	0.0064766	0.012975	0.014121	0.014225	0.013396	0.014256	0.013781	0.014093	0.014079	0.014202	0.014168	0.014142	
IL33	0.010903	0.01258	0.007758	0.002075	0.014287	0.013873	0.014173	0.014145	0.014214	0.01416	0.01416	0.014079	0.013584	0.014005	0.014153	0.014065	0.014162	0.0096778	0.010523	0.012299	0.006149	0.014409	0.013998	0.013838	0.010774	0.013051	0.010194	0.014218	0.014523	0.013584	0.014167	0.014103	0.013856	0.014097	0.014217	0.014154	0.014099	0.014067	0.014134	0.014388	0.015968	0.014412	0.017072	0.014302	0.014869	0.014138	0.014086	0.015285	0.014012	0.013994	0.013794	0.014102	0.014135	0.01395	0.013745	0.013648	0.010637	0.014346	0.013484	0.00061466	0.011421	0.013145	0.0097633	0.0052776	0.014174	0.0063254	0.012617	0.014009	0.014406	0.014085	0.014107	0.01389	0.014284	0.014125	0.014178	0.014282	0.014418	
IL3RA	0.012142	0.012667	0.0078976	0.0020362	0.014266	0.013787	0.014031	0.014039	0.014038	0.013925	0.013925	0.014028	0.013914	0.013969	0.013995	0.013951	0.014141	0.0096996	0.0097564	0.013775	0.0090266	0.01415	0.014164	0.018408	0.01122	0.013052	0.010878	0.014064	0.01391	0.013651	0.013969	0.014006	0.013659	0.013995	0.013985	0.013995	0.013878	0.014001	0.014122	0.013988	0.013	0.013939	0.013809	0.014108	0.013872	0.014202	0.014462	0.014012	0.015072	0.013967	0.013933	0.013843	0.01439	0.013916	0.015147	0.014255	0.011892	0.014001	0.013568	0.00060517	0.012221	0.013081	0.0090922	0.0043777	0.014084	0.0062081	0.012575	0.014107	0.014058	0.013285	0.01447	0.013737	0.014048	0.014132	0.01419	0.014112	0.01413	
IL4	0.012409	0.01199	0.0082741	0.0025099	0.014052	0.013647	0.013939	0.013913	0.013978	0.014037	0.014037	0.013868	0.013914	0.013865	0.013988	0.013952	0.013988	0.0096583	0.010074	0.012969	0.0088427	0.014	0.013761	0.013916	0.010483	0.012841	0.016699	0.014017	0.014094	0.0137	0.014055	0.013931	0.013995	0.013916	0.014015	0.013975	0.013813	0.014221	0.014063	0.013927	0.013487	0.013828	0.014052	0.013995	0.013899	0.013979	0.013913	0.013994	0.013967	0.014062	0.013984	0.013745	0.013976	0.013721	0.0139	0.013586	0.010497	0.014164	0.013384	0.00084055	0.015898	0.013531	0.0089223	0.0049797	0.013996	0.0068456	0.012358	0.013812	0.014144	0.014774	0.013958	0.013731	0.014019	0.0139	0.01437	0.01446	0.014002	
IL4R	0.021642	0.011726	0.00763	0.0027243	0.013889	0.013627	0.013803	0.013789	0.013818	0.013896	0.013896	0.013819	0.013575	0.013845	0.013821	0.013927	0.0138	0.0095085	0.010355	0.012274	0.0065898	0.013551	0.013674	0.014001	0.010192	0.012723	0.016391	0.013862	0.013929	0.015102	0.013799	0.013856	0.014009	0.01383	0.013915	0.013941	0.013766	0.014796	0.014241	0.01377	0.012944	0.013689	0.013775	0.013842	0.013685	0.013919	0.013818	0.013794	0.013933	0.013984	0.014632	0.013638	0.014055	0.013655	0.013644	0.013392	0.010085	0.013977	0.013137	0.00094581	0.01762	0.013367	0.0088209	0.0054035	0.013756	0.0071365	0.012239	0.013707	0.013871	0.013658	0.013847	0.013744	0.013877	0.013757	0.013853	0.01372	0.013777	
IL5	0.012209	0.012946	0.0079102	0.0024719	0.014093	0.013803	0.013935	0.013895	0.013981	0.014048	0.014048	0.013866	0.014051	0.013928	0.014003	0.014013	0.013885	0.012556	0.0099704	0.012219	0.0065085	0.013976	0.013817	0.013837	0.011892	0.013769	0.010015	0.013938	0.014042	0.01371	0.013901	0.013859	0.01389	0.013843	0.01395	0.013901	0.013768	0.013807	0.013844	0.013948	0.014963	0.013889	0.014383	0.013956	0.014139	0.013886	0.013872	0.014102	0.013843	0.013745	0.013638	0.014005	0.013948	0.013649	0.013604	0.013556	0.011785	0.013994	0.013234	0.00082575	0.011327	0.013394	0.01712	0.0048944	0.013876	0.006769	0.013695	0.013971	0.014033	0.014743	0.01389	0.013664	0.013958	0.01385	0.013915	0.013876	0.013962	
IL5RA	0.013154	0.012177	0.007527	0.0021469	0.014303	0.013915	0.014181	0.014132	0.014223	0.014262	0.014262	0.014117	0.014566	0.014214	0.014236	0.014275	0.014125	0.010492	0.010714	0.012739	0.0068523	0.014313	0.014067	0.015088	0.010493	0.01344	0.010402	0.014155	0.014037	0.014042	0.014022	0.014079	0.013826	0.014049	0.014107	0.014106	0.014016	0.014238	0.014334	0.014072	0.013354	0.013997	0.014007	0.014165	0.014049	0.01424	0.014263	0.014135	0.01439	0.013976	0.014055	0.013948	0.014825	0.013974	0.014239	0.013834	0.010518	0.014116	0.013471	0.00064458	0.012111	0.013136	0.0095645	0.0055197	0.014116	0.0064394	0.013003	0.014222	0.014172	0.013339	0.014293	0.013878	0.014135	0.014115	0.014125	0.013948	0.014182	
IL9	0.011953	0.0123	0.0083846	0.0025618	0.013977	0.013593	0.013841	0.013828	0.013862	0.013873	0.013873	0.013801	0.01369	0.013761	0.013847	0.013813	0.01385	0.0097214	0.015408	0.013498	0.010811	0.013947	0.013723	0.014046	0.010983	0.012821	0.010425	0.013889	0.013825	0.013504	0.013863	0.013835	0.013874	0.013823	0.01389	0.013858	0.013903	0.01396	0.014045	0.013856	0.013835	0.013785	0.013958	0.013921	0.013945	0.01389	0.013879	0.01395	0.013916	0.013721	0.013655	0.013649	0.013974	0.013922	0.013993	0.013665	0.011111	0.013944	0.013404	0.00087265	0.011725	0.013453	0.0089897	0.013268	0.013893	0.0068761	0.012379	0.013734	0.014046	0.013283	0.013896	0.013616	0.013901	0.013848	0.013951	0.013911	0.013923	
KIT	0.010557	0.012786	0.008577	0.0017253	0.01391	0.01358	0.013807	0.013883	0.013799	0.013606	0.013606	0.013909	0.013549	0.01372	0.013742	0.013641	0.013943	0.0089928	0.0095894	0.018428	0.02226	0.013856	0.014057	0.01645	0.01146	0.012669	0.01045	0.013822	0.013595	0.013175	0.013587	0.013811	0.01313	0.013792	0.01369	0.013733	0.013687	0.013605	0.013893	0.01378	0.012333	0.013747	0.013336	0.013884	0.013606	0.01402	0.014397	0.013745	0.015147	0.0139	0.013644	0.013604	0.014239	0.013993	0.017328	0.015041	0.012928	0.013641	0.014	0.00047589	0.011605	0.012389	0.0078475	0.004165	0.014	0.0056648	0.012125	0.013918	0.013727	0.01278	0.014367	0.013466	0.013775	0.014132	0.013699	0.01356	0.013917	
KITLG	0.010858	0.017099	0.0086674	0.0019208	0.013672	0.01373	0.013636	0.013687	0.013642	0.013523	0.013523	0.013716	0.013398	0.013563	0.013615	0.01356	0.013679	0.0093671	0.0099973	0.015374	0.015776	0.01356	0.013845	0.014858	0.018666	0.01269	0.0099801	0.013623	0.013477	0.013162	0.01348	0.013638	0.013292	0.013601	0.013562	0.013576	0.013516	0.013461	0.01363	0.013616	0.012708	0.013855	0.013477	0.013675	0.013524	0.013706	0.013932	0.013648	0.014255	0.013586	0.013392	0.013556	0.013834	0.013665	0.015041	0.014877	0.021466	0.013523	0.013482	0.00056472	0.01119	0.012757	0.0087982	0.0049658	0.013735	0.005927	0.012242	0.01368	0.013629	0.012854	0.013889	0.013326	0.013613	0.013839	0.013497	0.013385	0.013668	
LTB4R	0.0061406	0.068549	0.0041066	0.00081634	0.0095279	0.014558	0.010532	0.010847	0.01035	0.0096122	0.0096122	0.011371	0.008535	0.010466	0.010253	0.010155	0.010407	0.006054	0.0059579	0.011905	0.0062915	0.0086315	0.012902	0.010467	0.1049	0.010192	0.0050433	0.010001	0.0096762	0.00993	0.0093262	0.010632	0.0082747	0.010328	0.0096782	0.010038	0.010428	0.0089812	0.0095963	0.010473	0.0083408	0.014135	0.010119	0.01034	0.010271	0.010407	0.01146	0.010637	0.011892	0.010497	0.010085	0.011785	0.010518	0.011111	0.012928	0.021466	0.12646	0.0091127	0.010015	0.00018934	0.0062383	0.0075129	0.0056517	0.0020198	0.010072	0.0032718	0.0099658	0.011076	0.0090815	0.008229	0.010876	0.010068	0.010024	0.011475	0.0086106	0.0082966	0.010217	
MAF	0.01107	0.011391	0.0073247	0.0032915	0.014926	0.013726	0.014145	0.014195	0.014152	0.014202	0.014202	0.014086	0.013417	0.013982	0.014177	0.014034	0.014446	0.0081085	0.0096743	0.012143	0.0057782	0.013649	0.013918	0.013489	0.0091987	0.012408	0.010523	0.014546	0.014843	0.013618	0.015131	0.014444	0.014878	0.014445	0.014678	0.014476	0.014123	0.014568	0.014429	0.01436	0.013298	0.014221	0.014789	0.014616	0.014124	0.014324	0.014105	0.014346	0.014001	0.014164	0.013977	0.013994	0.014116	0.013944	0.013641	0.013523	0.0091127	0.016311	0.013534	0.0011735	0.01176	0.015937	0.00832	0.0041839	0.014319	0.0081664	0.011724	0.013841	0.015086	0.015129	0.014164	0.014247	0.014787	0.014216	0.015149	0.015193	0.014263	
MMP9	0.010474	0.011472	0.04611	0.0019946	0.013553	0.013212	0.013478	0.013782	0.013484	0.0134	0.0134	0.013653	0.013118	0.013358	0.013495	0.013402	0.013739	0.0088546	0.0098215	0.014947	0.014504	0.01322	0.013483	0.013445	0.0098604	0.012262	0.0091664	0.013592	0.013408	0.012928	0.013558	0.013634	0.013657	0.013685	0.013584	0.013554	0.013491	0.013398	0.013476	0.013688	0.012769	0.013433	0.013435	0.013571	0.013347	0.013518	0.01357	0.013484	0.013568	0.013384	0.013137	0.013234	0.013471	0.013404	0.014	0.013482	0.010015	0.013534	0.016934	0.00059833	0.010511	0.013362	0.0079102	0.0048084	0.014578	0.0060206	0.011764	0.013332	0.014141	0.01251	0.013565	0.013213	0.013583	0.01394	0.013567	0.013486	0.013481	
MRC1	0.00042178	0.00039296	0.00013659	0.30725	0.0011514	0.00083531	0.00091311	0.00073208	0.00066316	0.0010974	0.0010974	0.00073559	0.00045046	0.00091416	0.00071675	0.00071858	0.00092556	0.000163	0.00033034	0.00039601	8.3702e-05	0.0004283	0.00080651	0.00040903	0.00023734	0.00047758	0.00023916	0.00093786	0.0010227	0.0010211	0.00099469	0.00090843	0.00060606	0.00092431	0.001052	0.0010194	0.00092048	0.0012296	0.0011557	0.00087421	0.00039732	0.00092669	0.00057086	0.00078829	0.00059025	0.00092636	0.00068318	0.00061466	0.00060517	0.00084055	0.00094581	0.00082575	0.00064458	0.00087265	0.00047589	0.00056472	0.00018934	0.0011735	0.00059833	0.52356	0.0003548	0.00050763	0.00020798	7.0684e-05	0.00054265	0.11514	0.00040775	0.00058931	0.00060194	0.00048014	0.00068451	0.0047504	0.0010275	0.00067384	0.00061376	0.00053115	0.00063703
MS4A2	0.014137	0.0081286	0.0045013	0.0013159	0.01076	0.011363	0.011416	0.011485	0.011353	0.011548	0.011548	0.011476	0.0097557	0.011379	0.011396	0.010968	0.011531	0.0053599	0.0070323	0.010301	0.0045961	0.009936	0.011495	0.010436	0.0063069	0.0093635	0.11383	0.011596	0.012161	0.011865	0.011081	0.011727	0.010423	0.011727	0.011602	0.01207	0.011768	0.013811	0.013156	0.011432	0.0091131	0.011348	0.010473	0.011525	0.011317	0.012132	0.011609	0.011421	0.012221	0.015898	0.01762	0.011327	0.012111	0.011725	0.011605	0.01119	0.0062383	0.01176	0.010511	0.0003548	0.10466	0.0092992	0.0053237	0.002633	0.011303	0.0045196	0.0085975	0.011398	0.010667	0.011859	0.0117	0.011733	0.011581	0.011537	0.01164	0.011463	0.011449	
PDCD1	0.0089622	0.009988	0.0069949	0.0018122	0.013876	0.012891	0.013439	0.013803	0.013381	0.012927	0.012927	0.013596	0.011678	0.013092	0.013399	0.0129	0.014639	0.0063748	0.0083373	0.010908	0.0044373	0.012005	0.013334	0.012013	0.0075407	0.010965	0.0076369	0.01467	0.014245	0.012307	0.0208	0.015888	0.016168	0.016851	0.014881	0.014505	0.013612	0.013774	0.013823	0.014142	0.011386	0.013829	0.013023	0.014438	0.012893	0.014054	0.013585	0.013145	0.013081	0.013531	0.013367	0.013394	0.013136	0.013453	0.012389	0.012757	0.0075129	0.015937	0.013362	0.00050763	0.0092992	0.071354	0.0068156	0.003154	0.013299	0.0058907	0.010192	0.012763	0.014494	0.011868	0.013554	0.013966	0.0149	0.014068	0.016234	0.016364	0.013479	
PMCH	0.0058497	0.0085394	0.0030671	0.00082575	0.00975	0.0092015	0.0093397	0.0092816	0.0093962	0.009754	0.009754	0.0093231	0.0077737	0.009399	0.0094485	0.0095271	0.0091452	0.0061467	0.0048944	0.0065085	0.0022936	0.0076711	0.0091689	0.0075408	0.0057505	0.0093742	0.0042314	0.0092307	0.0094774	0.0092379	0.0089204	0.009014	0.0075956	0.009091	0.0093135	0.0092581	0.0091231	0.0077765	0.0082103	0.0092738	0.010597	0.0094133	0.010166	0.0092785	0.0097641	0.0092026	0.0092015	0.0097633	0.0090922	0.0089223	0.0088209	0.01712	0.0095645	0.0089897	0.0078475	0.0087982	0.0056517	0.00832	0.0079102	0.00020798	0.0053237	0.0068156	0.37949	0.0016463	0.0079512	0.0030897	0.009329	0.009649	0.0079969	0.010388	0.0089972	0.0090329	0.0092691	0.0092986	0.0078102	0.0075447	0.0092566	
POSTN	0.0024428	0.00299	0.0016004	0.00033034	0.0040725	0.0050414	0.0049098	0.0049783	0.0044231	0.0049593	0.0049593	0.0052989	0.003268	0.0048375	0.004433	0.0042554	0.0045843	0.0014857	0.19243	0.0048351	0.0016331	0.0035892	0.0051258	0.0035921	0.0020417	0.0033947	0.0019152	0.0049425	0.004891	0.0039578	0.0042126	0.0051663	0.0036165	0.0052664	0.0044742	0.0050259	0.011435	0.0053574	0.0065583	0.0051899	0.0035848	0.0054716	0.004038	0.0054353	0.0060528	0.0055278	0.0053619	0.0052776	0.0043777	0.0049797	0.0054035	0.0048944	0.0055197	0.013268	0.004165	0.0049658	0.0020198	0.0041839	0.0048084	7.0684e-05	0.002633	0.003154	0.0016463	0.48256	0.0040716	0.0014628	0.0030428	0.0042856	0.0040307	0.0031991	0.0049333	0.0051742	0.0049185	0.0051615	0.0037154	0.0035211	0.0055564	
PPARG	0.010819	0.011878	0.014268	0.001911	0.014385	0.013946	0.014173	0.014373	0.014239	0.014097	0.014097	0.014151	0.01409	0.014044	0.01425	0.014161	0.014222	0.0093431	0.0095318	0.012997	0.0073505	0.014165	0.01399	0.014046	0.010448	0.012921	0.010092	0.014383	0.014116	0.01359	0.014182	0.014229	0.014015	0.014169	0.014299	0.014216	0.014015	0.013949	0.014073	0.014383	0.013619	0.014073	0.014149	0.0144	0.014084	0.014153	0.014143	0.014174	0.014084	0.013996	0.013756	0.013876	0.014116	0.013893	0.014	0.013735	0.010072	0.014319	0.014578	0.00054265	0.011303	0.013299	0.0079512	0.0040716	0.016492	0.0060724	0.012423	0.013985	0.016742	0.01313	0.014293	0.013861	0.014446	0.014307	0.014123	0.013949	0.014179	
