	BCL6	CCL11	CCL17	CCL2	CCL22	CCL24	CCL26	CCL5	CCL8	CCR3	CCR4	CCR8	CD40LG	CMA1	CRLF2	CSF2	CSF3R	FCER1A	FOXP3	GATA3	ICOS	IFNG	IFNGR2	IL10	IL12A	IL12B	IL13	IL13RA1	IL13RA2	IL17A	IL17RB	IL18	IL1RL1	IL21	IL25	IL2RA	IL3	IL33	IL3RA	IL4	IL4R	IL5	IL5RA	IL9	KIT	KITLG	MAF	MMP9	MS4A2	PDCD1	PPARG	RETNLB	RORC	SATB1	STAT5A	STAT6	TBX21	TGFB1	TNFRSF4	TNFSF4	TSLP	
IL5RA	0.0073759	0.017256	0.014077	0.017238	0.013135	0.0072054	0.014316	0.016469	0.0072054	0.015173	0.013869	0.013869	0.014854	0.0054291	0.0089349	0.028458	0.025042	0	0.017239	0.017852	0.012659	0.018768	0.012582	0.018552	0.015672	0.016205	0.020659	0.017246	0.017246	0.016762	0.012385	0.017322	0.0085447	0.016581	0.018143	0.021518	0.035545	0.017367	0.037521	0.018574	0.018463	0.026412	0.087308	0.02497	0.020086	0.014003	0.0099374	0.012929	0	0.0046283	0.0049021	0.0080795	0.013393	0.0088809	0.018842	0.017146	0.016483	0.016553	0.010244	0.0040057	0.017885	
IL9	0.019698	0.021446	0.019081	0.019151	0.018073	0.010148	0.018593	0.018577	0.010148	0.017676	0.019389	0.019389	0.017742	0.0068427	0.0091509	0.020822	0.017445	0	0.019349	0.01896	0.017027	0.019276	0.015065	0.019382	0.018948	0.018745	0.020752	0.020954	0.020954	0.018417	0.012584	0.020462	0.006385	0.020505	0.0141	0.019788	0.022813	0.012776	0.02497	0.019623	0.02029	0.019971	0.02497	0.023578	0.017304	0.01473	0.015027	0.015584	0	0.0088459	0.0067403	0.011653	0.017454	0.011279	0.018791	0.019426	0.019136	0.018776	0.01032	0.0043744	0.016541	
KIT	0.0060054	0.013249	0.011468	0.014598	0.010422	0.0046313	0.011773	0.013892	0.0046313	0.011712	0.010879	0.010879	0.012836	0.065056	0.0036592	0.027085	0.023031	0	0.019224	0.014941	0.011587	0.017414	0.011218	0.016225	0.015211	0.014906	0.016566	0.015619	0.015619	0.014338	0.0062964	0.015773	0.0019966	0.014542	0.0067828	0.017253	0.018677	0.0060269	0.020086	0.017898	0.020304	0.015542	0.020086	0.017304	0.11302	0.080553	0.0090348	0.010432	0	0.0042025	0.0037294	0.0062962	0.014295	0.006234	0.049523	0.014973	0.017821	0.013495	0.0068004	0.0023303	0.010017	
KITLG	0.0060562	0.012298	0.011253	0.012737	0.0094877	0.0047964	0.01254	0.011645	0.0047964	0.010927	0.0098859	0.0098859	0.010911	0.16042	0.0048488	0.020767	0.01202	0	0.017072	0.013681	0.010367	0.015281	0.010304	0.01418	0.01473	0.013819	0.014716	0.015198	0.015198	0.012895	0.0057893	0.014978	0.0016141	0.013215	0.0057478	0.014787	0.015009	0.004978	0.014003	0.017594	0.018392	0.013152	0.014003	0.01473	0.080553	0.10081	0.012613	0.0089445	0	0.0038854	0.0030996	0.0065155	0.013143	0.0063102	0.043372	0.013962	0.016227	0.011839	0.0056521	0.0018999	0.010473	
MAF	0.0058229	0.014402	0.014248	0.012625	0.0088535	0.0054604	0.017134	0.0096382	0.0054604	0.012376	0.010221	0.010221	0.0081357	0.0057273	0.0068245	0.012233	0.0052597	0	0.01158	0.013554	0.008274	0.01197	0.0083744	0.011869	0.015991	0.014056	0.014475	0.017122	0.017122	0.011783	0.0051599	0.016086	0.0014786	0.012912	0.0052701	0.013082	0.013689	0.0045972	0.0099374	0.02955	0.015026	0.012526	0.0099374	0.015027	0.0090348	0.012613	0.3887	0.0077301	0	0.0028492	0.0025942	0.006369	0.0092133	0.0060844	0.011122	0.014304	0.013314	0.0098815	0.0046979	0.0015397	0.014859	
MMP9	0.0076389	0.017904	0.018227	0.02484	0.019725	0.0094866	0.013723	0.027519	0.0094866	0.017223	0.022641	0.022641	0.020895	0.0030996	0.0034058	0.016108	0.0087922	0	0.017171	0.01506	0.014955	0.01835	0.014076	0.018857	0.015824	0.017393	0.017729	0.014498	0.014498	0.023597	0.016891	0.016038	0.0023817	0.015529	0.010599	0.015019	0.015024	0.0070627	0.012929	0.015602	0.015629	0.014934	0.012929	0.015584	0.010432	0.0089445	0.0077301	0.060047	0	0.0063578	0.12412	0.0070357	0.019285	0.0067561	0.014137	0.015632	0.016851	0.034625	0.005559	0.0017817	0.0091892	
MS4A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56767	0	0	0	0	0	0	0	0	0	0	0	0	
PDCD1	0.012528	0.0058262	0.0048219	0.0076618	0.0045258	0.0015804	0.0048252	0.0099925	0.0015804	0.0054375	0.0048922	0.0048922	0.040777	0.0010398	0.00096519	0.0076	0.0024934	0	0.012766	0.0099966	0.12361	0.010809	0.0059221	0.018983	0.0099187	0.010209	0.008273	0.0061981	0.0061981	0.011539	0.0039135	0.0094841	0.00054212	0.025814	0.0027124	0.010275	0.0069153	0.0021559	0.0046283	0.008274	0.0086266	0.0074006	0.0046283	0.0088459	0.0042025	0.0038854	0.0028492	0.0063578	0	0.44934	0.0018267	0.0029979	0.011158	0.0035814	0.0085069	0.0086334	0.019747	0.009366	0.0030643	0.00082726	0.0035799	
PPARG	0.0025156	0.0081302	0.0079812	0.023081	0.008727	0.0033865	0.0052645	0.02652	0.0033865	0.0094866	0.01295	0.01295	0.011262	0.00078541	0.00090922	0.0087922	0.0031371	0	0.0087445	0.0067561	0.0063578	0.01052	0.005387	0.011283	0.0065813	0.0089428	0.0097936	0.0056427	0.0056427	0.021618	0.0085969	0.0067934	0.00059418	0.0076389	0.0038704	0.0069199	0.0065798	0.0023817	0.0049021	0.0077301	0.0068671	0.0073615	0.0049021	0.0067403	0.0037294	0.0030996	0.0025942	0.12412	0	0.0018267	0.44963	0.0021318	0.0097262	0.0020295	0.0059985	0.0070357	0.008375	0.035678	0.0017817	0.00042081	0.0034058	
RETNLB	0.0037815	0.015806	0.016782	0.011087	0.0089461	0.0043834	0.021185	0.0092435	0.0043834	0.011314	0.010549	0.010549	0.0091134	0.0020839	0.0025478	0.010225	0.0037948	0	0.014865	0.016431	0.0086334	0.013227	0.0098043	0.01428	0.012301	0.015759	0.015643	0.021575	0.021575	0.010781	0.0044621	0.012237	0.0014637	0.010286	0.0050068	0.011494	0.010782	0.0044955	0.0080795	0.014304	0.017836	0.012297	0.0080795	0.011653	0.0062962	0.0065155	0.006369	0.0070357	0	0.0029979	0.0021318	0.39809	0.010333	0.0078908	0.010824	0.041421	0.014308	0.010532	0.0036741	0.0010641	0.0073944	
RORC	0.015542	0.014619	0.013042	0.01617	0.011794	0.0051028	0.014096	0.015019	0.0051028	0.013085	0.011832	0.011832	0.018525	0.0050629	0.0039881	0.016513	0.0071658	0	0.033488	0.022223	0.021737	0.020589	0.016066	0.022139	0.022967	0.020755	0.01858	0.016979	0.016979	0.03185	0.023369	0.022202	0.0027869	0.024787	0.013372	0.019984	0.016677	0.0084105	0.013393	0.018251	0.019159	0.017293	0.013393	0.017454	0.014295	0.013143	0.0092133	0.019285	0	0.011158	0.0097262	0.010333	0.090177	0.013006	0.021727	0.019288	0.029617	0.023424	0.0084364	0.0029967	0.010802	
SATB1	0.0043394	0.010102	0.0086472	0.0095816	0.0060446	0.0028402	0.0099047	0.0074864	0.0028402	0.0081464	0.0065707	0.0065707	0.0091566	0.0020008	0.0028283	0.010276	0.0038344	0	0.019095	0.072223	0.0099966	0.011681	0.0070755	0.016353	0.011365	0.011969	0.015863	0.012526	0.012526	0.012064	0.0052592	0.012479	0.0018778	0.011502	0.0061533	0.011755	0.010975	0.0055709	0.0088809	0.013554	0.01268	0.014363	0.0088809	0.011279	0.006234	0.0063102	0.0060844	0.0067561	0	0.0035814	0.0020295	0.0078908	0.013006	0.42095	0.010823	0.016431	0.017075	0.010923	0.0037347	0.0010652	0.0079928	
STAT5A	0.010547	0.0164	0.014929	0.016939	0.014006	0.0068002	0.015596	0.016184	0.0068002	0.014476	0.014254	0.014254	0.017414	0.038227	0.004924	0.021766	0.017218	0	0.021241	0.018414	0.016595	0.019345	0.017233	0.019049	0.020012	0.01895	0.019114	0.020089	0.020089	0.018188	0.010218	0.020101	0.0028313	0.018221	0.0093108	0.018947	0.019226	0.0077707	0.018842	0.019041	0.021514	0.017138	0.018842	0.018791	0.049523	0.043372	0.011122	0.014137	0	0.0085069	0.0059985	0.010824	0.021727	0.010823	0.032188	0.018327	0.020465	0.017902	0.0093667	0.0038514	0.01202	
STAT6	0.010286	0.020596	0.02101	0.019122	0.018801	0.011314	0.024669	0.018396	0.011314	0.018508	0.019667	0.019667	0.018044	0.0065155	0.0073944	0.017932	0.010225	0	0.019602	0.019994	0.01645	0.019457	0.019182	0.019458	0.020696	0.020421	0.020623	0.024479	0.024479	0.018121	0.011326	0.020773	0.0044955	0.01782	0.011241	0.018327	0.018745	0.0097766	0.017146	0.019754	0.021652	0.017857	0.017146	0.019426	0.014973	0.013962	0.014304	0.015632	0	0.0086334	0.0070357	0.041421	0.019288	0.016431	0.018327	0.022646	0.019681	0.01884	0.0088844	0.0036741	0.01436	
TBX21	0.017987	0.017687	0.016567	0.018128	0.015565	0.0079613	0.017661	0.017568	0.0079613	0.01578	0.015938	0.015938	0.021502	0.0085488	0.0062548	0.018125	0.010236	0	0.022509	0.020564	0.022983	0.020359	0.021619	0.02075	0.024638	0.021724	0.01983	0.020151	0.020151	0.021165	0.014721	0.023513	0.0035224	0.021453	0.01169	0.019172	0.018514	0.0090118	0.016483	0.019186	0.020377	0.01762	0.016483	0.019136	0.017821	0.016227	0.013314	0.016851	0	0.019747	0.008375	0.014308	0.029617	0.017075	0.020465	0.019681	0.022723	0.020532	0.0094122	0.0038743	0.013242	
TGFB1	0.010289	0.018237	0.016804	0.021427	0.017089	0.0080649	0.015792	0.021882	0.0080649	0.016531	0.018211	0.018211	0.021635	0.0044789	0.0048547	0.018244	0.010172	0	0.020882	0.019026	0.018498	0.020767	0.01891	0.021578	0.020008	0.020353	0.020836	0.019607	0.019607	0.024181	0.018977	0.020959	0.003554	0.019024	0.013232	0.018547	0.018525	0.0093985	0.016553	0.018302	0.019877	0.017796	0.016553	0.018776	0.013495	0.011839	0.0098815	0.034625	0	0.009366	0.035678	0.010532	0.023424	0.010923	0.017902	0.01884	0.020532	0.035413	0.008242	0.0030948	0.011904	
TNFRSF4	0.0069959	0.0071677	0.005969	0.0075012	0.0054131	0.0023967	0.006423	0.0067902	0.0023967	0.0064098	0.0052784	0.0052784	0.0078232	0.0018999	0.0022749	0.011365	0.0057097	0	0.012842	0.0090855	0.0080384	0.010592	0.0063156	0.011402	0.0081329	0.008394	0.009652	0.0090316	0.0090316	0.009163	0.0042532	0.0084809	0.0015341	0.013251	0.0048807	0.039709	0.013589	0.0043945	0.010244	0.0099242	0.012968	0.010814	0.010244	0.01032	0.0068004	0.0056521	0.0046979	0.005559	0	0.0030643	0.0017817	0.0036741	0.0084364	0.0037347	0.0093667	0.0088844	0.0094122	0.008242	0.26646	0.28469	0.0061615	
TNFSF4	0.0023983	0.0025377	0.0019929	0.002862	0.0017761	0.00065275	0.0021729	0.002453	0.00065275	0.0023967	0.0015859	0.0015859	0.0028663	0.00047221	0.00060763	0.0057097	0.0019313	0	0.0067003	0.0037347	0.0030643	0.005173	0.0020952	0.0057317	0.00295	0.0032377	0.0040794	0.0034025	0.0034025	0.0038553	0.0012634	0.0031146	0.00039558	0.0069959	0.0016613	0.033258	0.0071401	0.0015341	0.0040057	0.0046979	0.0067878	0.0054058	0.0040057	0.0043744	0.0023303	0.0018999	0.0015397	0.0017817	0	0.00082726	0.00042081	0.0010641	0.0029967	0.0010652	0.0038514	0.0036741	0.0038743	0.0030948	0.28469	0.51789	0.0022749
TSLP	0.0061973	0.013805	0.012771	0.012632	0.010044	0.0065833	0.014674	0.011011	0.0065833	0.01276	0.010681	0.010681	0.010109	0.0048488	0.19496	0.014607	0.0075628	0	0.012923	0.01476	0.00948	0.013417	0.0094618	0.013629	0.014021	0.013322	0.015159	0.015254	0.015254	0.013367	0.01043	0.014602	0.0071984	0.012842	0.015094	0.014577	0.016916	0.0144	0.017885	0.019181	0.014505	0.022398	0.017885	0.016541	0.010017	0.010473	0.014859	0.0091892	0	0.0035799	0.0034058	0.0073944	0.010802	0.0079928	0.01202	0.01436	0.013242	0.011904	0.0061615	0.0022749	0.12732	
