       	ADAM33 	ALOX5  	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CLC    	CLCA1  	CMA1   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MS4A2  	PDCD1  	POSTN  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
IL12A  	0.0096236	0.012309	0.0049811	0.014527	0.015057	0.015493	0.015738	0.015555	0.014571	0.015087	0.015567	0.014393	0.015213	0.015273	0.015014	0.015837	0.0033378	0.0074025	0.010768	0.012172	0.015184	0.012502	0.0093929	0.0033378	0.0081891	0.016308	0.015999	0.014667	0.016176	0.016318	0.028384	0.01605	0.018709	0.017506	0.015408	0.015925	0.015925	0.015991	0.014622	0.015641	0.015969	0.015752	0.015042	0.015317	0.015234	0.015662	0.015274	0.01534	0.015353	0.015192	0.014719	0.015036	0.014845	0.013636	0.0097029	0.015759	0.016033	0.0038619	0.015698	0.003049	0.016018	0.0096336	0.0033378	0.0074982	0.016929	0.015249	0.015038	0.015749	0.016432	0.01593	0.011162	0.0053358	0.015058                                                              
IL12B  	0.012001	0.0126	0.0046445	0.014723	0.015096	0.015503	0.015654	0.015572	0.014984	0.015284	0.015571	0.014848	0.015343	0.015428	0.015267	0.0157	0.0038483	0.0084198	0.01121	0.01255	0.015162	0.01279	0.0099198	0.0038483	0.0080659	0.015984	0.015764	0.015028	0.015828	0.015985	0.023832	0.015785	0.017506	0.01677	0.015366	0.016089	0.016089	0.015778	0.014923	0.015514	0.015884	0.015593	0.01525	0.015229	0.015242	0.015661	0.015353	0.01523	0.015432	0.015178	0.014979	0.015047	0.014967	0.013785	0.01022	0.015336	0.015902	0.0037849	0.015146	0.0040602	0.015843	0.0091538	0.0038483	0.0078902	0.016428	0.015256	0.015039	0.015539	0.016045	0.015741	0.011167	0.0054071	0.015091                                                                       
IL13   	0.011217	0.013034	0.0040215	0.014643	0.014886	0.015226	0.015273	0.015222	0.014822	0.015025	0.015229	0.014716	0.015072	0.015113	0.015039	0.015273	0.0041536	0.018528	0.01215	0.013495	0.015003	0.013203	0.010859	0.0041536	0.0078371	0.015296	0.015308	0.014878	0.015096	0.015242	0.015286	0.015209	0.015408	0.015366	0.015579	0.016656	0.016656	0.015355	0.015762	0.015258	0.015862	0.015215	0.015826	0.014894	0.015101	0.015832	0.015217	0.01492	0.015177	0.014968	0.015239	0.014982	0.01498	0.013986	0.011199	0.014468	0.015597	0.0036443	0.013944	0.014918	0.015452	0.0083349	0.0041536	0.0080512	0.015565	0.014998	0.014867	0.0151	0.015309	0.015414	0.010906	0.0052806	0.01505                                                                     
IL13RA1	0.018259	0.011557	0.0061374	0.013185	0.014957	0.015304	0.015235	0.014829	0.01359	0.014882	0.014857	0.01323	0.014624	0.014417	0.014225	0.015117	0.0030638	0.01057	0.010436	0.011355	0.014859	0.011261	0.008595	0.0030638	0.0093238	0.015377	0.015626	0.013717	0.014799	0.015483	0.014863	0.015548	0.015925	0.016089	0.016656	0.038183	0.019867	0.015356	0.01343	0.015379	0.015089	0.015183	0.015084	0.015324	0.015099	0.015641	0.015964	0.01601	0.018297	0.014864	0.014278	0.015172	0.014888	0.013336	0.0090048	0.014006	0.015347	0.0045396	0.012719	0.0053786	0.014987	0.011703	0.0030638	0.0071887	0.014799	0.01502	0.014596	0.017192	0.015559	0.015299	0.011641	0.0055865	0.014911                                                                    
IL13RA2	0.018259	0.011557	0.0061374	0.013185	0.014957	0.015304	0.015235	0.014829	0.01359	0.014882	0.014857	0.01323	0.014624	0.014417	0.014225	0.015117	0.0030638	0.01057	0.010436	0.011355	0.014859	0.011261	0.008595	0.0030638	0.0093238	0.015377	0.015626	0.013717	0.014799	0.015483	0.014863	0.015548	0.015925	0.016089	0.016656	0.019867	0.038183	0.015356	0.01343	0.015379	0.015089	0.015183	0.015084	0.015324	0.015099	0.015641	0.015964	0.01601	0.018297	0.014864	0.014278	0.015172	0.014888	0.013336	0.0090048	0.014006	0.015347	0.0045396	0.012719	0.0053786	0.014987	0.011703	0.0030638	0.0071887	0.014799	0.01502	0.014596	0.017192	0.015559	0.015299	0.011641	0.0055865	0.014911                                                                    
IL17A  	0.0092861	0.013285	0.0038178	0.015354	0.015223	0.0155	0.01564	0.015594	0.015138	0.015288	0.015635	0.015046	0.015401	0.015476	0.015361	0.015721	0.0041719	0.0081532	0.012073	0.013296	0.015337	0.013809	0.01091	0.0041719	0.0077293	0.015863	0.015845	0.015221	0.015869	0.015649	0.016318	0.015656	0.015991	0.015778	0.015355	0.015356	0.015356	0.015952	0.017979	0.015681	0.016825	0.01573	0.016468	0.015201	0.015361	0.016346	0.015358	0.015171	0.01502	0.015386	0.015367	0.015234	0.015164	0.014194	0.011205	0.015624	0.016119	0.0035012	0.015418	0.0038164	0.016524	0.0081017	0.0041719	0.0081974	0.01714	0.015458	0.015258	0.015234	0.015906	0.015822	0.010937	0.0051821	0.015272                                                                   
IL17RB 	0.0067299	0.011955	0.0020238	0.014018	0.015812	0.014714	0.015032	0.014659	0.013505	0.013899	0.014908	0.012833	0.014336	0.013998	0.013926	0.014777	0.0041226	0.0068672	0.010221	0.010087	0.014514	0.010258	0.0084553	0.0041226	0.005593	0.014935	0.015163	0.014012	0.014544	0.014894	0.012477	0.014788	0.014622	0.014923	0.015762	0.01343	0.01343	0.017979	0.079258	0.015623	0.017684	0.015062	0.035457	0.014211	0.014484	0.020526	0.014046	0.014346	0.014098	0.016886	0.014773	0.015884	0.013199	0.0129	0.0088233	0.012082	0.015193	0.0019282	0.011136	0.0025706	0.01513	0.0057733	0.0041226	0.0085876	0.015204	0.014172	0.014095	0.014528	0.015089	0.014903	0.0084674	0.0030511	0.014381                                                               
IL18   	0.0091077	0.016281	0.0040952	0.014749	0.014962	0.015303	0.015475	0.015355	0.014837	0.015076	0.015422	0.014677	0.01518	0.015182	0.015082	0.015674	0.0039125	0.0083917	0.013662	0.01253	0.015425	0.013611	0.015394	0.0039125	0.0078681	0.01556	0.015763	0.014918	0.015548	0.015463	0.01544	0.015485	0.015641	0.015514	0.015258	0.015379	0.015379	0.015681	0.015623	0.015973	0.017691	0.015448	0.015915	0.01511	0.015358	0.016657	0.015387	0.015081	0.014912	0.015306	0.015457	0.015242	0.015331	0.015142	0.014853	0.015115	0.015753	0.0036531	0.014735	0.0040522	0.015596	0.0083731	0.0039125	0.007957	0.0159	0.015406	0.015061	0.015119	0.01563	0.015721	0.010977	0.0052677	0.015087                                                                     
IL1RL1 	0.0077	0.014079	0.002847	0.014524	0.015179	0.015351	0.015763	0.015295	0.014104	0.014739	0.015485	0.013672	0.014965	0.014797	0.014596	0.016052	0.0038202	0.0076096	0.010798	0.011143	0.015368	0.011691	0.010547	0.0038202	0.0070954	0.016	0.01793	0.014353	0.016122	0.0158	0.014548	0.015981	0.015969	0.015884	0.015862	0.015089	0.015089	0.016825	0.017684	0.017691	0.028154	0.015754	0.018012	0.015147	0.015239	0.021412	0.015113	0.015479	0.014922	0.015973	0.014986	0.015277	0.014569	0.013833	0.010575	0.016319	0.015967	0.0027921	0.014756	0.0030828	0.015767	0.0071904	0.0038202	0.0080457	0.0163	0.018025	0.014851	0.015513	0.016334	0.015852	0.010036	0.0040275	0.015005                                                                        
IL21   	0.0092667	0.013341	0.0030433	0.020271	0.014976	0.015336	0.015466	0.015433	0.014722	0.014967	0.015436	0.014731	0.015177	0.015177	0.015016	0.015725	0.0038037	0.0080976	0.012687	0.015251	0.015474	0.014536	0.011181	0.0038037	0.0078452	0.01587	0.015615	0.014827	0.015945	0.015575	0.015422	0.015614	0.015752	0.015593	0.015215	0.015183	0.015183	0.01573	0.015062	0.015448	0.015754	0.016231	0.015315	0.015439	0.015599	0.015587	0.015671	0.015156	0.015017	0.015339	0.015965	0.015329	0.015666	0.014488	0.011597	0.015665	0.015891	0.0036181	0.015607	0.0038334	0.016455	0.0072637	0.0038037	0.0078664	0.017535	0.015087	0.015782	0.015056	0.01592	0.015732	0.011927	0.0063979	0.015612                                                               
IL25   	0.0085521	0.012948	0.0026052	0.014396	0.015738	0.015391	0.015494	0.015387	0.014778	0.014959	0.015449	0.014419	0.015195	0.015093	0.015083	0.015339	0.0052551	0.0094423	0.012507	0.011705	0.015055	0.011563	0.010094	0.0052551	0.0066689	0.015271	0.015454	0.015076	0.014789	0.015296	0.013426	0.015164	0.015042	0.01525	0.015826	0.015084	0.015084	0.016468	0.035457	0.015915	0.018012	0.015315	0.025309	0.014818	0.015163	0.019558	0.014946	0.014892	0.014827	0.01598	0.015758	0.015808	0.014455	0.013929	0.010763	0.012935	0.015607	0.0026029	0.01191	0.0047537	0.015386	0.0067119	0.0052551	0.0093132	0.015207	0.01466	0.014694	0.015005	0.01533	0.01536	0.0097448	0.0039747	0.015042                                                                 
IL2RA  	0.011904	0.013346	0.0029586	0.015671	0.014649	0.015039	0.015148	0.015078	0.014479	0.014756	0.015105	0.014466	0.014926	0.014857	0.01475	0.015496	0.003715	0.0072728	0.012929	0.014249	0.015305	0.014965	0.011473	0.003715	0.0081373	0.015335	0.015133	0.014563	0.015232	0.015237	0.014963	0.015244	0.015317	0.015229	0.014894	0.015324	0.015324	0.015201	0.014211	0.01511	0.015147	0.015439	0.014818	0.015961	0.015485	0.015145	0.016073	0.015189	0.015111	0.014933	0.015965	0.015124	0.015968	0.014484	0.011884	0.014669	0.015396	0.0038306	0.014338	0.0030796	0.015412	0.0071001	0.003715	0.0076694	0.015648	0.014809	0.015261	0.014777	0.015318	0.01536	0.021003	0.019968	0.015214                                                                    
IL3    	0.009663	0.014797	0.0027364	0.015949	0.014925	0.015344	0.015408	0.015431	0.015097	0.015149	0.015438	0.015151	0.015338	0.015275	0.015242	0.015669	0.0038206	0.0079311	0.015256	0.01586	0.015785	0.015643	0.013999	0.0038206	0.0079707	0.015417	0.015125	0.015145	0.015126	0.015392	0.014497	0.015303	0.015234	0.015242	0.015101	0.015099	0.015099	0.015361	0.014484	0.015358	0.015239	0.015599	0.015163	0.015485	0.016015	0.015304	0.01641	0.015089	0.015031	0.015257	0.018162	0.015651	0.016883	0.015614	0.01439	0.014034	0.01565	0.0037317	0.013456	0.0037106	0.015495	0.0068441	0.0038206	0.0078615	0.015525	0.014715	0.015694	0.014855	0.015375	0.015694	0.012186	0.0066606	0.015716                                                                 
IL33   	0.00853	0.013764	0.0028919	0.014568	0.015328	0.015414	0.015649	0.015377	0.014469	0.014929	0.015484	0.014129	0.015119	0.015011	0.014888	0.015767	0.0040664	0.0094036	0.011569	0.01179	0.015301	0.01206	0.010773	0.0040664	0.0081652	0.015684	0.016448	0.014692	0.015499	0.015598	0.014501	0.015622	0.015662	0.015661	0.015832	0.015641	0.015641	0.016346	0.020526	0.016657	0.021412	0.015587	0.019558	0.015145	0.015304	0.019988	0.015276	0.015304	0.01505	0.015731	0.015319	0.015441	0.014847	0.014031	0.01095	0.014671	0.015898	0.0038467	0.013578	0.0047171	0.015724	0.0071947	0.0040664	0.0082545	0.015924	0.016031	0.014891	0.015332	0.015859	0.01572	0.01075	0.0049592	0.015118                                                                    
IL3RA  	0.014027	0.014124	0.002591	0.015423	0.014808	0.015189	0.015338	0.015172	0.014299	0.014733	0.015252	0.014288	0.015038	0.014777	0.01468	0.01584	0.0036677	0.0071095	0.013753	0.013949	0.016001	0.015635	0.012624	0.0036677	0.0087086	0.015431	0.015203	0.014454	0.015097	0.01546	0.014156	0.015416	0.015274	0.015353	0.015217	0.015964	0.015964	0.015358	0.014046	0.015387	0.015113	0.015671	0.014946	0.016073	0.01641	0.015276	0.018573	0.015412	0.015818	0.015248	0.017158	0.015649	0.018927	0.015593	0.012909	0.013908	0.015601	0.0042279	0.013067	0.0028466	0.015362	0.0067304	0.0036677	0.0077121	0.01524	0.015025	0.015764	0.015003	0.015425	0.015753	0.013766	0.008036	0.015613                                                                    
IL4    	0.010647	0.013154	0.0037613	0.014521	0.014696	0.015081	0.015133	0.015093	0.014866	0.015081	0.015103	0.014761	0.015036	0.015042	0.014979	0.015241	0.0039337	0.0078371	0.012483	0.013228	0.014941	0.013118	0.01136	0.0039337	0.015309	0.015248	0.015502	0.01484	0.015359	0.015153	0.015213	0.015198	0.01534	0.01523	0.01492	0.01601	0.01601	0.015171	0.014346	0.015081	0.015479	0.015156	0.014892	0.015189	0.015089	0.015304	0.015412	0.015259	0.014976	0.014881	0.015057	0.014856	0.015288	0.014133	0.011654	0.015836	0.015279	0.011707	0.015257	0.0036443	0.015361	0.0079739	0.0039337	0.007822	0.015495	0.016785	0.014826	0.014917	0.015278	0.015154	0.01488	0.011359	0.01491                                                                          
IL4R   	0.039401	0.012475	0.0044445	0.014476	0.014699	0.01495	0.014989	0.014881	0.01432	0.014717	0.014892	0.014231	0.014745	0.014696	0.014603	0.015065	0.0041452	0.0084735	0.011924	0.013196	0.014852	0.013332	0.01024	0.0041452	0.008077	0.015095	0.014994	0.014397	0.014808	0.015142	0.015442	0.015135	0.015353	0.015432	0.015177	0.018297	0.018297	0.01502	0.014098	0.014912	0.014922	0.015017	0.014827	0.015111	0.015031	0.01505	0.015818	0.014976	0.017461	0.014739	0.015012	0.014929	0.015221	0.013802	0.01069	0.01406	0.015139	0.0038302	0.013543	0.0041216	0.015022	0.0088757	0.0041452	0.0079375	0.015056	0.014561	0.014851	0.015277	0.015125	0.015056	0.011901	0.0064843	0.014841                                                                     
IL5    	0.0097201	0.014158	0.0033978	0.016293	0.01518	0.015434	0.015425	0.01557	0.015953	0.015684	0.015545	0.015908	0.015613	0.015738	0.015787	0.015387	0.0074057	0.0076046	0.013027	0.013561	0.015147	0.013495	0.012674	0.0074057	0.0074687	0.015331	0.015379	0.015862	0.015164	0.015253	0.014696	0.015181	0.015192	0.015178	0.014968	0.014864	0.014864	0.015386	0.016886	0.015306	0.015973	0.015339	0.01598	0.014933	0.015257	0.015731	0.015248	0.014881	0.014739	0.015298	0.01587	0.015098	0.015168	0.014487	0.01274	0.014547	0.015432	0.0033452	0.014085	0.0034384	0.01533	0.0075112	0.0074057	0.01038	0.01544	0.016276	0.015099	0.014841	0.015287	0.01527	0.010926	0.0054128	0.015134                                                                      
IL5RA  	0.0082421	0.014823	0.0021873	0.015519	0.014825	0.015127	0.015338	0.015145	0.014071	0.014423	0.015295	0.013933	0.015054	0.014496	0.014461	0.016132	0.0037666	0.0068085	0.015906	0.013727	0.017162	0.016092	0.013008	0.0037666	0.0065877	0.015219	0.014831	0.014334	0.014766	0.015481	0.013018	0.015245	0.014719	0.014979	0.015239	0.014278	0.014278	0.015367	0.014773	0.015457	0.014986	0.015965	0.015758	0.015965	0.018162	0.015319	0.017158	0.015057	0.015012	0.01587	0.038256	0.017497	0.017554	0.016225	0.013826	0.012599	0.015591	0.0025016	0.011758	0.002628	0.01486	0.0060715	0.0037666	0.0079133	0.014701	0.014211	0.015883	0.014686	0.01519	0.015814	0.010652	0.0045214	0.016159                                                                
IL9    	0.011052	0.01556	0.0036784	0.015429	0.014743	0.015029	0.015116	0.015075	0.014565	0.014739	0.015096	0.014546	0.014937	0.014847	0.014785	0.015313	0.0042529	0.0080954	0.019832	0.015049	0.015497	0.014667	0.015484	0.0042529	0.007681	0.015158	0.014933	0.014664	0.014834	0.015153	0.014434	0.015056	0.015036	0.015047	0.014982	0.015172	0.015172	0.015234	0.015884	0.015242	0.015277	0.015329	0.015808	0.015124	0.015651	0.015441	0.015649	0.014856	0.014929	0.015098	0.017497	0.015779	0.016011	0.016259	0.017214	0.013731	0.01539	0.0035536	0.013123	0.003882	0.015281	0.0077686	0.0042529	0.0081031	0.015352	0.014483	0.01534	0.014748	0.015148	0.015545	0.011545	0.0061381	0.015372                                                                  
KIT    	0.0093432	0.016502	0.002157	0.015899	0.014475	0.014881	0.015093	0.014854	0.01376	0.014216	0.014979	0.013955	0.01472	0.014313	0.014206	0.015727	0.0029643	0.0066394	0.018206	0.016001	0.016476	0.017964	0.01765	0.0029643	0.0086065	0.015205	0.014803	0.013968	0.014742	0.015286	0.01333	0.015204	0.014845	0.014967	0.01498	0.014888	0.014888	0.015164	0.013199	0.015331	0.014569	0.015666	0.014455	0.015968	0.016883	0.014847	0.018927	0.015288	0.015221	0.015168	0.017554	0.016011	0.021676	0.01775	0.017844	0.013255	0.015525	0.0041695	0.012304	0.0025334	0.015327	0.0060476	0.0029643	0.007076	0.014981	0.014321	0.016328	0.0146	0.015198	0.016028	0.012152	0.0060922	0.015915                                                                      
KITLG  	0.0078998	0.026936	0.002167	0.014279	0.013462	0.013706	0.01401	0.013671	0.012682	0.013073	0.013856	0.012731	0.013537	0.013144	0.013045	0.014516	0.0031314	0.006353	0.035445	0.013665	0.015808	0.015121	0.038595	0.0031314	0.0071577	0.014038	0.013674	0.012889	0.013567	0.014218	0.012314	0.014105	0.013636	0.013785	0.013986	0.013336	0.013336	0.014194	0.0129	0.015142	0.013833	0.014488	0.013929	0.014484	0.015614	0.014031	0.015593	0.014133	0.013802	0.014487	0.016225	0.016259	0.01775	0.022579	0.038139	0.012053	0.014472	0.0033025	0.011327	0.0025567	0.01399	0.0057566	0.0031314	0.0068641	0.013732	0.013089	0.015082	0.013547	0.014056	0.01572	0.010221	0.0048736	0.014637                                                                    
LTB4R  	0.0042458	0.059024	0.00096084	0.0099544	0.010077	0.010007	0.010762	0.0097541	0.0080659	0.0088499	0.010277	0.0079926	0.0096997	0.0086778	0.0085648	0.011749	0.0016371	0.0037446	0.077696	0.0083983	0.015618	0.010606	0.096318	0.0016371	0.0041647	0.010579	0.010084	0.0084588	0.0097986	0.011301	0.0074248	0.011107	0.0097029	0.01022	0.011199	0.0090048	0.0090048	0.011205	0.0088233	0.014853	0.010575	0.011597	0.010763	0.011884	0.01439	0.01095	0.012909	0.011654	0.01069	0.01274	0.013826	0.017214	0.017844	0.038139	0.099111	0.0074136	0.011103	0.0013556	0.006545	0.0011256	0.0097758	0.0033221	0.0016371	0.0046818	0.0090906	0.0088871	0.013088	0.010382	0.010748	0.014851	0.0064389	0.002133	0.011886                                            
MAF    	0.0067908	0.010434	0.0022555	0.012582	0.013416	0.013819	0.01449	0.013676	0.011693	0.012933	0.014101	0.011293	0.013227	0.012929	0.012439	0.016392	0.0023601	0.005836	0.0084243	0.009434	0.0141	0.0097356	0.0071703	0.0023601	0.0085822	0.016302	0.020649	0.011962	0.027629	0.015427	0.013516	0.018334	0.015759	0.015336	0.014468	0.014006	0.014006	0.015624	0.012082	0.015115	0.016319	0.015665	0.012935	0.014669	0.014034	0.014671	0.013908	0.015836	0.01406	0.014547	0.012599	0.013731	0.013255	0.012053	0.0074136	0.058397	0.014214	0.0040587	0.063409	0.0020759	0.014047	0.0061791	0.0023601	0.006185	0.015232	0.018341	0.013717	0.01479	0.016842	0.014841	0.010535	0.0047788	0.013614                                                               
MMP9   	0.0085959	0.013301	0.0027298	0.014752	0.01561	0.015965	0.016122	0.016137	0.01575	0.015721	0.01624	0.015757	0.015928	0.016119	0.016041	0.016031	0.0036498	0.0090152	0.011945	0.01295	0.015719	0.014554	0.010858	0.0036498	0.00713	0.016125	0.01562	0.015896	0.015641	0.015931	0.015667	0.015799	0.016033	0.015902	0.015597	0.015347	0.015347	0.016119	0.015193	0.015753	0.015967	0.015891	0.015607	0.015396	0.01565	0.015898	0.015601	0.015279	0.015139	0.015432	0.015591	0.01539	0.015525	0.014472	0.011103	0.014214	0.017577	0.0028641	0.013704	0.0044815	0.018087	0.0070026	0.0036498	0.0079394	0.017718	0.014454	0.015563	0.01533	0.016036	0.016734	0.010491	0.0044458	0.015531                                                                      
MS4A2  	0.0012606	0.0019424	0.00026274	0.0020706	0.0033653	0.0035804	0.003504	0.0028456	0.0022657	0.0036307	0.0028802	0.0020384	0.003368	0.002571	0.0025692	0.0030183	0.00030235	0.00098655	0.0016907	0.001681	0.0034621	0.0016191	0.0012959	0.00030235	0.2769	0.0031235	0.0039174	0.0022711	0.0029404	0.0035335	0.0023729	0.0035832	0.0038619	0.0037849	0.0036443	0.0045396	0.0045396	0.0035012	0.0019282	0.0036531	0.0027921	0.0036181	0.0026029	0.0038306	0.0037317	0.0038467	0.0042279	0.011707	0.0038302	0.0033452	0.0025016	0.0035536	0.0041695	0.0033025	0.0013556	0.0040587	0.0028641	0.51545	0.0021938	0.00025115	0.0038052	0.0010263	0.00030235	0.0011272	0.0026974	0.0046505	0.0030231	0.0037613	0.0037173	0.002848	0.004178	0.0013855	0.0036406     
PDCD1  	0.0062737	0.0097168	0.0018646	0.011974	0.012753	0.013143	0.014118	0.01305	0.010712	0.011959	0.013723	0.010364	0.012474	0.01218	0.011587	0.016855	0.0020258	0.0052037	0.0074799	0.0086628	0.013705	0.0092765	0.0063406	0.0020258	0.0061948	0.016408	0.020118	0.011087	0.032792	0.015299	0.013143	0.020167	0.015698	0.015146	0.013944	0.012719	0.012719	0.015418	0.011136	0.014735	0.014756	0.015607	0.01191	0.014338	0.013456	0.013578	0.013067	0.015257	0.013543	0.014085	0.011758	0.013123	0.012304	0.011327	0.006545	0.063409	0.013704	0.0021938	0.099601	0.0017245	0.013224	0.0055046	0.0020258	0.0056662	0.014744	0.014706	0.0133	0.014328	0.017003	0.014742	0.0089978	0.0033283	0.012955                                                           
POSTN  	0.0013778	0.0019889	0.00028677	0.0021126	0.0036843	0.0039177	0.0038808	0.0029544	0.0019738	0.0024012	0.0030804	0.0018446	0.002774	0.0025332	0.002465	0.0030938	0.00032783	0.27814	0.0015209	0.0017609	0.0036614	0.0016375	0.001055	0.00032783	0.00098655	0.0031668	0.0039168	0.0021915	0.002778	0.0037793	0.0022787	0.003799	0.003049	0.0040602	0.014918	0.0053786	0.0053786	0.0038164	0.0025706	0.0040522	0.0030828	0.0038334	0.0047537	0.0030796	0.0037106	0.0047171	0.0028466	0.0036443	0.0041216	0.0034384	0.002628	0.003882	0.0025334	0.0025567	0.0011256	0.0020759	0.0044815	0.00025115	0.0017245	0.51587	0.0027872	0.0011106	0.00032783	0.0012083	0.0025158	0.0023346	0.0028868	0.0040215	0.0032285	0.0044622	0.0014433	0.00036665	0.004034      
PPARG  	0.0083852	0.01226	0.0025564	0.015747	0.015689	0.015696	0.015949	0.01586	0.014982	0.015159	0.015997	0.015118	0.01552	0.015671	0.015466	0.015775	0.0043303	0.0070931	0.010993	0.014474	0.015598	0.014746	0.0094225	0.0043303	0.0081318	0.016515	0.015659	0.015265	0.0157	0.015884	0.014736	0.015758	0.016018	0.015843	0.015452	0.014987	0.014987	0.016524	0.01513	0.015596	0.015767	0.016455	0.015386	0.015412	0.015495	0.015724	0.015362	0.015361	0.015022	0.01533	0.01486	0.015281	0.015327	0.01399	0.0097758	0.014047	0.018087	0.0038052	0.013224	0.0027872	0.022148	0.0067334	0.0043303	0.0084204	0.022664	0.014472	0.015954	0.015254	0.016568	0.016487	0.010852	0.0049824	0.015631                                                                   
RETNLB 	0.0044445	0.0049876	0.27927	0.0054783	0.0078756	0.008346	0.0075074	0.0071918	0.0064056	0.0089022	0.0071687	0.0058646	0.0070689	0.0070858	0.0068382	0.00713	0.0012119	0.0031977	0.0041024	0.0042226	0.006893	0.0042592	0.0031401	0.0012119	0.0029977	0.0084883	0.0087504	0.0062776	0.0071751	0.0081653	0.0075813	0.0083434	0.0096336	0.0091538	0.0083349	0.011703	0.011703	0.0081017	0.0057733	0.0083731	0.0071904	0.0072637	0.0067119	0.0071001	0.0068441	0.0071947	0.0067304	0.0079739	0.0088757	0.0075112	0.0060715	0.0077686	0.0060476	0.0057566	0.0033221	0.0061791	0.0070026	0.0010263	0.0055046	0.0011106	0.0067334	0.25485	0.0012119	0.003266	0.0070409	0.0065832	0.0067492	0.02155	0.0088079	0.0071717	0.0041994	0.0014438	0.0068435            
RNASE2 	0.0014867	0.0029571	0.00033048	0.0035687	0.011588	0.0049839	0.0046749	0.0051106	0.0044621	0.0043318	0.0048961	0.0039201	0.0049704	0.0048306	0.0049986	0.0039615	0.20099	0.0012083	0.0019203	0.0019791	0.0037338	0.0019281	0.0015843	0.20099	0.0011272	0.0038469	0.00377	0.0054146	0.0035358	0.0042116	0.0024592	0.003822	0.0033378	0.0038483	0.0041536	0.0030638	0.0030638	0.0041719	0.0041226	0.0039125	0.0038202	0.0038037	0.0052551	0.003715	0.0038206	0.0040664	0.0036677	0.0039337	0.0041452	0.0074057	0.0037666	0.0042529	0.0029643	0.0031314	0.0016371	0.0023601	0.0036498	0.00030235	0.0020258	0.00032783	0.0043303	0.0012119	0.2193	0.13611	0.0031188	0.0036601	0.0036101	0.0041475	0.0037596	0.0033154	0.0017494	0.00047907	0.0038888         
RNASE3 	0.0041452	0.0064449	0.0012119	0.0076819	0.01342	0.009003	0.0087084	0.0091891	0.0090989	0.0087578	0.0089828	0.0086856	0.0091374	0.0091699	0.0093649	0.0080746	0.13611	0.0032731	0.0051808	0.0055198	0.0077368	0.0054158	0.004557	0.13611	0.0031089	0.0079633	0.0078232	0.0097534	0.0075471	0.0081991	0.0064793	0.0078505	0.0074982	0.0078902	0.0080512	0.0071887	0.0071887	0.0081974	0.0085876	0.007957	0.0080457	0.0078664	0.0093132	0.0076694	0.0078615	0.0082545	0.0077121	0.007822	0.0079375	0.01038	0.0079133	0.0081031	0.007076	0.0068641	0.0046818	0.006185	0.0079394	0.0011272	0.0056662	0.0012083	0.0084204	0.003266	0.13611	0.095815	0.0074372	0.0077891	0.0076152	0.0080125	0.0078414	0.0075134	0.004629	0.0017494	0.0078992                  
RORC   	0.0076838	0.011982	0.0027261	0.017006	0.015492	0.015485	0.01589	0.015667	0.013981	0.014597	0.01576	0.013973	0.015049	0.015206	0.014695	0.015996	0.0031188	0.0067689	0.010356	0.012913	0.015582	0.013015	0.0087443	0.0031188	0.0069757	0.0175	0.016276	0.014294	0.016735	0.016182	0.015947	0.016205	0.016929	0.016428	0.015565	0.014799	0.014799	0.01714	0.015204	0.0159	0.0163	0.017535	0.015207	0.015648	0.015525	0.015924	0.01524	0.015495	0.015056	0.01544	0.014701	0.015352	0.014981	0.013732	0.0090906	0.015232	0.017718	0.0026974	0.014744	0.0025158	0.022664	0.0070409	0.0031188	0.0074372	0.029061	0.014609	0.015968	0.015546	0.017773	0.016628	0.010465	0.0043212	0.015552                                                                     
SATB1  	0.0074419	0.011889	0.0024759	0.01385	0.014347	0.014756	0.014877	0.014523	0.013521	0.014541	0.014556	0.012827	0.014421	0.013947	0.013773	0.01501	0.0036601	0.0063303	0.0096986	0.010338	0.014496	0.010321	0.0086889	0.0036601	0.0096685	0.015505	0.022259	0.013611	0.015623	0.015199	0.013243	0.015496	0.015249	0.015256	0.014998	0.01502	0.01502	0.015458	0.014172	0.015406	0.018025	0.015087	0.01466	0.014809	0.014715	0.016031	0.015025	0.016785	0.014561	0.016276	0.014211	0.014483	0.014321	0.013089	0.0088871	0.018341	0.014454	0.0046505	0.014706	0.0023346	0.014472	0.0065832	0.0036601	0.0077891	0.014609	0.071367	0.014112	0.015176	0.015907	0.014545	0.0114	0.0053485	0.014447                                                                
