       	ADAM33 	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
IFNG   	0.011863	0.012793	0.0093604	0.0027867	0.014164	0.013722	0.013945	0.013956	0.013988	0.013992	0.013992	0.01386	0.013921	0.013868	0.014	0.013956	0.014003	0.011664	0.0102	0.012794	0.010277	0.013989	0.013765	0.013769	0.012065	0.01315	0.010293	0.01408	0.014024	0.013589	0.014325	0.014067	0.015165	0.014096	0.014257	0.014133	0.013829	0.014273	0.014043	0.013985	0.013379	0.013915	0.014098	0.014064	0.013861	0.01394	0.013841	0.013981	0.013768	0.013781	0.013716	0.01375	0.013927	0.013705	0.013114	0.01335	0.011314	0.014303	0.013528	0.0027867	0.011615	0.01577	0.0089553	0.0051321	0.014103	0.0057777	0.01285	0.013479	0.014448	0.013603	0.013903	0.013734	0.01413	0.013921	0.014261	0.014229	0.013963                                                                              
IFNGR2 	0.010086	0.011468	0.007354	0.0021613	0.014231	0.013463	0.013831	0.014228	0.013827	0.013644	0.013644	0.01387	0.012514	0.013627	0.013884	0.013557	0.01417	0.0093387	0.0090228	0.011684	0.0078102	0.012663	0.013743	0.012671	0.0099244	0.012012	0.0086351	0.014725	0.01439	0.013028	0.014729	0.015165	0.039016	0.015709	0.018482	0.017278	0.014032	0.014299	0.014222	0.014404	0.012316	0.014119	0.013728	0.014506	0.013514	0.014108	0.013789	0.01376	0.013402	0.013848	0.013888	0.013788	0.013692	0.013745	0.012211	0.012771	0.0087545	0.014772	0.01356	0.0021613	0.010347	0.01609	0.007557	0.0035995	0.013915	0.0052877	0.01145	0.012843	0.014851	0.012662	0.013822	0.014169	0.01501	0.014243	0.013953	0.013506	0.013719                                                                    
IL10   	0.011788	0.012597	0.0099633	0.0028149	0.014164	0.013666	0.013896	0.013939	0.013929	0.013916	0.013916	0.013833	0.013676	0.013809	0.013939	0.013873	0.01402	0.011511	0.010254	0.012788	0.010282	0.013777	0.013742	0.013809	0.011722	0.01306	0.010307	0.014086	0.014039	0.013525	0.014449	0.014096	0.015709	0.01417	0.014347	0.014193	0.01381	0.014055	0.014	0.013987	0.013408	0.013905	0.014148	0.014062	0.013843	0.013935	0.013824	0.013976	0.013752	0.013766	0.013691	0.013733	0.013898	0.013691	0.013092	0.013267	0.010888	0.014307	0.013581	0.0028149	0.011622	0.016739	0.0090342	0.0052373	0.014046	0.0057921	0.012746	0.013425	0.014362	0.01368	0.013872	0.01372	0.014142	0.013921	0.014351	0.014335	0.013933                                                                         
IL12A  	0.011258	0.012313	0.0079629	0.0031288	0.014429	0.013709	0.013985	0.014058	0.01402	0.014039	0.014039	0.013907	0.013589	0.013879	0.014047	0.013951	0.014111	0.011004	0.0097927	0.01244	0.0093133	0.013689	0.013788	0.013509	0.011193	0.012914	0.010215	0.014272	0.014221	0.013522	0.014404	0.014257	0.018482	0.014347	0.014976	0.014664	0.013923	0.014235	0.014145	0.014149	0.013685	0.014025	0.014294	0.014245	0.013985	0.014038	0.013869	0.014102	0.013729	0.013862	0.013779	0.01384	0.013959	0.013755	0.012866	0.013157	0.010184	0.014549	0.01348	0.0031288	0.011508	0.014782	0.0092637	0.0044508	0.014182	0.0061639	0.012527	0.013382	0.014727	0.013746	0.013932	0.013894	0.014383	0.014023	0.014364	0.014249	0.014011                                                                  
IL12B  	0.012178	0.012462	0.0083351	0.0030411	0.014248	0.013718	0.013951	0.013996	0.013987	0.014026	0.014026	0.013878	0.013704	0.013879	0.014012	0.013957	0.01402	0.011464	0.010153	0.012555	0.0096432	0.013746	0.013772	0.013669	0.011476	0.013093	0.010651	0.01415	0.014106	0.01366	0.014227	0.014133	0.017278	0.014193	0.014664	0.014442	0.013875	0.014241	0.014101	0.014048	0.01355	0.013952	0.014193	0.014125	0.013921	0.013979	0.013846	0.014038	0.013746	0.013826	0.013805	0.013792	0.013958	0.013727	0.012951	0.013207	0.010531	0.014345	0.013452	0.0030411	0.011973	0.014403	0.0092062	0.0050011	0.014099	0.0060456	0.012774	0.01346	0.014488	0.01366	0.013897	0.013808	0.014226	0.013954	0.014205	0.0141	0.01396                                                                        
IL13   	0.012019	0.012577	0.0094052	0.002807	0.013967	0.013653	0.013862	0.013834	0.0139	0.014019	0.014019	0.013768	0.013903	0.013816	0.013924	0.01392	0.013818	0.011837	0.014159	0.01269	0.010091	0.01395	0.013662	0.01364	0.011774	0.01319	0.01038	0.013889	0.013882	0.013575	0.013874	0.013829	0.014032	0.01381	0.013923	0.013875	0.013871	0.014246	0.013989	0.013856	0.01382	0.013803	0.014139	0.0139	0.013934	0.013816	0.013733	0.013985	0.013645	0.013671	0.013634	0.013664	0.013874	0.013779	0.012984	0.013199	0.010907	0.013993	0.013394	0.002807	0.01167	0.013508	0.0090701	0.011408	0.013899	0.0057675	0.012919	0.013448	0.014083	0.013556	0.013775	0.013604	0.01391	0.01378	0.013915	0.013879	0.013893                                                                                  
IL13RA1	0.013996	0.011857	0.0072714	0.0036207	0.014105	0.013681	0.013955	0.013953	0.013914	0.014206	0.014206	0.013861	0.013219	0.013907	0.013974	0.013906	0.013966	0.010285	0.010656	0.012296	0.0089831	0.013263	0.01371	0.013205	0.010652	0.012568	0.01203	0.014081	0.014208	0.013984	0.014081	0.014273	0.014299	0.014055	0.014235	0.014241	0.014246	0.022083	0.014725	0.013954	0.012562	0.013914	0.013801	0.014065	0.013799	0.014075	0.013804	0.013953	0.013734	0.014061	0.014657	0.013693	0.014087	0.013819	0.012742	0.012988	0.009496	0.014439	0.013289	0.0036207	0.013719	0.013677	0.0077289	0.0053353	0.013832	0.0068433	0.012048	0.013204	0.014113	0.01346	0.013819	0.014224	0.014177	0.013924	0.013952	0.013758	0.013876                                                                  
IL13RA2	0.013338	0.012275	0.0075791	0.0033917	0.01416	0.013712	0.013947	0.013949	0.013956	0.01409	0.01409	0.013879	0.01349	0.0139	0.013977	0.013945	0.014001	0.011024	0.011522	0.012764	0.0099319	0.0136	0.013768	0.013693	0.011222	0.012927	0.011584	0.014074	0.014063	0.013865	0.014099	0.014043	0.014222	0.014	0.014145	0.014101	0.013989	0.014725	0.015413	0.013961	0.013034	0.013913	0.013954	0.014072	0.01391	0.01412	0.013882	0.014011	0.013855	0.0139	0.014095	0.013728	0.014174	0.013899	0.013097	0.013207	0.010188	0.014287	0.01336	0.0033917	0.013053	0.013714	0.0081562	0.0065314	0.013945	0.0064644	0.01249	0.013438	0.014194	0.013456	0.013901	0.013878	0.014109	0.013924	0.014234	0.014052	0.013966                                                                                
IL17A  	0.011358	0.012691	0.0098222	0.0027015	0.014201	0.013755	0.013963	0.01398	0.01401	0.014002	0.014002	0.013874	0.013863	0.013871	0.014017	0.013962	0.014005	0.011692	0.010235	0.012745	0.010087	0.014015	0.01378	0.013738	0.011823	0.013195	0.010045	0.014079	0.014097	0.013524	0.014149	0.013985	0.014404	0.013987	0.014149	0.014048	0.013856	0.013954	0.013961	0.014118	0.015789	0.01399	0.014747	0.014107	0.014351	0.013936	0.013844	0.014273	0.013754	0.013784	0.013638	0.013843	0.013929	0.013732	0.013065	0.013294	0.01095	0.014232	0.013591	0.0027015	0.011335	0.01404	0.0092212	0.0051638	0.014268	0.0056749	0.012913	0.013508	0.01461	0.013778	0.013911	0.013704	0.014129	0.013933	0.014224	0.014233	0.014063                                                                       
IL17RB 	0.0089344	0.011473	0.0061417	0.0015419	0.013486	0.013662	0.013436	0.01355	0.013444	0.013292	0.013292	0.013425	0.011883	0.013189	0.01351	0.013168	0.013399	0.0099452	0.0089203	0.010967	0.0070638	0.0126	0.013305	0.011797	0.0099158	0.012355	0.0075953	0.013599	0.013706	0.012638	0.013361	0.013379	0.012316	0.013408	0.013685	0.01355	0.01382	0.012562	0.013034	0.015789	0.07213	0.013847	0.015093	0.014304	0.023669	0.013435	0.013264	0.015888	0.012786	0.013367	0.012847	0.01488	0.013247	0.013732	0.01149	0.012297	0.0086393	0.013214	0.012694	0.0015419	0.009053	0.011325	0.010565	0.003572	0.013539	0.0042795	0.012084	0.012789	0.013859	0.01286	0.013262	0.013156	0.013711	0.013534	0.012636	0.012671	0.014601                                                                     
IL18   	0.011296	0.014158	0.0084352	0.0028141	0.014124	0.013777	0.013891	0.013907	0.013923	0.013928	0.013928	0.013844	0.013621	0.013812	0.013926	0.013876	0.013929	0.011693	0.01044	0.012798	0.01007	0.013791	0.013803	0.013727	0.013924	0.013198	0.01002	0.013976	0.014071	0.013476	0.014015	0.013915	0.014119	0.013905	0.014025	0.013952	0.013803	0.013914	0.013913	0.01399	0.013847	0.01408	0.015191	0.014007	0.014024	0.013877	0.013831	0.014321	0.013784	0.013731	0.013598	0.013803	0.013899	0.013711	0.013139	0.013773	0.013813	0.014136	0.013389	0.0028141	0.011296	0.013772	0.0093678	0.0054655	0.013998	0.0057675	0.012931	0.013497	0.014244	0.013668	0.013856	0.013649	0.014032	0.013906	0.01405	0.014035	0.013968                                                                      
IL1RL1 	0.010227	0.012892	0.0070616	0.0020515	0.014238	0.01376	0.013987	0.014111	0.013983	0.013966	0.013966	0.013978	0.012877	0.013809	0.014009	0.013812	0.014099	0.010588	0.0095229	0.011933	0.0081457	0.01333	0.013911	0.012968	0.01128	0.012824	0.0088618	0.014243	0.01568	0.013322	0.014158	0.014098	0.013728	0.014148	0.014294	0.014193	0.014139	0.013801	0.013954	0.014747	0.015093	0.015191	0.024652	0.014362	0.014888	0.014008	0.013839	0.016981	0.013592	0.013927	0.01367	0.014289	0.013891	0.013854	0.012479	0.013147	0.010335	0.014696	0.013359	0.0020515	0.010409	0.012957	0.010128	0.0040251	0.014063	0.0050889	0.012464	0.013335	0.01449	0.015881	0.013847	0.013887	0.014477	0.014072	0.013798	0.013713	0.014364                                                                    
IL21   	0.011194	0.01266	0.0080301	0.0025584	0.01457	0.013767	0.01402	0.014015	0.014063	0.014023	0.014023	0.013907	0.013779	0.013901	0.014042	0.013975	0.01411	0.011534	0.010447	0.012761	0.010124	0.014156	0.013825	0.013988	0.011736	0.013148	0.010134	0.014171	0.014127	0.013518	0.014322	0.014064	0.014506	0.014062	0.014245	0.014125	0.0139	0.014065	0.014072	0.014107	0.014304	0.014007	0.014362	0.014209	0.014153	0.014024	0.013918	0.014181	0.013861	0.013844	0.013703	0.013845	0.014014	0.01379	0.013146	0.013331	0.010862	0.01448	0.013469	0.0025584	0.011422	0.014329	0.0092224	0.0054076	0.014278	0.0056001	0.012829	0.01352	0.014784	0.013662	0.014005	0.013785	0.014254	0.013973	0.014468	0.014507	0.014117                                                                         
IL25   	0.010925	0.012591	0.0072876	0.0020819	0.01408	0.013824	0.013984	0.013933	0.014036	0.013973	0.013973	0.013854	0.013433	0.013835	0.013979	0.013898	0.013914	0.011764	0.010986	0.012459	0.0094831	0.014262	0.013767	0.013405	0.011668	0.013283	0.010033	0.013988	0.014029	0.013449	0.013921	0.013861	0.013514	0.013843	0.013985	0.013921	0.013934	0.013799	0.01391	0.014351	0.023669	0.014024	0.014888	0.014153	0.015975	0.013898	0.013809	0.014769	0.013648	0.013769	0.013568	0.014045	0.013921	0.013832	0.012851	0.013196	0.010634	0.014014	0.013261	0.0020819	0.011235	0.012808	0.0097205	0.0060324	0.013982	0.0050585	0.013061	0.013543	0.014205	0.013527	0.013847	0.013629	0.01403	0.013879	0.013896	0.014021	0.014303                                                                  
IL2RA  	0.012163	0.012685	0.0081438	0.0028141	0.014175	0.013768	0.013941	0.013925	0.013973	0.013971	0.013971	0.013865	0.013805	0.013897	0.013965	0.01394	0.014032	0.01281	0.010478	0.012935	0.010672	0.013931	0.013826	0.014351	0.011854	0.013592	0.01068	0.014036	0.013942	0.013645	0.014162	0.01394	0.014108	0.013935	0.014038	0.013979	0.013816	0.014075	0.01412	0.013936	0.013435	0.013877	0.014008	0.014024	0.013898	0.014	0.013913	0.013988	0.013929	0.013806	0.013752	0.013765	0.014061	0.013736	0.013301	0.013355	0.011005	0.014149	0.013391	0.0028141	0.011991	0.013904	0.0091261	0.0054849	0.013998	0.0057857	0.013382	0.013777	0.014216	0.013467	0.013939	0.013694	0.014036	0.013889	0.014604	0.014594	0.014008                                                                        
IL3    	0.01157	0.013331	0.0084561	0.0022793	0.01402	0.013791	0.013907	0.013884	0.013944	0.013898	0.013898	0.013848	0.013998	0.013881	0.013923	0.013913	0.013904	0.013143	0.010293	0.013723	0.013002	0.014121	0.013901	0.015636	0.012902	0.013742	0.010129	0.013896	0.013773	0.013516	0.013857	0.013841	0.013789	0.013824	0.013869	0.013846	0.013733	0.013804	0.013882	0.013844	0.013264	0.013831	0.013839	0.013918	0.013809	0.013913	0.01401	0.013903	0.014196	0.013727	0.013621	0.013727	0.014054	0.013719	0.013962	0.01372	0.012379	0.013889	0.013441	0.0022793	0.011424	0.013386	0.0090986	0.0052982	0.013956	0.0052395	0.013596	0.013843	0.014014	0.013206	0.014031	0.013555	0.013889	0.013878	0.013979	0.01395	0.013943                                                                     
IL33   	0.010837	0.01291	0.0077209	0.0021503	0.014167	0.013829	0.014062	0.014032	0.014107	0.014053	0.014053	0.013943	0.013485	0.013908	0.014047	0.013965	0.014036	0.011659	0.010459	0.012546	0.0095093	0.014302	0.013876	0.013667	0.011852	0.013273	0.010123	0.014098	0.014411	0.013485	0.014055	0.013981	0.01376	0.013976	0.014102	0.014038	0.013985	0.013953	0.014011	0.014273	0.015888	0.014321	0.016981	0.014181	0.014769	0.013988	0.013903	0.015178	0.013784	0.01386	0.013673	0.014001	0.014003	0.013835	0.012973	0.013336	0.010972	0.014232	0.013399	0.0021503	0.011338	0.013057	0.0097155	0.0052575	0.01407	0.005166	0.013013	0.013585	0.014302	0.013992	0.013939	0.013743	0.014167	0.013985	0.014064	0.014177	0.014298                                                                    
IL3RA  	0.011948	0.013752	0.0077846	0.0020889	0.013992	0.01369	0.013795	0.013811	0.0138	0.013677	0.013677	0.013791	0.013651	0.013751	0.013757	0.013716	0.013891	0.011834	0.0095827	0.01473	0.015812	0.013873	0.013984	0.018033	0.01349	0.013229	0.010676	0.01381	0.01366	0.013429	0.013709	0.013768	0.013402	0.013752	0.013729	0.013746	0.013645	0.013734	0.013855	0.013754	0.012786	0.013784	0.013592	0.013861	0.013648	0.013929	0.014196	0.013784	0.014768	0.013745	0.013689	0.01365	0.014124	0.013728	0.014923	0.014095	0.013281	0.013735	0.013425	0.0020889	0.011994	0.012837	0.0089659	0.0043008	0.01385	0.0050172	0.01296	0.013591	0.013796	0.01305	0.014206	0.013466	0.013796	0.013887	0.013914	0.013844	0.013882                                                                          
IL4    	0.0123	0.012648	0.0082057	0.0026146	0.013891	0.013608	0.013799	0.013775	0.01384	0.013892	0.013892	0.013714	0.013768	0.013745	0.013849	0.013818	0.013834	0.011895	0.0099728	0.013272	0.012045	0.013845	0.013646	0.013703	0.011938	0.013139	0.016585	0.013864	0.013945	0.013571	0.013902	0.013781	0.013848	0.013766	0.013862	0.013826	0.013671	0.014061	0.0139	0.013784	0.013367	0.013731	0.013927	0.013844	0.013769	0.013806	0.013727	0.01386	0.013745	0.01391	0.013834	0.013632	0.013817	0.013587	0.013447	0.013304	0.011186	0.014006	0.013275	0.0026146	0.015769	0.013392	0.0088509	0.0049376	0.013858	0.0055519	0.012863	0.013445	0.013993	0.014639	0.013777	0.013549	0.013867	0.013736	0.014209	0.014305	0.013852                                                                      
IL4R   	0.021557	0.012306	0.0075796	0.002852	0.013745	0.013579	0.013674	0.01366	0.013693	0.013768	0.013768	0.013668	0.013452	0.013731	0.013696	0.013808	0.013656	0.01149	0.010274	0.012548	0.010103	0.013419	0.013547	0.013801	0.011501	0.012948	0.016301	0.013722	0.013796	0.014986	0.013665	0.013716	0.013888	0.013691	0.013779	0.013805	0.013634	0.014657	0.014095	0.013638	0.012847	0.013598	0.01367	0.013703	0.013568	0.013752	0.013621	0.013673	0.013689	0.013834	0.014492	0.013527	0.013903	0.013524	0.012938	0.013052	0.010609	0.013839	0.013036	0.002852	0.017515	0.013256	0.0087649	0.005375	0.013632	0.0057893	0.012644	0.013296	0.013744	0.013545	0.013662	0.013572	0.01374	0.013597	0.013716	0.01359	0.013639                                                                        
IL5    	0.012135	0.013184	0.0078672	0.0025799	0.013974	0.013766	0.013833	0.013794	0.013883	0.013945	0.013945	0.013761	0.013949	0.01384	0.013904	0.013919	0.013771	0.013772	0.0099031	0.012537	0.0099508	0.013867	0.013717	0.013677	0.012664	0.013957	0.0099377	0.013827	0.013934	0.013618	0.013791	0.01375	0.013788	0.013733	0.01384	0.013792	0.013664	0.013693	0.013728	0.013843	0.01488	0.013803	0.014289	0.013845	0.014045	0.013765	0.013727	0.014001	0.01365	0.013632	0.013527	0.013918	0.013831	0.013554	0.012947	0.013367	0.012101	0.013881	0.013163	0.0025799	0.011239	0.0133	0.017068	0.0048682	0.013777	0.0055062	0.014004	0.013854	0.013928	0.014648	0.013743	0.013521	0.013846	0.013733	0.013803	0.013768	0.013852                                                                     
IL5RA  	0.013061	0.01283	0.0074704	0.0022227	0.014147	0.013872	0.014042	0.013992	0.014088	0.014124	0.014124	0.013957	0.014429	0.014091	0.0141	0.014146	0.013968	0.012555	0.010623	0.013048	0.010743	0.014166	0.013933	0.014864	0.012003	0.013693	0.010302	0.014003	0.013892	0.013917	0.013876	0.013927	0.013692	0.013898	0.013959	0.013958	0.013874	0.014087	0.014174	0.013929	0.013247	0.013899	0.013891	0.014014	0.013921	0.014061	0.014054	0.014003	0.014124	0.013817	0.013903	0.013831	0.014659	0.013834	0.013491	0.013489	0.01114	0.013966	0.013361	0.0022227	0.011995	0.013014	0.0095024	0.0054879	0.01398	0.0052409	0.013446	0.013852	0.014031	0.013215	0.014092	0.013702	0.013986	0.013941	0.013973	0.013805	0.014031                                                                     
IL9    	0.011858	0.013019	0.0083163	0.0026746	0.013836	0.013568	0.01372	0.013709	0.013743	0.013746	0.013746	0.013666	0.013563	0.013657	0.013726	0.013698	0.013715	0.011748	0.015317	0.013637	0.012861	0.013811	0.013628	0.013861	0.012521	0.013075	0.010322	0.013754	0.013694	0.013392	0.013729	0.013705	0.013745	0.013691	0.013755	0.013727	0.013779	0.013819	0.013899	0.013732	0.013732	0.013711	0.013854	0.01379	0.013832	0.013736	0.013719	0.013835	0.013728	0.013587	0.013524	0.013554	0.013834	0.013802	0.01364	0.013463	0.011964	0.013804	0.013297	0.0026746	0.011611	0.013331	0.00893	0.013229	0.013773	0.0055812	0.012818	0.013363	0.013915	0.013165	0.013742	0.013451	0.013768	0.013707	0.013808	0.013774	0.013793                                                                      
KIT    	0.0097784	0.014038	0.0083524	0.0016508	0.013025	0.013022	0.013035	0.013187	0.012994	0.012754	0.012754	0.013248	0.01261	0.012971	0.012935	0.012797	0.013237	0.01051	0.00903	0.024952	0.05049	0.012905	0.013634	0.01543	0.014219	0.012227	0.0097484	0.013047	0.012783	0.01238	0.012733	0.013114	0.012211	0.013092	0.012866	0.012951	0.012984	0.012742	0.013097	0.013065	0.01149	0.013139	0.012479	0.013146	0.012851	0.013301	0.013962	0.012973	0.014923	0.013447	0.012938	0.012947	0.013491	0.01364	0.022173	0.015328	0.014481	0.012769	0.013923	0.0016508	0.010833	0.0115	0.0072879	0.0038816	0.013291	0.004343	0.011885	0.012826	0.012828	0.011943	0.013906	0.012686	0.012981	0.013513	0.012802	0.012661	0.01318                                                                          
KITLG  	0.010406	0.020342	0.0082072	0.0018987	0.01323	0.013724	0.013311	0.013395	0.013301	0.01312	0.01312	0.013497	0.012901	0.013261	0.013267	0.013206	0.013339	0.011261	0.0095831	0.015822	0.018221	0.013041	0.013746	0.01432	0.024362	0.0128	0.0094466	0.013253	0.013086	0.012832	0.013041	0.01335	0.012771	0.013267	0.013157	0.013207	0.013199	0.012988	0.013207	0.013294	0.012297	0.013773	0.013147	0.013331	0.013196	0.013355	0.01372	0.013336	0.014095	0.013304	0.013052	0.013367	0.013489	0.013463	0.015328	0.016358	0.02845	0.013061	0.013192	0.0018987	0.010658	0.012213	0.0085575	0.004668	0.01336	0.0046752	0.012571	0.013129	0.013157	0.012389	0.013633	0.012951	0.013235	0.013668	0.012975	0.012847	0.013318                                                                         
LTB4R  	0.0063925	0.055189	0.0044024	0.00086877	0.010037	0.013877	0.010942	0.011304	0.01076	0.010026	0.010026	0.012088	0.0089975	0.010886	0.010659	0.010496	0.010956	0.0077416	0.0063592	0.014625	0.010994	0.0091387	0.013247	0.011343	0.078233	0.010491	0.0053888	0.010564	0.010153	0.010228	0.0098144	0.011314	0.0087545	0.010888	0.010184	0.010531	0.010907	0.009496	0.010188	0.01095	0.0086393	0.013813	0.010335	0.010862	0.010634	0.011005	0.012379	0.010972	0.013281	0.011186	0.010609	0.012101	0.01114	0.011964	0.014481	0.02845	0.11789	0.009619	0.010759	0.00086877	0.0066354	0.0079682	0.0058051	0.0021511	0.010499	0.002868	0.010298	0.011024	0.0095673	0.0086277	0.011829	0.010472	0.010508	0.012652	0.0091233	0.0087834	0.010755                                                     
MAF    	0.010999	0.012044	0.0072821	0.0034569	0.014793	0.01368	0.01402	0.014068	0.014033	0.014082	0.014082	0.013923	0.013308	0.013869	0.014058	0.013923	0.014303	0.010319	0.0096018	0.012292	0.0089286	0.013532	0.013779	0.0133	0.010728	0.012621	0.010447	0.01441	0.014717	0.013507	0.015006	0.014303	0.014772	0.014307	0.014549	0.014345	0.013993	0.014439	0.014287	0.014232	0.013214	0.014136	0.014696	0.01448	0.014014	0.014149	0.013889	0.014232	0.013735	0.014006	0.013839	0.013881	0.013966	0.013804	0.012769	0.013061	0.009619	0.016183	0.013426	0.0034569	0.011669	0.015841	0.0082723	0.0041621	0.014203	0.006594	0.012126	0.013263	0.014972	0.015029	0.013969	0.014071	0.014656	0.014047	0.015023	0.015078	0.014129                                                                     
MMP9   	0.010407	0.012284	0.046059	0.0020671	0.013446	0.013212	0.013385	0.013688	0.013392	0.013303	0.013303	0.013535	0.013025	0.013281	0.013403	0.013314	0.013633	0.010889	0.009751	0.014878	0.014905	0.01312	0.013418	0.013305	0.011531	0.012514	0.009093	0.013485	0.013307	0.012843	0.013454	0.013528	0.01356	0.013581	0.01348	0.013452	0.013394	0.013289	0.01336	0.013591	0.012694	0.013389	0.013359	0.013469	0.013261	0.013391	0.013441	0.013399	0.013425	0.013275	0.013036	0.013163	0.013361	0.013297	0.013923	0.013192	0.010759	0.013426	0.016835	0.0020671	0.010427	0.013271	0.0078672	0.0047821	0.014486	0.0049144	0.012195	0.012925	0.014041	0.012422	0.013447	0.013083	0.01348	0.013815	0.013457	0.013383	0.01338                                                                       
MRC1   	0.0015966	0.001548	0.00061255	0.28044	0.0034064	0.002592	0.0027856	0.0024169	0.0022676	0.0032562	0.0032562	0.0024121	0.001734	0.0027912	0.0024009	0.0024107	0.0028175	0.0010152	0.0012421	0.0015064	0.00070174	0.0016608	0.0025229	0.0015906	0.0011588	0.0017555	0.00098178	0.0028569	0.0030492	0.0030373	0.0029901	0.0027867	0.0021613	0.0028149	0.0031288	0.0030411	0.002807	0.0036207	0.0033917	0.0027015	0.0015419	0.0028141	0.0020515	0.0025584	0.0020819	0.0028141	0.0022793	0.0021503	0.0020889	0.0026146	0.002852	0.0025799	0.0022227	0.0026746	0.0016508	0.0018987	0.00086877	0.0034569	0.0020671	0.33023	0.0013567	0.0018739	0.00084917	0.00033764	0.0019749	0.21717	0.0015657	0.0019695	0.0021433	0.0017856	0.002286	0.010266	0.0030708	0.0022795	0.0021622	0.0019503	0.0021948
MS4A2  	0.014088	0.0088386	0.0044712	0.0013567	0.010664	0.011331	0.011322	0.011387	0.011263	0.011463	0.011463	0.011338	0.0096754	0.011294	0.011307	0.010887	0.011422	0.0072568	0.0069792	0.010393	0.00714	0.0098494	0.011382	0.010288	0.0076882	0.0095273	0.11377	0.011494	0.012069	0.011784	0.010991	0.011615	0.010347	0.011622	0.011508	0.011973	0.01167	0.013719	0.013053	0.011335	0.009053	0.011296	0.010409	0.011422	0.011235	0.011991	0.011424	0.011338	0.011994	0.015769	0.017515	0.011239	0.011995	0.011611	0.010833	0.010658	0.0066354	0.011669	0.010427	0.0013567	0.1046	0.009231	0.00529	0.0026181	0.011216	0.0037351	0.0089167	0.010821	0.010584	0.011786	0.011539	0.011617	0.011486	0.011393	0.011547	0.011379	0.011347                                                              
PDCD1  	0.0089127	0.010702	0.0069632	0.0018739	0.013775	0.01286	0.013341	0.0137	0.013287	0.012837	0.012837	0.013451	0.011596	0.013002	0.013306	0.012815	0.014524	0.0083615	0.0082823	0.01097	0.0070494	0.011916	0.01321	0.011859	0.0091019	0.011128	0.0075798	0.014562	0.014149	0.012222	0.020706	0.01577	0.01609	0.016739	0.014782	0.014403	0.013508	0.013677	0.013714	0.01404	0.011325	0.013772	0.012957	0.014329	0.012808	0.013904	0.013386	0.013057	0.012837	0.013392	0.013256	0.0133	0.013014	0.013331	0.0115	0.012213	0.0079682	0.015841	0.013271	0.0018739	0.009231	0.071283	0.0067812	0.0031389	0.013208	0.0048438	0.010518	0.012138	0.014408	0.011792	0.013381	0.013836	0.014799	0.013917	0.016138	0.016277	0.01337                                                                      
PMCH   	0.005825	0.0086442	0.0030525	0.00084917	0.0096989	0.009186	0.0092898	0.0092289	0.0093494	0.0097087	0.0097087	0.0092503	0.0077333	0.0093547	0.0094019	0.0094846	0.0090858	0.0072782	0.0048682	0.0065735	0.0039106	0.0076271	0.0090979	0.0074641	0.0065095	0.0094794	0.0042033	0.0091766	0.0094284	0.0091955	0.0088728	0.0089553	0.007557	0.0090342	0.0092637	0.0092062	0.0090701	0.0077289	0.0081562	0.0092212	0.010565	0.0093678	0.010128	0.0092224	0.0097205	0.0091261	0.0090986	0.0097155	0.0089659	0.0088509	0.0087649	0.017068	0.0095024	0.00893	0.0072879	0.0085575	0.0058051	0.0082723	0.0078672	0.00084917	0.00529	0.0067812	0.37947	0.0016393	0.0079065	0.0025799	0.0095263	0.0093226	0.0079543	0.010349	0.0089075	0.0089677	0.0092172	0.0092267	0.0077621	0.0075013	0.0092012    
POSTN  	0.0024331	0.003336	0.0015937	0.00033764	0.0040495	0.0050369	0.0048853	0.0049517	0.0044001	0.0049388	0.0049388	0.0052518	0.0032496	0.0048144	0.0044103	0.0042355	0.0045544	0.0020806	0.19242	0.0048102	0.0022171	0.0035692	0.005089	0.0035536	0.0026574	0.0034293	0.0019028	0.0049152	0.0048682	0.0039378	0.0041908	0.0051321	0.0035995	0.0052373	0.0044508	0.0050011	0.011408	0.0053353	0.0065314	0.0051638	0.003572	0.0054655	0.0040251	0.0054076	0.0060324	0.0054849	0.0052982	0.0052575	0.0043008	0.0049376	0.005375	0.0048682	0.0054879	0.013229	0.0038816	0.004668	0.0021511	0.0041621	0.0047821	0.00033764	0.0026181	0.0031389	0.0016393	0.48256	0.0040501	0.0012421	0.0031212	0.0040377	0.0040117	0.0031824	0.0048804	0.005144	0.0048944	0.0051115	0.0036934	0.003502	0.0055287    
