       	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CMA1   	CRLF2  	CSF2   	CSF3R  	FCER1A 	FOXP3  	GATA3  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	MAF    	MMP9   	MS4A2  	PDCD1  	PPARG  	RETNLB 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
IL5    	0.010233	0.017418	0.016062	0.016896	0.015588	0.011148	0.017035	0.016232	0.011148	0.016061	0.015827	0.015827	0.014869	0.012175	0.018859	0.018988	0.014661	0	0.017497	0.017893	0.015006	0.017461	0.014967	0.017586	0.017294	0.017082	0.01842	0.018303	0.018303	0.018166	0.024722	0.018028	0.026233	0.01683	0.026144	0.018001	0.021273	0.026144	0.025965	0.017797	0.017905	0.020649	0.025965	0.019592	0.014192	0.013793	0.012414	0.015391	0	0.010949	0.012214	0.012155	0.017088	0.014218	0.016004	0.017491	0.017263	0.016416	0.010687	0.0053712	0.022103                                                   
IL5RA  	0.0073288	0.017077	0.013801	0.017026	0.013153	0.0071546	0.014186	0.016125	0.0071546	0.014985	0.013729	0.013729	0.013237	0.013317	0.0088951	0.027955	0.024857	0	0.01687	0.01758	0.012713	0.018313	0.012402	0.018102	0.015454	0.01596	0.020291	0.017026	0.017026	0.016534	0.013491	0.017078	0.01157	0.016403	0.016136	0.021211	0.035239	0.016136	0.058762	0.018365	0.018072	0.025965	0.0655	0.024706	0.017756	0.014727	0.0098775	0.013136	0	0.0076852	0.0086968	0.0080014	0.013203	0.0088041	0.017569	0.016876	0.016173	0.014992	0.010168	0.0039887	0.017732                                              
IL9    	0.019634	0.021248	0.018712	0.018943	0.018216	0.010095	0.018438	0.018255	0.010095	0.017489	0.019254	0.019254	0.016226	0.01351	0.0091103	0.020373	0.01727	0	0.018941	0.018661	0.017069	0.01881	0.01486	0.018903	0.018695	0.018468	0.020358	0.020695	0.020695	0.018057	0.012501	0.02018	0.00894	0.020286	0.012524	0.019467	0.022507	0.012524	0.024706	0.019388	0.019873	0.019592	0.024706	0.023306	0.015773	0.015409	0.014949	0.015956	0	0.011853	0.011657	0.01155	0.017198	0.011187	0.017608	0.019124	0.01879	0.017127	0.010235	0.0043548	0.016392                                                        
KIT    	0.0055926	0.01222	0.010519	0.013357	0.0097533	0.0042627	0.011058	0.012501	0.0042627	0.010826	0.0099009	0.0099009	0.010697	0.11193	0.0034109	0.024683	0.020063	0	0.018728	0.014002	0.010948	0.016484	0.010417	0.014986	0.014364	0.013955	0.015285	0.014695	0.014695	0.013359	0.0056738	0.014819	0.0028345	0.013654	0.005477	0.016008	0.016936	0.005477	0.017756	0.017246	0.019772	0.014192	0.017756	0.015773	0.098819	0.089886	0.0086318	0.009693	0	0.0062008	0.0060351	0.0058645	0.013532	0.0057949	0.054888	0.01407	0.017305	0.011393	0.0062011	0.0021223	0.0093327                                    
KITLG  	0.006268	0.012712	0.011297	0.013329	0.010248	0.0049046	0.012863	0.012163	0.0049046	0.011342	0.010207	0.010207	0.010494	0.11034	0.0048995	0.022692	0.01272	0	0.018915	0.014441	0.011085	0.016524	0.010825	0.015	0.015471	0.014536	0.015446	0.015892	0.015892	0.013569	0.0057214	0.015722	0.0026768	0.01398	0.0052774	0.01575	0.015796	0.0052774	0.014727	0.018086	0.020221	0.013793	0.014727	0.015409	0.089886	0.095808	0.012757	0.0095069	0	0.0060829	0.0058596	0.0067296	0.014063	0.0065232	0.054039	0.014718	0.017741	0.011383	0.0058946	0.001954	0.010701                                            
MAF    	0.0058052	0.014345	0.013401	0.012567	0.0098392	0.0054543	0.017075	0.009537	0.0054543	0.01234	0.01022	0.01022	0.0074078	0.0076924	0.0068136	0.0121	0.0052224	0	0.011438	0.013453	0.008289	0.011837	0.0083321	0.011687	0.015919	0.013969	0.014332	0.017028	0.017028	0.011626	0.0049298	0.016004	0.0023784	0.012841	0.0046706	0.012987	0.013606	0.0046706	0.0098775	0.029442	0.014879	0.012414	0.0098775	0.014949	0.0086318	0.012757	0.38867	0.0078303	0	0.0041206	0.0045543	0.0063198	0.0091333	0.0060586	0.010592	0.014158	0.013192	0.0090004	0.0046782	0.0015359	0.014814                               
MMP9   	0.0077389	0.018189	0.018576	0.024853	0.019624	0.009527	0.013903	0.027105	0.009527	0.017377	0.022652	0.022652	0.019077	0.00769	0.003448	0.016305	0.0088378	0	0.01754	0.015509	0.01587	0.019056	0.014354	0.019824	0.016141	0.017764	0.018775	0.014895	0.014895	0.024459	0.014175	0.016504	0.0054274	0.015922	0.0094497	0.015397	0.015406	0.0094497	0.013136	0.015963	0.016006	0.015391	0.013136	0.015956	0.009693	0.0095069	0.0078303	0.057202	0	0.012466	0.093205	0.0071544	0.019645	0.0068805	0.01345	0.016052	0.017255	0.045367	0.0056457	0.0017997	0.0093645                                          
MS4A2  	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56767	0	0	0	0	0	0	0	0	0	0	0	0                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PDCD1  	0.012498	0.0098955	0.009093	0.01348	0.0096668	0.0035768	0.0078065	0.023136	0.0035768	0.010191	0.010973	0.010973	0.095779	0.0048694	0.0015162	0.011996	0.0045116	0	0.016146	0.013337	0.096697	0.017825	0.010579	0.024713	0.013835	0.014693	0.012371	0.0093991	0.0093991	0.015015	0.005059	0.013292	0.0016493	0.025082	0.0037607	0.013914	0.01069	0.0037607	0.0076852	0.011576	0.012665	0.010949	0.0076852	0.011853	0.0062008	0.0060829	0.0041206	0.012466	0	0.23424	0.0072451	0.0045725	0.013618	0.005022	0.011098	0.012335	0.021292	0.013468	0.0044237	0.0012501	0.005397                               
PPARG  	0.0045569	0.012184	0.011069	0.023885	0.011757	0.00461	0.0085909	0.025859	0.00461	0.012396	0.014917	0.014917	0.014524	0.0044233	0.0017833	0.012999	0.0050749	0	0.014557	0.012265	0.01141	0.017391	0.010166	0.019164	0.011711	0.014052	0.017553	0.011063	0.011063	0.028014	0.010985	0.012849	0.0027912	0.012528	0.0059468	0.012093	0.011612	0.0059468	0.0086968	0.012276	0.012676	0.012214	0.0086968	0.011657	0.0060351	0.0058596	0.0045543	0.093205	0	0.0072451	0.22582	0.00443	0.01549	0.0044513	0.0098743	0.012232	0.013982	0.078608	0.003623	0.00097502	0.0060818                                     
RETNLB 	0.0037582	0.015731	0.015559	0.011011	0.010376	0.0043756	0.021103	0.009118	0.0043756	0.011269	0.010552	0.010552	0.0082506	0.0049016	0.002533	0.01005	0.0037463	0	0.014667	0.016296	0.0086572	0.013063	0.0097496	0.014052	0.012205	0.015643	0.015462	0.021447	0.021447	0.010603	0.0043871	0.012128	0.0022638	0.010192	0.0044362	0.011368	0.010674	0.0044362	0.0080014	0.014158	0.017628	0.012155	0.0080014	0.01155	0.0058645	0.0067296	0.0063198	0.0071544	0	0.0045725	0.00443	0.39802	0.010229	0.0078558	0.0099822	0.04122	0.014139	0.0095079	0.0036476	0.001059	0.0073341                               
RORC   	0.015442	0.01441	0.012694	0.015944	0.011833	0.0050515	0.013936	0.014702	0.0050515	0.012895	0.011677	0.011677	0.017168	0.012707	0.0039701	0.016094	0.0070069	0	0.032911	0.021894	0.021667	0.020032	0.015813	0.02158	0.022652	0.020422	0.018148	0.016685	0.016685	0.030989	0.018786	0.02186	0.0066405	0.024454	0.011621	0.019633	0.016395	0.011621	0.013203	0.017989	0.018644	0.017088	0.013203	0.017198	0.013532	0.014063	0.0091333	0.019645	0	0.013618	0.01549	0.010229	0.089716	0.012908	0.020059	0.018952	0.029129	0.021418	0.0083452	0.0029759	0.010713                                              
SATB1  	0.0043205	0.010034	0.0082363	0.0095038	0.0064302	0.0028262	0.0098518	0.0073502	0.0028262	0.0080828	0.0065328	0.0065328	0.0083457	0.0047935	0.0028186	0.010101	0.0037876	0	0.018905	0.072108	0.010014	0.011469	0.0070069	0.01613	0.011273	0.011863	0.015691	0.01243	0.01243	0.01189	0.0052401	0.012375	0.0028687	0.011419	0.0054542	0.011633	0.01087	0.0054542	0.0088041	0.013453	0.012488	0.014218	0.0088041	0.011187	0.0057949	0.0065232	0.0060586	0.0068805	0	0.005022	0.0044513	0.0078558	0.012908	0.42092	0.0099693	0.016296	0.016916	0.0098354	0.0037099	0.0010605	0.0079466                       
STAT5A 	0.0097298	0.015266	0.013782	0.015834	0.013082	0.0062945	0.014594	0.01495	0.0062945	0.013494	0.013159	0.013159	0.014844	0.06532	0.0046166	0.021313	0.016074	0	0.020407	0.017205	0.015642	0.018306	0.015855	0.017697	0.01868	0.017669	0.017827	0.018756	0.018756	0.016816	0.0086849	0.018755	0.0043055	0.017057	0.0076051	0.017831	0.01802	0.0076051	0.017569	0.018383	0.020775	0.016004	0.017569	0.017608	0.054888	0.054039	0.010592	0.01345	0	0.011098	0.0098743	0.0099822	0.020059	0.0099693	0.037383	0.017168	0.019593	0.015226	0.0086409	0.0035476	0.011295                                          
STAT6  	0.010192	0.020377	0.020335	0.018911	0.01949	0.011269	0.024443	0.018076	0.011269	0.018332	0.019588	0.019588	0.01646	0.012773	0.0073341	0.01751	0.01005	0	0.019138	0.019638	0.016577	0.018988	0.018957	0.018943	0.02039	0.020094	0.020189	0.024128	0.024128	0.017679	0.010701	0.020437	0.0066086	0.017558	0.0099338	0.017972	0.018417	0.0099338	0.016876	0.019465	0.021174	0.017491	0.016876	0.019124	0.01407	0.014718	0.014158	0.016052	0	0.012335	0.012232	0.04122	0.018952	0.016296	0.017168	0.022264	0.019289	0.017225	0.0087798	0.0036476	0.014178                                                   
TBX21  	0.017844	0.017401	0.016151	0.017859	0.015567	0.0078726	0.017426	0.017279	0.0078726	0.015534	0.015725	0.015725	0.020866	0.016943	0.0062051	0.017706	0.0099972	0	0.02198	0.02017	0.022894	0.019852	0.02129	0.020218	0.024258	0.021337	0.019349	0.019771	0.019771	0.020517	0.012647	0.023104	0.0062837	0.021097	0.010178	0.018771	0.018144	0.010178	0.016173	0.018896	0.01988	0.017263	0.016173	0.01879	0.017305	0.017741	0.013192	0.017255	0	0.021292	0.013982	0.014139	0.029129	0.016916	0.019593	0.019289	0.022264	0.018771	0.0092705	0.0038325	0.013073                                                
TGFB1  	0.0093464	0.016842	0.015643	0.021406	0.015796	0.0074794	0.014411	0.021974	0.0074794	0.015502	0.01735	0.01735	0.018421	0.0096556	0.0044171	0.016791	0.009236	0	0.019039	0.017335	0.017343	0.019415	0.017089	0.020335	0.018138	0.018731	0.019612	0.017718	0.017718	0.023817	0.014747	0.019001	0.0064662	0.017453	0.010594	0.016899	0.016888	0.010594	0.014992	0.016864	0.017975	0.016416	0.014992	0.017127	0.011393	0.011383	0.0090004	0.045367	0	0.013468	0.078608	0.0095079	0.021418	0.0098354	0.015226	0.017225	0.018771	0.04135	0.0074222	0.0027984	0.010828                                          
TNFRSF4	0.006978	0.0071054	0.0058494	0.0074236	0.0054421	0.0023811	0.0063789	0.0066528	0.0023811	0.0063441	0.005229	0.005229	0.0070986	0.0048066	0.0022666	0.011191	0.0056577	0	0.012671	0.0089839	0.0080653	0.010392	0.006246	0.011208	0.0080466	0.0082969	0.0095045	0.0089495	0.0089495	0.0090126	0.0042072	0.008385	0.0023394	0.013177	0.0043192	0.039596	0.013489	0.0043192	0.010168	0.0098448	0.012797	0.010687	0.010168	0.010235	0.0062011	0.0058946	0.0046782	0.0056457	0	0.0044237	0.003623	0.0036476	0.0083452	0.0037099	0.0086409	0.0087798	0.0092705	0.0074222	0.26644	0.28469	0.0061223             
TNFSF4 	0.002395	0.0025243	0.0019597	0.0028428	0.0017903	0.00064988	0.002164	0.0024137	0.00064988	0.0023811	0.0015755	0.0015755	0.0026051	0.0014086	0.00060624	0.0056577	0.0019199	0	0.00665	0.0037099	0.0030688	0.0051115	0.0020798	0.0056747	0.0029299	0.0032143	0.0040387	0.003384	0.003384	0.0038145	0.0012874	0.0030919	0.00062814	0.006978	0.0014838	0.033229	0.0071162	0.0014838	0.0039887	0.0046782	0.0067373	0.0053712	0.0039887	0.0043548	0.0021223	0.001954	0.0015359	0.0017997	0	0.0012501	0.00097502	0.001059	0.0029759	0.0010605	0.0035476	0.0036476	0.0038325	0.0027984	0.28469	0.51789	0.0022666
TSLP   	0.0061744	0.013706	0.012252	0.01253	0.010556	0.0065597	0.014588	0.010841	0.0065597	0.012667	0.010636	0.010636	0.00913	0.007811	0.19493	0.014374	0.0074912	0	0.012724	0.014596	0.0095142	0.013179	0.009377	0.013364	0.013905	0.013187	0.014939	0.015119	0.015119	0.013251	0.011291	0.014469	0.0097462	0.012746	0.013466	0.01441	0.016748	0.013466	0.017732	0.019041	0.014285	0.022103	0.017732	0.016392	0.0093327	0.010701	0.014814	0.0093645	0	0.005397	0.0060818	0.0073341	0.010713	0.0079466	0.011295	0.014178	0.013073	0.010828	0.0061223	0.0022666	0.12721                                          
