       	ALOX5  	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CMA1   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MS4A2  	PDCD1  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
IL25   	0.0084403	0.010674	0.015237	0.012659	0.014017	0.012627	0.010662	0.012184	0.012796	0.010662	0.013497	0.011493	0.011741	0.013823	0.006599	0.0075935	0.015377	0.0084403	0	0	0.006097	0.014711	0.015661	0.010344	0.01259	0.015355	0.011092	0.016009	0.015197	0.015328	0.020134	0.016193	0.016193	0.0191	0.060735	0.015555	0.063237	0.016265	0.049393	0.015768	0.017649	0.053832	0.017639	0.014831	0.016497	0.022762	0.021072	0.022592	0.010914	0.010914	0	0.0086821	0.013213	0.0022402	0.0063484	0.010628	0.0078649	0	0	0.013103	0.0081971	0.013223	0.015484	0.014927	0.016251	0.0094875	0.0036353	0.014535                                             
IL2RA  	0.013134	0.017611	0.015929	0.015136	0.016008	0.015209	0.013855	0.015419	0.015528	0.013855	0.015466	0.014412	0.014624	0.017664	0.012073	0.0083524	0.016742	0.013134	0	0	0.0092236	0.017311	0.016697	0.013636	0.016727	0.017069	0.015722	0.017363	0.017497	0.01707	0.016993	0.018015	0.018015	0.01699	0.014322	0.017659	0.014841	0.017776	0.015768	0.019081	0.017782	0.015281	0.018431	0.016922	0.017854	0.017013	0.018545	0.017422	0.015546	0.015546	0	0.014387	0.015881	0.0043683	0.012519	0.014964	0.010571	0	0	0.016446	0.01096	0.016939	0.016725	0.017297	0.017218	0.027525	0.026734	0.015197                                                    
IL3    	0.015023	0.014133	0.017259	0.01656	0.016977	0.016613	0.01606	0.016517	0.017049	0.01606	0.017025	0.016379	0.016474	0.019477	0.011963	0.0088438	0.018079	0.015023	0	0	0.0089653	0.016869	0.016523	0.016034	0.016417	0.017305	0.015028	0.017465	0.016979	0.016909	0.017491	0.017293	0.017293	0.016828	0.015517	0.017363	0.017042	0.017296	0.017649	0.017782	0.019794	0.01698	0.02265	0.016814	0.017508	0.018186	0.024088	0.019388	0.015595	0.015595	0	0.013424	0.015586	0.0042079	0.011318	0.013768	0.0096077	0	0	0.015168	0.0097787	0.016446	0.016722	0.016849	0.016923	0.01425	0.0079412	0.015847                                                    
IL33   	0.0073358	0.009618	0.014738	0.011981	0.013464	0.011937	0.0098356	0.011478	0.012071	0.0098356	0.012868	0.010695	0.010963	0.013016	0.0057726	0.0073721	0.014703	0.0073358	0	0	0.0055939	0.014256	0.015449	0.0094991	0.011965	0.014958	0.010635	0.015707	0.014829	0.015025	0.020556	0.015912	0.015912	0.019451	0.069032	0.015185	0.071652	0.015794	0.053832	0.015281	0.01698	0.06312	0.016915	0.014397	0.016228	0.023473	0.019335	0.02226	0.010036	0.010036	0	0.0080162	0.012822	0.0019513	0.0057569	0.010106	0.0075856	0	0	0.01274	0.0079808	0.01253	0.015207	0.014517	0.016122	0.0088462	0.0032458	0.014246                                          
IL3RA  	0.018674	0.013047	0.016491	0.015167	0.016167	0.01507	0.01361	0.015412	0.015716	0.01361	0.016085	0.014246	0.01456	0.018029	0.013834	0.0083823	0.020465	0.018674	0	0	0.010246	0.016174	0.016288	0.013431	0.015047	0.016922	0.01271	0.017119	0.016347	0.0162	0.01755	0.017088	0.017088	0.016256	0.014438	0.016806	0.017349	0.017043	0.017639	0.018431	0.02265	0.016915	0.042225	0.017605	0.017618	0.019494	0.024469	0.020151	0.017506	0.017506	0	0.012307	0.014129	0.004988	0.0091954	0.013159	0.0084776	0	0	0.013871	0.0087912	0.016798	0.016283	0.016256	0.015684	0.013956	0.0068703	0.015687                                                        
IL4    	0.010938	0.014761	0.016359	0.016105	0.016402	0.016071	0.015589	0.017179	0.016166	0.015589	0.016256	0.015802	0.016009	0.016559	0.016337	0.011017	0.01611	0.010938	0	0	0.017317	0.016736	0.016231	0.015456	0.016468	0.016634	0.015094	0.01671	0.017209	0.016723	0.016656	0.018197	0.018197	0.016623	0.013678	0.017817	0.013649	0.016587	0.014831	0.016922	0.016814	0.014397	0.017605	0.016935	0.01729	0.01634	0.016735	0.0165	0.017033	0.017033	0	0.016519	0.016765	0.013256	0.014595	0.017659	0.01179	0	0	0.017074	0.011321	0.016624	0.0167	0.016919	0.016731	0.016816	0.012893	0.015736                                                             
IL4R   	0.010317	0.017385	0.0165	0.015702	0.016469	0.01564	0.014182	0.016571	0.01576	0.014182	0.015857	0.014773	0.01507	0.017234	0.012943	0.0098079	0.016478	0.010317	0	0	0.009539	0.017607	0.017449	0.013866	0.016407	0.017552	0.016417	0.017869	0.018469	0.01793	0.01822	0.023414	0.023414	0.017612	0.015154	0.018666	0.01553	0.017717	0.016497	0.017854	0.017508	0.016228	0.017618	0.01729	0.019902	0.017392	0.017368	0.017441	0.016184	0.016184	0	0.013582	0.016079	0.0045205	0.011205	0.014846	0.015139	0	0	0.01645	0.011543	0.01764	0.018391	0.017874	0.017948	0.014821	0.0083699	0.016107                                                            
IL5    	0.012173	0.014968	0.016769	0.015985	0.016404	0.016011	0.015278	0.015979	0.016103	0.015278	0.016296	0.015606	0.015719	0.016963	0.010791	0.012152	0.016742	0.012173	0	0	0.0084615	0.016597	0.016744	0.015119	0.015409	0.016832	0.014744	0.017037	0.016943	0.016753	0.01787	0.017596	0.017596	0.017298	0.022642	0.017146	0.026256	0.017034	0.022762	0.017013	0.018186	0.023473	0.019494	0.01634	0.017392	0.018583	0.020623	0.018916	0.014472	0.014472	0	0.012453	0.015679	0.0039054	0.010335	0.014091	0.011513	0	0	0.015569	0.012599	0.016057	0.016747	0.01666	0.017057	0.012985	0.0068962	0.016258                                                    
IL5RA  	0.019624	0.013472	0.017024	0.014926	0.016078	0.014932	0.013314	0.014369	0.01569	0.013314	0.016031	0.014088	0.014318	0.018322	0.012387	0.0077685	0.021313	0.019624	0	0	0.00749	0.015989	0.016139	0.01316	0.014685	0.016929	0.01215	0.017146	0.015654	0.015839	0.018085	0.016223	0.016223	0.016228	0.016703	0.016063	0.020268	0.017757	0.021072	0.018545	0.024088	0.019335	0.024469	0.016735	0.017368	0.020623	0.047503	0.025508	0.016615	0.016615	0	0.01062	0.013447	0.0028836	0.0079252	0.011344	0.0078272	0	0	0.012963	0.0082306	0.016534	0.015983	0.015879	0.015575	0.012282	0.0052052	0.015501                                                   
IL9    	0.014637	0.016063	0.017003	0.01591	0.016467	0.015939	0.015078	0.015713	0.016183	0.015078	0.016384	0.015519	0.015629	0.017348	0.011662	0.0089893	0.017848	0.014637	0	0	0.0088321	0.016557	0.016382	0.014925	0.015438	0.016906	0.01362	0.017102	0.016666	0.016542	0.017943	0.017312	0.017312	0.017126	0.021768	0.017112	0.023552	0.017513	0.022592	0.017422	0.019388	0.02226	0.020151	0.0165	0.017441	0.018916	0.025508	0.020507	0.015299	0.015299	0	0.012331	0.015154	0.0041874	0.010006	0.013382	0.0095384	0	0	0.014894	0.0094902	0.016447	0.016551	0.016569	0.016696	0.012721	0.0062245	0.015831                                                   
KIT    	0.018201	0.022768	0.012988	0.012292	0.013465	0.01219	0.010198	0.012367	0.012623	0.010198	0.012458	0.01091	0.011191	0.012968	0.098672	0.0086996	0.021602	0.018201	0	0	0.0093258	0.014987	0.013622	0.009911	0.012685	0.014658	0.010364	0.014428	0.014125	0.013747	0.014314	0.014594	0.014594	0.013549	0.0086291	0.014561	0.0091095	0.01542	0.010914	0.015546	0.015595	0.010036	0.017506	0.017033	0.016184	0.014472	0.016615	0.015299	0.057834	0.055355	0	0.010723	0.011522	0.0044377	0.0076566	0.01157	0.006554	0	0	0.01215	0.0065608	0.028113	0.013702	0.015108	0.012551	0.011572	0.0054002	0.015376                                                 
KITLG  	0.018201	0.022768	0.012988	0.012292	0.013465	0.01219	0.010198	0.012367	0.012623	0.010198	0.012458	0.01091	0.011191	0.012968	0.098672	0.0086996	0.021602	0.018201	0	0	0.0093258	0.014987	0.013622	0.009911	0.012685	0.014658	0.010364	0.014428	0.014125	0.013747	0.014314	0.014594	0.014594	0.013549	0.0086291	0.014561	0.0091095	0.01542	0.010914	0.015546	0.015595	0.010036	0.017506	0.017033	0.016184	0.014472	0.016615	0.015299	0.055355	0.057834	0	0.010723	0.011522	0.0044377	0.0076566	0.01157	0.006554	0	0	0.01215	0.0065608	0.028113	0.013702	0.015108	0.012551	0.011572	0.0054002	0.015376                                                 
LTB4R  	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
MAF    	0.0051764	0.011372	0.011282	0.010474	0.011858	0.010725	0.0084143	0.011232	0.011375	0.0084143	0.010938	0.0091331	0.0094914	0.022507	0.007077	0.0046395	0.011757	0.0051764	0	0	0.0090848	0.017743	0.013982	0.0081742	0.052135	0.015455	0.01034	0.016824	0.014526	0.013909	0.012671	0.012794	0.012794	0.01399	0.0074065	0.014602	0.0069382	0.018519	0.0086821	0.014387	0.013424	0.0080162	0.012307	0.016519	0.013582	0.012453	0.01062	0.012331	0.010723	0.010723	0	0.12598	0.011058	0.0043556	0.14226	0.011389	0.0061152	0	0	0.013102	0.0065026	0.012745	0.013333	0.017673	0.012648	0.010601	0.004853	0.010686                                         
MMP9   	0.0073634	0.011126	0.017293	0.017355	0.019184	0.01766	0.017103	0.015976	0.019458	0.017103	0.017215	0.017796	0.017548	0.017244	0.0068556	0.0064636	0.014565	0.0073634	0	0	0.0070728	0.019416	0.016456	0.017459	0.015794	0.017659	0.014511	0.018181	0.018644	0.018096	0.016906	0.015379	0.015379	0.021442	0.014652	0.016986	0.010683	0.016756	0.013213	0.015881	0.015586	0.012822	0.014129	0.016765	0.016079	0.015679	0.013447	0.015154	0.011522	0.011522	0	0.011058	0.037387	0.002598	0.0086304	0.050973	0.0086554	0	0	0.037939	0.0079942	0.014678	0.016893	0.019254	0.027738	0.009991	0.0036924	0.014578                                            
MS4A2  	0.0012424	0.0017964	0.0038869	0.003601	0.0037164	0.0027712	0.0021734	0.004687	0.0027209	0.0021734	0.0036281	0.0023952	0.0026775	0.0024342	0.0023148	0.0013108	0.0038402	0.0012424	0	0	0.27745	0.003185	0.0040389	0.0019768	0.0027766	0.0034635	0.001932	0.003408	0.0046684	0.0041926	0.00409	0.0051486	0.0051486	0.0038219	0.0015698	0.004902	0.0015939	0.0040207	0.0022402	0.0043683	0.0042079	0.0019513	0.004988	0.013256	0.0045205	0.0039054	0.0028836	0.0041874	0.0044377	0.0044377	0	0.0043556	0.002598	0.51563	0.0017635	0.004509	0.001373	0	0	0.0027158	0.0013222	0.0032278	0.004207	0.0040788	0.0025789	0.0047308	0.0015623	0.0039669       
PDCD1  	0.0034261	0.0099829	0.0087966	0.0079463	0.0096068	0.0084539	0.0058305	0.0081176	0.009287	0.0058305	0.0084932	0.0065895	0.0068785	0.024299	0.0039506	0.0027069	0.0094961	0.0034261	0	0	0.0053687	0.017612	0.01234	0.0056492	0.067422	0.014431	0.0085134	0.016286	0.012403	0.012005	0.010412	0.0095571	0.0095571	0.012311	0.0053763	0.012168	0.0047797	0.018584	0.0063484	0.012519	0.011318	0.0057569	0.0091954	0.014595	0.011205	0.010335	0.0079252	0.010006	0.0076566	0.0076566	0	0.14226	0.0086304	0.0017635	0.23836	0.0082583	0.0043178	0	0	0.011183	0.0049146	0.01068	0.011253	0.017231	0.010726	0.007406	0.0024305	0.0081737                    
PPARG  	0.0057626	0.0099044	0.014565	0.014002	0.017712	0.014233	0.011855	0.01355	0.017246	0.011855	0.013996	0.013241	0.013351	0.014232	0.007493	0.005344	0.013247	0.0057626	0	0	0.0095519	0.020219	0.015538	0.012024	0.014761	0.016205	0.011314	0.016912	0.017899	0.016919	0.015435	0.014428	0.014428	0.022818	0.011845	0.016212	0.0081721	0.016103	0.010628	0.014964	0.013768	0.010106	0.013159	0.017659	0.014846	0.014091	0.011344	0.013382	0.01157	0.01157	0	0.011389	0.050973	0.004509	0.0082583	0.10294	0.0071792	0	0	0.057986	0.0069815	0.013878	0.015741	0.020141	0.026307	0.010944	0.0049068	0.012644                                               
RETNLB 	0.003287	0.0059099	0.012103	0.011377	0.010405	0.009508	0.007974	0.016099	0.0091707	0.007974	0.009969	0.0085918	0.0093704	0.0091737	0.0033894	0.0033676	0.0088049	0.003287	0	0	0.004207	0.013115	0.014239	0.0073803	0.0094558	0.012247	0.0092227	0.013209	0.016553	0.014577	0.012888	0.018464	0.018464	0.013171	0.0069134	0.010817	0.0063699	0.01046	0.0078649	0.010571	0.0096077	0.0075856	0.0084776	0.01179	0.015139	0.011513	0.0078272	0.0095384	0.006554	0.006554	0	0.0061152	0.0086554	0.001373	0.0043178	0.0071792	0.39463	0	0	0.0096544	0.0068696	0.0093801	0.036116	0.013626	0.010589	0.005979	0.001952	0.0090302                            
RNASE2 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36652	0.31674	0	0	0	0	0	0	0	0	0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
RNASE3 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31674	0.36652	0	0	0	0	0	0	0	0	0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
RORC   	0.0064705	0.013998	0.015349	0.014615	0.017561	0.01506	0.012591	0.014041	0.016948	0.012591	0.014691	0.013803	0.013913	0.016625	0.0074407	0.0058514	0.014292	0.0064705	0	0	0.0073295	0.021161	0.017469	0.012556	0.017392	0.01772	0.014833	0.018433	0.019935	0.018588	0.016763	0.015677	0.015677	0.022549	0.015223	0.018426	0.010493	0.018081	0.013103	0.016446	0.015168	0.01274	0.013871	0.017074	0.01645	0.015569	0.012963	0.014894	0.01215	0.01215	0	0.013102	0.037939	0.0027158	0.011183	0.057986	0.0096544	0	0	0.046107	0.010186	0.015778	0.01713	0.021119	0.025261	0.010722	0.0041721	0.013754                                                   
SATB1  	0.0034062	0.0062681	0.008959	0.007736	0.0091254	0.0080105	0.0056648	0.008218	0.0076933	0.0056648	0.0080423	0.0063153	0.0066243	0.0097849	0.0033981	0.0030923	0.0089632	0.0034062	0	0	0.0040389	0.015932	0.06281	0.0053101	0.010752	0.013052	0.0081376	0.014994	0.011905	0.011738	0.013074	0.010735	0.010735	0.011694	0.0065148	0.011568	0.0069873	0.011181	0.0081971	0.01096	0.0097787	0.0079808	0.0087912	0.011321	0.011543	0.012599	0.0082306	0.0094902	0.0065608	0.0065608	0	0.0065026	0.0079942	0.0013222	0.0049146	0.0069815	0.0068696	0	0	0.010186	0.41511	0.009622	0.014239	0.01561	0.010746	0.0059768	0.001952	0.0084284                    
STAT5A 	0.014101	0.041179	0.01499	0.014527	0.015277	0.014671	0.01285	0.014108	0.014657	0.01285	0.014484	0.01343	0.013595	0.015866	0.034452	0.016723	0.018062	0.014101	0	0	0.0079046	0.017432	0.015943	0.012482	0.01594	0.016693	0.01448	0.016559	0.01677	0.016267	0.01617	0.016882	0.016882	0.016262	0.011542	0.017079	0.011489	0.019707	0.013223	0.016939	0.016446	0.01253	0.016798	0.016624	0.01764	0.016057	0.016534	0.016447	0.028113	0.028113	0	0.012745	0.014678	0.0032278	0.01068	0.013878	0.0093801	0	0	0.015778	0.009622	0.024167	0.01594	0.017433	0.015837	0.011892	0.005276	0.017599                                                             
STAT6  	0.0088049	0.01393	0.017107	0.01685	0.016998	0.016739	0.016327	0.018949	0.016708	0.016327	0.016921	0.016528	0.016848	0.016995	0.0097185	0.0090302	0.015427	0.0088049	0	0	0.0089557	0.017372	0.017461	0.016148	0.016073	0.017352	0.017601	0.017494	0.01876	0.018038	0.017512	0.020539	0.020539	0.017511	0.014795	0.0181	0.014224	0.0168	0.015484	0.016725	0.016722	0.015207	0.016283	0.0167	0.018391	0.016747	0.015983	0.016551	0.013702	0.013702	0	0.013333	0.016893	0.004207	0.011253	0.015741	0.036116	0	0	0.01713	0.014239	0.01594	0.019232	0.017642	0.017814	0.012355	0.005979	0.015643                                                          
TBX21  	0.009026	0.019039	0.016038	0.015338	0.016579	0.015535	0.013863	0.015731	0.01598	0.013863	0.015536	0.014546	0.014771	0.018253	0.011569	0.0083827	0.015776	0.009026	0	0	0.0088598	0.018653	0.018058	0.013621	0.018833	0.018004	0.019327	0.018179	0.019652	0.018663	0.017408	0.018005	0.018005	0.018582	0.014761	0.020839	0.013083	0.018436	0.014927	0.017297	0.016849	0.014517	0.016256	0.016919	0.017874	0.01666	0.015879	0.016569	0.015108	0.015108	0	0.017673	0.019254	0.0040788	0.017231	0.020141	0.013626	0	0	0.021119	0.01561	0.017433	0.017642	0.019134	0.019267	0.012654	0.0060538	0.015298                                                   
TGFB1  	0.0084874	0.013114	0.016591	0.015754	0.017904	0.016048	0.014158	0.015097	0.017357	0.014158	0.015933	0.015166	0.015237	0.018594	0.0077697	0.0073193	0.015583	0.0084874	0	0	0.0070661	0.019013	0.017824	0.01411	0.017244	0.018678	0.018195	0.019515	0.019728	0.019248	0.018467	0.017877	0.017877	0.021079	0.017571	0.019018	0.014149	0.017837	0.016251	0.017218	0.016923	0.016122	0.015684	0.016731	0.017948	0.017057	0.015575	0.016696	0.012551	0.012551	0	0.012648	0.027738	0.0025789	0.010726	0.026307	0.010589	0	0	0.025261	0.010746	0.015837	0.017814	0.019267	0.031405	0.011103	0.0044169	0.015005                                              
TNFRSF4	0.0068358	0.0097571	0.01119	0.010316	0.011233	0.010051	0.0084047	0.011435	0.010144	0.0084047	0.0108	0.0089544	0.0093555	0.011518	0.0080332	0.0050593	0.01281	0.0068358	0	0	0.009725	0.013382	0.01228	0.0080915	0.011537	0.012743	0.0090182	0.01329	0.012752	0.012261	0.012383	0.013636	0.013636	0.012165	0.0076412	0.013004	0.0081197	0.014271	0.0094875	0.027525	0.01425	0.0088462	0.013956	0.016816	0.014821	0.012985	0.012282	0.012721	0.011572	0.011572	0	0.010601	0.009991	0.0047308	0.007406	0.010944	0.005979	0	0	0.010722	0.0059768	0.011892	0.012355	0.012654	0.011103	0.13004	0.19682	0.010877                                            
TNFSF4 	0.0024106	0.0035471	0.0051121	0.0045007	0.0051337	0.0040696	0.0029105	0.0052927	0.0040661	0.0029105	0.0048927	0.0032492	0.0035479	0.0047058	0.0027672	0.0016268	0.0068358	0.0024106	0	0	0.0047308	0.0069999	0.0059768	0.0026971	0.0049834	0.0064335	0.0032057	0.0069165	0.0060312	0.0057904	0.0059701	0.0065254	0.0065254	0.0057577	0.0024988	0.0061156	0.0028288	0.0080281	0.0036353	0.026734	0.0079412	0.0032458	0.0068703	0.012893	0.0083699	0.0068962	0.0052052	0.0062245	0.0054002	0.0054002	0	0.004853	0.0036924	0.0015623	0.0024305	0.0049068	0.001952	0	0	0.0041721	0.001952	0.005276	0.005979	0.0060538	0.0044169	0.19682	0.48405	0.0050593
TSLP   	0.0088207	0.016467	0.0175	0.019159	0.017008	0.01915	0.019274	0.016738	0.0174	0.019274	0.017745	0.018813	0.018507	0.015145	0.012485	0.080501	0.015166	0.0088207	0	0	0.0083606	0.015566	0.014885	0.018747	0.013575	0.015739	0.01238	0.015432	0.015298	0.015314	0.016337	0.016036	0.016036	0.015118	0.012723	0.015676	0.013899	0.015428	0.014535	0.015197	0.015847	0.014246	0.015687	0.015736	0.016107	0.016258	0.015501	0.015831	0.015376	0.015376	0	0.010686	0.014578	0.0039669	0.0081737	0.012644	0.0090302	0	0	0.013754	0.0084284	0.017599	0.015643	0.015298	0.015005	0.010877	0.0050593	0.029041                                                  
